alignment position,genomic position,edited or not,positional entropy,average score difference
94,75,0,0.52,0
95,76,1,0.88,0.97
96,77,0,0.92,0
97,78,0,0.88,0
98,79,0,0.97,0
99,80,0,0.97,0
100,81,0,0.97,0
101,82,0,0.80,0
102,83,0,0.97,0
103,84,0,0.97,0
104,85,1,0.61,-3.62
105,86,0,0.97,0
106,87,0,0.97,0
107,88,0,0.92,0
108,89,0,0.92,0
109,90,0,0.92,0
110,91,0,0.92,0
111,92,1,0.92,3.72
112,93,0,0.97,0
113,94,0,0.97,0
114,95,0,0.83,0
115,96,0,0.76,0
116,97,1,0.76,2.62
117,98,0,0.72,0
118,99,0,0.97,0
119,100,0,0.97,0
120,101,1,0.68,-0.45
121,102,1,0.79,6.00
122,103,0,0.97,0
123,104,0,0.92,0
124,105,0,0.97,0
125,106,0,0.97,0
126,107,0,0.97,0
127,108,0,0.92,0
128,109,0,0.97,0
129,110,0,0.97,0
130,111,0,0.97,0
131,112,1,0.87,0.00
132,113,0,0.97,0
133,114,0,0.97,0
134,115,0,0.97,0
135,116,0,0.97,0
136,117,0,0.97,0
137,118,0,0.97,0
138,119,1,0.81,1.90
139,120,0,0.87,0
140,121,0,1.00,0
141,122,0,0.95,0
142,123,1,0.55,1.24
143,124,0,0.89,0
144,125,0,0.74,0
145,126,1,0.84,-2.45
146,127,0,0.54,0
147,128,0,1.00,0
148,129,1,0.89,-2.17
149,130,0,1.00,0
150,131,0,1.00,0
151,132,0,1.00,0
152,133,0,1.00,0
153,134,0,1.00,0
154,135,0,1.00,0
155,136,0,1.00,0
156,137,0,1.00,0
157,138,0,1.00,0
158,139,0,1.00,0
159,140,0,1.00,0
160,141,0,1.00,0
161,142,0,1.00,0
162,143,0,0.83,0
163,144,0,1.00,0
164,145,0,0.82,0
165,146,0,1.00,0
166,147,0,1.00,0
167,148,0,0.77,0
168,149,1,1.00,0.00
169,150,0,1.00,0
170,151,0,1.00,0
171,152,0,1.00,0
172,153,0,0.95,0
173,154,1,0.95,-2.69
174,155,0,1.00,0
175,156,1,0.69,0.07
176,157,1,0.95,-0.10
177,158,1,0.71,0.31
182,159,0,1.00,0
183,160,1,0.67,-0.38
184,161,1,0.74,2.07
185,162,0,1.00,0
186,163,0,0.44,0
187,164,1,0.40,0.55
188,165,0,0.64,0
189,166,0,1.00,0
191,167,1,0.81,-2.34
192,168,0,1.00,0
193,169,0,0.95,0
194,170,0,1.00,0
195,171,0,0.76,0
196,172,1,0.57,-2.07
197,173,0,0.87,0
198,174,1,1.00,1.00
199,175,1,1.00,6.00
200,176,0,1.00,0
201,177,0,0.56,0
202,178,0,1.00,0
203,179,0,1.00,0
204,180,1,1.00,6.00
205,181,0,1.00,0
206,182,0,1.00,0
207,183,0,1.00,0
208,184,0,0.95,0
209,185,1,0.77,0.59
210,186,0,1.00,0
211,187,0,1.00,0
212,188,0,0.95,0
213,189,0,0.95,0
214,190,0,1.00,0
215,191,0,1.00,0
216,192,1,0.80,-0.45
217,193,0,0.60,0
218,194,0,0.71,0
219,195,0,0.82,0
220,196,1,0.83,-0.17
221,197,0,0.73,0
222,198,0,0.90,0
223,199,0,0.89,0
224,200,1,0.64,0.62
225,201,0,1.00,0
226,202,0,1.00,0
227,203,1,0.82,3.69
228,204,0,0.95,0
229,205,1,1.00,1.00
230,206,0,1.00,0
231,207,0,0.95,0
232,208,0,1.00,0
233,209,0,1.00,0
234,210,0,1.00,0
235,211,0,1.00,0
236,212,0,1.00,0
237,213,0,1.00,0
238,214,0,1.00,0
