alignment position,genomic position,edited or not,positional entropy,average score difference
12,1,0,0.37,0
13,2,0,0.55,0
14,3,0,0.38,0
15,4,0,0.56,0
16,5,0,0.60,0
17,6,0,0.85,0
18,7,0,0.58,0
19,8,0,0.70,0
20,9,1,0.38,2.59
21,10,0,0.81,0
22,11,1,0.83,-4.41
23,12,0,0.69,0
24,13,0,0.73,0
25,14,0,0.58,0
26,15,0,0.81,0
27,16,1,0.41,1.38
29,17,0,0.95,0
30,18,0,0.90,0
31,19,1,0.95,5.66
32,20,1,0.79,0.24
33,21,0,0.87,0
34,22,0,1.00,0
35,23,0,0.87,0
36,24,0,0.69,0
37,25,0,1.00,0
38,26,0,1.00,0
39,27,0,0.95,0
40,28,0,1.00,0
41,29,0,0.95,0
42,30,0,0.95,0
44,32,0,0.92,0
45,33,0,0.87,0
46,34,0,1.00,0
47,35,0,1.00,0
49,36,0,1.00,0
50,37,0,0.72,0
51,38,0,0.95,0
52,39,0,1.00,0
53,40,0,1.00,0
54,41,0,1.00,0
55,42,0,0.95,0
56,43,0,1.00,0
57,44,0,0.95,0
58,45,1,1.00,3.00
59,46,0,1.00,0
60,47,0,1.00,0
61,48,0,1.00,0
62,49,1,0.92,3.45
63,50,0,1.00,0
64,51,0,1.00,0
65,52,0,1.00,0
66,53,0,1.00,0
67,54,1,0.74,0.10
68,55,1,0.69,2.52
69,56,0,0.90,0
70,57,1,0.64,4.72
71,58,0,0.83,0
72,59,0,1.00,0
73,60,0,0.95,0
74,61,1,0.77,-1.10
75,62,0,0.77,0
76,63,0,1.00,0
77,64,0,1.00,0
78,65,0,1.00,0
79,66,0,0.85,0
80,67,0,1.00,0
81,68,0,0.95,0
82,69,0,1.00,0
83,70,0,1.00,0
84,71,0,1.00,0
85,72,0,1.00,0
86,73,0,0.95,0
87,74,0,1.00,0
88,75,0,0.70,0
89,76,0,0.70,0
90,77,0,0.95,0
91,78,0,0.95,0
92,79,0,0.77,0
93,80,0,1.00,0
94,81,1,0.71,0.86
95,82,0,1.00,0
96,83,0,0.89,0
97,84,0,0.87,0
98,85,0,0.73,0
99,86,0,1.00,0
100,87,0,1.00,0
101,88,0,1.00,0
102,89,0,1.00,0
103,90,0,0.71,0
104,91,0,1.00,0
105,92,0,1.00,0
106,93,0,1.00,0
107,94,0,1.00,0
108,95,1,0.53,1.69
109,96,1,0.90,5.66
110,97,0,1.00,0
111,98,0,0.95,0
112,99,1,0.60,-0.59
113,100,1,0.76,-2.10
114,101,0,1.00,0
115,102,1,0.75,4.07
116,103,0,0.33,0
117,104,0,0.77,0
118,105,0,0.92,0
119,106,0,0.85,0
120,107,0,1.00,0
121,108,0,0.80,0
122,109,0,1.00,0
123,110,0,0.83,0
124,111,0,1.00,0
125,112,0,1.00,0
126,113,1,1.00,8.00
127,114,0,0.75,0
128,115,0,0.95,0
129,116,0,1.00,0
130,117,0,1.00,0
131,118,0,0.87,0
132,119,0,0.89,0
133,120,0,1.00,0
134,121,0,1.00,0
135,122,0,0.79,0
136,123,0,1.00,0
137,124,0,0.95,0
138,125,0,1.00,0
139,126,0,1.00,0
140,127,0,0.78,0
141,128,0,0.90,0
142,129,1,0.74,3.34
143,130,0,1.00,0
144,131,0,0.73,0
145,132,1,1.00,0.00
146,133,0,0.71,0
147,134,0,1.00,0
148,135,0,1.00,0
149,136,0,1.00,0
150,137,0,0.70,0
151,138,0,1.00,0
152,139,0,0.92,0
153,140,0,0.68,0
154,141,0,1.00,0
155,142,0,1.00,0
156,143,0,0.87,0
157,144,0,0.69,0
158,145,0,1.00,0
159,146,0,1.00,0
160,147,1,0.95,5.76
161,148,0,0.66,0
162,149,0,1.00,0
163,150,1,0.42,1.59
164,151,0,0.78,0
165,152,0,1.00,0
166,153,0,1.00,0
167,154,0,0.50,0
168,155,1,0.83,4.83
169,156,0,0.95,0
170,157,0,0.69,0
171,158,0,0.92,0
172,159,1,0.82,4.31
173,160,0,0.95,0
174,161,0,0.38,0
175,162,0,0.77,0
176,163,0,0.78,0
177,164,0,0.63,0
178,165,0,0.81,0
179,166,0,0.95,0
180,167,0,0.61,0
181,168,0,0.95,0
182,169,1,0.92,3.86
183,170,0,1.00,0
184,171,0,1.00,0
185,172,0,0.90,0
186,173,0,1.00,0
187,174,0,0.95,0
188,175,0,1.00,0
189,176,1,0.95,2.90
190,177,0,0.87,0
191,178,1,1.00,4.00
192,179,0,1.00,0
193,180,0,0.95,0
194,181,0,1.00,0
195,182,0,0.87,0
196,183,0,1.00,0
197,184,0,1.00,0
198,185,0,1.00,0
199,186,0,0.92,0
200,187,1,0.79,2.38
201,188,0,1.00,0
202,189,0,1.00,0
203,190,0,1.00,0
204,191,0,0.77,0
205,192,1,1.00,-2.00
206,193,0,1.00,0
207,194,0,1.00,0
208,195,0,1.00,0
209,196,1,0.76,1.59
210,197,0,0.92,0
211,198,0,1.00,0
212,199,0,0.95,0
213,200,0,1.00,0
214,201,0,1.00,0
215,202,0,1.00,0
216,203,0,0.78,0
217,204,0,1.00,0
218,205,0,0.76,0
219,206,0,1.00,0
220,207,1,0.73,1.90
221,208,0,1.00,0
222,209,0,1.00,0
223,210,0,0.95,0
224,211,0,0.95,0
225,212,0,1.00,0
226,213,0,0.73,0
227,214,0,0.73,0
228,215,0,0.95,0
229,216,0,1.00,0
