name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Ht_atpA_trimmed,100.00,1342,1340,-0.319096,12.325158,-0.388653,15.440922
Ht_petB_trimmed,100.00,235,233,0.389937,6.463804,0.426134,7.190156
Ht_petD_trimmed,100.00,425,423,-0.269248,5.749966,-0.378145,8.401097
Ht_psaA_trimmed,100.00,1865,1863,-0.058928,2.547913,-0.193378,8.507274
Ht_psaB_trimmed,100.00,1883,1881,0.039717,1.723911,0.011750,0.509624
Ht_psbA_trimmed,0.00,866,864,0.000000,0.000000,0.000000,0.000000
Ht_psbB_trimmed,0.00,1395,1393,0.000000,0.000000,0.000000,0.000000
Ht_psbC_trimmed,100.00,1321,1319,-0.195508,7.240197,-0.013534,0.491576
Ht_psbD_trimmed,100.00,1021,1019,0.106817,3.429410,0.019628,0.626696
Ht_psbE_trimmed,100.00,197,195,-0.521767,8.540838,-0.031353,0.438034
