name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Ht_atpA,100.00,1757,1755,-0.118056,4.980529,-0.301835,13.263275
Ht_petB,100.00,602,600,0.150195,3.721213,0.376159,9.944341
Ht_petD,100.00,426,424,-0.227474,4.810079,-0.414563,9.380432
Ht_psaA,100.00,2027,2025,-0.119734,5.427059,-0.147537,6.712622
Ht_psaB,0.00,2083,2081,0.000000,0.000000,0.000000,0.000000
Ht_psbA,100.00,922,920,-0.511890,18.073887,-0.493197,17.196349
Ht_psbB,0.00,1421,1419,0.000000,0.000000,0.000000,0.000000
Ht_psbC,100.00,1380,1378,-0.067308,2.504262,-0.032792,1.217949
Ht_psbD,100.00,1014,1012,-0.282092,9.353778,-0.118113,3.783902
Ht_psbE,100.00,211,209,0.031204,0.451330,-0.327256,5.006775
