,gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff
Km_Ac,atpA,40.0,8,11,15,20,0.62
Km_Ac,atpB,19.0,3,3,9,11,-0.21
Km_Ac,psbA,1.0,0,0,0,0,1.00
Km_Ac,psbC,27.0,6,8,12,14,0.41
Km_Ac,psbD,1.0,0,1,1,1,2.00
Km_Ac,psbE,1.0,0,0,0,1,3.00
Km_Ct,atpA,45.0,5,14,20,20,0.44
Km_Ct,atpB,24.0,5,4,12,11,-0.67
Km_Ct,chlI,16.0,0,7,5,8,1.88
Km_Ct,clpC,20.0,1,4,8,7,0.45
Km_Ct,dnaK,10.0,1,2,5,5,-0.60
Km_Ct,psaA,31.0,0,18,10,22,2.74
Km_Ct,psbA,1.0,0,1,1,1,3.00
Km_Ct,psbC,33.0,4,10,11,22,1.79
Km_Ct,psbD,1.0,0,1,1,1,2.00
Km_Ct,psbE,1.0,1,0,1,0,-6.00
Km_Ct,psbX,2.0,0,1,0,1,3.00
Km_Ct,rbcL,21.0,3,6,8,9,0.62
Km_Ct,rpl16,6.0,0,4,1,5,3.83
Km_Ct,rpl22,15.0,1,6,6,8,1.80
Km_Ct,rpl2,48.0,4,19,15,30,2.27
Km_Ct,rpoC1,14.0,3,1,5,4,-0.71
Km_Ct,rps11,8.0,2,3,4,3,0.00
Km_Ct,rps12,14.0,1,8,6,12,2.93
Km_Ct,rps13,5.0,1,1,2,3,1.20
Km_Ct,rps19,5.0,0,2,1,3,2.40
Km_Ct,rps3,27.0,2,6,13,11,0.22
Km_Ct,rps7,16.0,5,4,11,6,-0.50
Km_Ct,secA,26.0,3,6,10,10,0.19
Km_Ct,secY,32.0,7,2,14,14,-0.41
Km_Ct,ycf39,41.0,4,13,11,17,1.54
Km_Ct,ycf4,13.0,4,2,6,5,-0.85
Km_Eh,atpA,47.0,8,11,21,20,0.19
Km_Eh,atpB,24.0,3,3,11,10,-0.12
Km_Eh,cbbx,87.0,8,30,35,48,1.44
Km_Eh,chlI,16.0,0,7,6,9,1.94
Km_Eh,clpC,21.0,1,3,7,7,0.52
Km_Eh,dnaK5,10.0,0,2,6,4,-0.50
Km_Eh,psaA,31.0,2,17,10,23,2.58
Km_Eh,psbA,1.0,0,1,1,1,3.00
Km_Eh,psbC,33.0,4,10,11,22,1.73
Km_Eh,psbD,1.0,0,1,1,1,2.00
Km_Eh,psbE,1.0,0,0,1,0,-3.00
Km_Eh,rbcL,21.0,6,5,11,8,-0.62
Km_Eh,rpl16,5.0,1,2,2,3,0.60
Km_Eh,rpl22,15.0,2,6,7,9,1.67
Km_Eh,rpl2,48.0,4,21,16,28,2.21
Km_Eh,rpoC1,18.0,4,2,7,7,-0.39
Km_Eh,rps11,7.0,0,4,2,4,3.14
Km_Eh,rps12,13.0,1,8,6,11,2.77
Km_Eh,rps13,5.0,0,1,2,3,1.40
Km_Eh,rps19,5.0,0,2,1,3,2.40
Km_Eh,rps3,27.0,4,5,15,11,0.11
Km_Eh,rps7,16.0,2,3,4,4,0.62
Km_Eh,secA,26.0,3,4,8,9,0.35
Km_Eh,secY,35.0,6,5,13,18,0.34
Km_Eh,ycf39,60.0,14,12,23,26,0.57
Km_Eh,ycf4,12.0,2,3,6,4,-0.25
Km_Pt,atpA,50.0,3,13,15,23,1.08
Km_Pt,atpB,23.0,4,3,11,11,-0.52
Km_Pt,cbbx,86.0,12,28,34,45,1.17
Km_Pt,chlI,15.0,1,2,3,4,1.07
Km_Pt,clpC,23.0,3,5,9,10,0.65
Km_Pt,dnaK5,10.0,2,3,5,5,0.00
Km_Pt,psaA,31.0,3,1,10,7,-0.26
Km_Pt,psbA,1.0,0,1,1,1,3.00
Km_Pt,psbC,32.0,1,11,10,20,2.03
Km_Pt,psbD,1.0,0,1,1,1,2.00
Km_Pt,psbE,1.0,0,0,0,1,3.00
Km_Pt,psbX,2.0,1,0,1,0,-1.00
Km_Pt,rbcL,30.0,3,1,9,7,-0.20
Km_Pt,rpl16,5.0,0,2,2,3,1.20
Km_Pt,rpl22,14.0,0,7,6,10,2.71
Km_Pt,rpl2,49.0,9,16,17,21,1.57
Km_Pt,rpoC1,18.0,4,3,10,9,0.00
Km_Pt,rps11,8.0,0,4,1,6,3.00
Km_Pt,rps12,14.0,0,10,5,11,3.00
Km_Pt,rps13,5.0,0,0,2,1,-0.80
Km_Pt,rps19,5.0,0,3,1,3,3.20
Km_Pt,rps3,26.0,3,1,7,7,-0.38
Km_Pt,rps7,18.0,2,3,5,5,0.67
Km_Pt,secA,24.0,2,5,7,11,1.00
Km_Pt,secY,30.0,2,2,8,11,0.63
Km_Pt,ycf39,63.0,8,13,22,27,0.60
Km_Pt,ycf4,15.0,3,4,6,9,1.13
Km_Vb,atpA,45.0,8,8,16,21,0.42
Km_Vb,atpB,24.0,3,6,12,11,-0.04
Km_Vb,clpC,20.0,0,7,5,8,1.20
Km_Vb,psaA,31.0,2,12,11,17,1.81
Km_Vb,psbA,1.0,0,1,1,1,3.00
Km_Vb,psbC,37.0,4,9,14,17,0.86
Km_Vb,psbD,1.0,0,1,1,1,2.00
Km_Vb,psbE,1.0,0,0,1,0,-3.00
Km_Vb,rpl16,5.0,0,3,1,4,3.20
Km_Vb,rpl2,48.0,6,11,13,21,1.00
Km_Vb,rpoC1,15.0,2,4,6,4,0.00
Km_Vb,rps11,17.0,2,3,4,7,0.65
Km_Vb,rps13,4.0,1,0,1,1,-1.00
Km_Vb,rps19,5.0,0,2,2,3,2.40
Km_Vb,rps3,29.0,6,3,11,10,-0.52
Km_Vb,rps7,37.0,5,4,14,10,-0.32
Km_Vb,secA,24.0,2,5,10,8,0.46
Km_Vb,secY,31.0,7,3,16,13,-0.74
Km_Vb,ycf4,18.0,4,2,8,4,-0.56
