alignment position,genomic position,edited or not,positional entropy,average score difference
29,1,0,0.87,0
30,2,0,0.81,0
31,3,0,0.89,0
32,4,0,0.74,0
33,5,0,0.95,0
34,6,0,0.65,0
37,9,0,0.39,0
38,10,0,0.52,0
44,16,1,0.41,-1.07
45,17,0,0.73,0
46,18,0,0.73,0
47,19,0,0.38,0
48,20,0,0.95,0
66,38,0,0.85,0
67,39,0,0.81,0
68,40,1,0.53,3.13
69,41,0,1.00,0
70,42,0,1.00,0
71,43,0,1.00,0
72,44,0,0.89,0
73,45,0,0.89,0
74,46,0,0.87,0
75,47,0,1.00,0
76,48,0,1.00,0
77,49,0,1.00,0
78,50,0,1.00,0
79,51,0,1.00,0
80,52,0,0.77,0
81,53,0,1.00,0
82,54,0,1.00,0
83,55,0,1.00,0
84,56,0,1.00,0
85,57,0,0.92,0
86,58,0,0.95,0
87,59,0,0.95,0
88,60,0,0.92,0
89,61,0,1.00,0
90,62,1,0.79,2.00
91,63,0,0.83,0
92,64,0,0.89,0
93,65,0,0.87,0
94,66,0,0.83,0
95,67,0,0.66,0
96,68,0,1.00,0
97,69,0,0.89,0
98,70,0,1.00,0
99,71,0,0.70,0
100,72,1,1.00,6.00
101,73,1,1.00,2.00
102,74,0,0.87,0
103,75,0,1.00,0
104,76,0,1.00,0
105,77,1,0.95,0.97
106,78,0,0.92,0
107,79,0,1.00,0
109,80,0,0.95,0
110,81,0,0.95,0
111,82,0,1.00,0
112,83,0,1.00,0
113,84,0,1.00,0
114,85,0,0.95,0
115,86,0,0.89,0
116,87,0,1.00,0
117,88,0,0.87,0
118,89,0,1.00,0
119,90,0,1.00,0
120,91,0,1.00,0
121,92,0,1.00,0
122,93,0,1.00,0
123,94,0,1.00,0
124,95,0,0.92,0
125,96,0,1.00,0
126,97,0,0.87,0
127,98,0,1.00,0
128,99,0,1.00,0
129,100,0,1.00,0
130,101,0,0.85,0
131,102,0,1.00,0
132,103,0,0.92,0
133,104,0,1.00,0
134,105,0,1.00,0
135,106,0,0.92,0
136,107,0,0.87,0
137,108,0,1.00,0
138,109,0,1.00,0
139,110,0,0.90,0
140,111,0,0.87,0
141,112,0,0.83,0
142,113,0,0.87,0
143,114,0,1.00,0
144,115,0,1.00,0
145,116,0,1.00,0
146,117,0,1.00,0
147,118,0,1.00,0
148,119,0,0.90,0
149,120,0,1.00,0
150,121,0,0.82,0
151,122,0,0.81,0
152,123,0,0.95,0
153,124,0,0.90,0
154,125,0,1.00,0
155,126,0,0.76,0
156,127,0,1.00,0
157,128,0,0.83,0
158,129,0,1.00,0
159,130,0,1.00,0
160,131,0,1.00,0
161,132,0,1.00,0
162,133,0,0.73,0
163,134,0,1.00,0
164,135,0,0.58,0
165,136,1,1.00,2.00
166,137,0,0.92,0
167,138,0,1.00,0
168,139,0,1.00,0
169,140,0,0.73,0
170,141,0,0.90,0
171,142,0,0.82,0
172,143,1,0.85,-0.67
173,144,1,1.00,1.00
174,145,0,1.00,0
175,146,0,1.00,0
176,147,0,0.78,0
177,148,0,1.00,0
178,149,0,1.00,0
179,150,0,1.00,0
180,151,0,1.00,0
181,152,0,1.00,0
182,153,0,0.92,0
183,154,0,1.00,0
184,155,0,0.95,0
185,156,0,0.82,0
186,157,0,0.92,0
187,158,0,0.80,0
188,159,0,0.82,0
189,160,0,1.00,0
190,161,0,1.00,0
191,162,0,1.00,0
192,163,0,1.00,0
193,164,0,1.00,0
194,165,0,1.00,0
195,166,0,0.95,0
196,167,0,1.00,0
197,168,0,1.00,0
198,169,0,0.92,0
199,170,0,1.00,0
200,171,0,1.00,0
201,172,0,0.81,0
202,173,0,0.81,0
203,174,0,0.95,0
204,175,0,0.89,0
205,176,0,0.87,0
206,177,0,1.00,0
207,178,0,1.00,0
208,179,0,1.00,0
209,180,1,0.55,-0.43
210,181,0,1.00,0
211,182,0,1.00,0
212,183,0,1.00,0
213,184,0,1.00,0
214,185,0,1.00,0
215,186,0,0.83,0
216,187,0,0.85,0
217,188,0,1.00,0
218,189,0,1.00,0
219,190,0,1.00,0
220,191,0,0.95,0
221,192,0,1.00,0
222,193,0,1.00,0
223,194,0,0.89,0
224,195,0,1.00,0
225,196,0,1.00,0
226,197,0,1.00,0
227,198,0,0.89,0
228,199,0,1.00,0
229,200,0,1.00,0
230,201,0,1.00,0
231,202,0,1.00,0
232,203,0,0.83,0
233,204,0,1.00,0
234,205,0,1.00,0
235,206,0,0.75,0
236,207,0,1.00,0
237,208,0,1.00,0
238,209,0,1.00,0
239,210,0,1.00,0
240,211,0,1.00,0
241,212,0,0.89,0
242,213,0,1.00,0
243,214,0,0.95,0
244,215,0,0.95,0
245,216,0,1.00,0
246,217,0,1.00,0
247,218,0,1.00,0
248,219,0,1.00,0
249,220,0,1.00,0
250,221,0,1.00,0
251,222,0,1.00,0
252,223,0,1.00,0
253,224,0,1.00,0
254,225,0,0.85,0
255,226,0,1.00,0
256,227,0,1.00,0
257,228,0,0.81,0
258,229,0,0.95,0
259,230,0,1.00,0
260,231,0,1.00,0
261,232,0,0.92,0
262,233,0,1.00,0
263,234,0,1.00,0
264,235,0,1.00,0
265,236,0,1.00,0
266,237,0,1.00,0
267,238,0,1.00,0
268,239,0,1.00,0
269,240,1,0.77,1.00
270,241,0,1.00,0
271,242,0,1.00,0
272,243,0,0.89,0
273,244,0,0.95,0
274,245,0,0.95,0
275,246,0,1.00,0
276,247,0,1.00,0
277,248,0,0.87,0
278,249,0,0.85,0
279,250,0,0.84,0
280,251,0,0.77,0
281,252,0,1.00,0
282,253,1,1.00,0.00
283,254,0,0.95,0
284,255,0,1.00,0
285,256,0,1.00,0
286,257,0,0.77,0
287,258,0,1.00,0
288,259,0,0.95,0
289,260,0,1.00,0
290,261,0,0.77,0
291,262,0,1.00,0
292,263,0,1.00,0
293,264,0,1.00,0
294,265,0,1.00,0
295,266,0,0.95,0
296,267,0,1.00,0
297,268,0,1.00,0
298,269,0,1.00,0
299,270,0,1.00,0
300,271,0,1.00,0
301,272,0,1.00,0
302,273,0,0.95,0
303,274,0,1.00,0
304,275,0,1.00,0
305,276,0,1.00,0
306,277,0,0.92,0
307,278,0,1.00,0
308,279,0,1.00,0
309,280,0,0.95,0
310,281,0,1.00,0
311,282,0,1.00,0
312,283,0,1.00,0
313,284,0,1.00,0
314,285,0,1.00,0
315,286,0,1.00,0
316,287,0,1.00,0
317,288,0,1.00,0
318,289,0,1.00,0
319,290,0,1.00,0
320,291,0,1.00,0
321,292,0,0.92,0
322,293,0,1.00,0
323,294,0,0.95,0
324,295,0,1.00,0
325,296,0,1.00,0
326,297,0,0.92,0
327,298,0,0.79,0
328,299,0,1.00,0
329,300,0,0.82,0
330,301,0,1.00,0
331,302,0,0.77,0
332,303,0,1.00,0
333,304,0,0.83,0
334,305,1,0.68,3.27
335,306,0,1.00,0
336,307,0,0.79,0
337,308,0,0.95,0
338,309,0,1.00,0
339,310,0,1.00,0
340,311,0,0.95,0
341,312,0,0.90,0
342,313,0,1.00,0
343,314,0,1.00,0
344,315,0,1.00,0
345,316,0,1.00,0
346,317,0,1.00,0
347,318,0,1.00,0
348,319,0,1.00,0
349,320,0,0.95,0
350,321,0,1.00,0
351,322,0,1.00,0
352,323,0,1.00,0
353,324,0,0.85,0
354,325,0,0.95,0
355,326,1,1.00,4.00
356,327,1,1.00,4.00
357,328,0,1.00,0
358,329,0,1.00,0
359,330,0,1.00,0
360,331,0,1.00,0
361,332,0,1.00,0
362,333,0,1.00,0
363,334,0,1.00,0
364,335,0,1.00,0
365,336,0,1.00,0
366,337,0,1.00,0
367,338,0,1.00,0
368,339,0,1.00,0
369,340,0,0.75,0
370,341,0,1.00,0
