name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA_trimmed,79.02,656,654,-0.254322,6.725012,-0.299063,8.014884
Kv_atpB_trimmed,76.39,367,365,-0.821621,27.537076,-0.733177,20.597851
Kv_atpF_trimmed,70.65,147,145,-0.552793,7.987959,0.242211,3.006112
Kv_atpH_trimmed,29.46,114,112,-0.410067,4.758199,-0.311155,3.464960
Kv_atpI_trimmed,74.48,243,241,-0.529840,9.698566,-0.492689,8.789408
Kv_cbbX_trimmed,64.57,577,575,-0.756032,27.697567,-0.798541,31.810968
Kv_chlI_trimmed,80.35,613,611,-0.606019,18.831909,-0.702861,24.424209
Kv_clpC_trimmed,83.51,564,562,0.207877,5.038102,-0.163603,3.931437
Kv_groEL_trimmed,71.88,325,323,-0.691559,17.206840,-0.544523,11.667737
Kv_petA_trimmed,86.49,628,626,-0.353782,9.463666,-0.556748,16.769148
Kv_petB_trimmed,55.99,364,362,-0.510645,11.300049,-0.746362,21.336813
Kv_petD_trimmed,66.10,288,286,0.257371,4.504277,-0.218340,3.783754
Kv_psaA_trimmed,79.58,413,411,-0.836553,30.954523,-0.755672,23.390829
Kv_psaB_trimmed,82.92,306,304,-0.827918,25.738189,-0.904178,36.906572
Kv_psaFJ_trimmed,74.85,178,176,-0.594615,9.811384,-0.717272,13.656398
Kv_psbA_trimmed,100.00,726,724,-0.026651,0.717372,-0.216023,5.953159
Kv_psbB_trimmed,100.00,1487,1485,-0.240548,9.550113,-0.110257,4.274907
Kv_psbC_trimmed,100.00,539,537,-0.545376,15.077866,-0.766223,27.632428
Kv_psbD_trimmed,49.81,234,232,-0.414167,6.930784,-0.060843,0.928459
Kv_psbE_trimmed,64.49,144,142,0.405424,5.285020,-0.269766,3.338399
Kv_psbF_trimmed,0.00,41,39,0.000000,0.000000,0.000000,0.000000
Kv_psbH_trimmed,66.89,132,130,-0.433133,5.479095,-0.556232,7.631552
Kv_psbI_trimmed,75.60,54,52,-0.645640,6.096807,-0.538726,4.611157
Kv_psbL_trimmed,68.97,132,130,-0.805508,15.498559,-0.935014,30.063262
Kv_psbN_trimmed,58.25,78,76,-0.551027,5.756517,0.524923,5.376466
Kv_psbT_trimmed,42.37,42,40,-0.855119,10.431918,-0.425605,2.974623
Kv_psbV_trimmed,82.70,312,310,-0.440883,8.648461,-0.462499,9.184479
Kv_rbcL_trimmed,76.22,618,616,-0.501845,14.400083,-0.736125,26.993071
Kv_rbcS2_trimmed,100.00,229,227,0.126419,1.920106,-0.041091,0.619623
Kv_rpl14_trimmed,64.61,249,247,-0.012904,0.202819,0.093653,1.478371
Kv_rpl16_trimmed,76.80,197,195,-0.848200,22.361736,-0.906979,30.071211
Kv_rpl19_trimmed,83.85,163,161,0.214898,2.791979,0.027002,0.342746
Kv_rpl20_trimmed,86.16,129,127,-0.906371,24.176880,-0.616829,8.831576
Kv_rpl27_trimmed,63.90,101,99,-0.912912,22.254564,-0.931640,25.509454
Kv_rpl31_trimmed,61.21,141,139,-0.394647,5.063843,-0.702064,11.623424
Kv_rpl33_trimmed,100.00,106,104,-0.767878,12.224298,-0.908128,22.119216
Kv_rpl36_trimmed,100.00,348,346,-0.761577,21.858848,0.748407,20.989680
Kv_rpl3_trimmed,48.57,472,470,-0.571152,15.084792,-0.474941,11.700313
Kv_rpl5_trimmed,60.86,493,491,-0.178757,4.025840,-0.243348,5.559339
Kv_rpl6_trimmed,68.32,298,296,-0.559645,11.618329,-0.796937,22.698018
Kv_rpoA_trimmed,88.42,590,588,-0.504408,14.165281,-0.341206,8.802030
Kv_rpoB_trimmed,88.00,140,138,-0.635412,9.666738,-0.808576,16.143361
Kv_rpoC1_trimmed,96.74,358,356,-0.413064,8.557872,-0.503941,11.008367
Kv_rpoC2_trimmed,83.25,720,718,0.151192,4.098372,0.124054,3.349958
Kv_rps11_trimmed,19.67,56,54,0.369977,2.926419,0.297616,2.290830
Kv_rps12_trimmed,100.00,312,310,-0.634687,14.460739,-0.411536,7.950294
Kv_rps13_trimmed,65.94,192,190,0.511880,8.213398,0.506949,8.106737
Kv_rps19_trimmed,53.67,78,76,-0.110773,0.971677,-0.342240,3.175331
Kv_rps2_trimmed,61.75,611,609,0.020777,0.512847,-0.258721,6.609755
Kv_rps3_trimmed,71.23,389,387,-0.458589,10.151931,-0.208785,4.199833
Kv_rps4_trimmed,97.20,482,480,-0.506815,12.880562,-0.605416,16.665238
Kv_rps5_trimmed,86.60,280,278,-0.345429,6.137221,-0.399097,7.257286
Kv_rps7_trimmed,63.02,202,200,0.534759,8.949825,0.222966,3.234649
Kv_rps8_trimmed,75.93,341,339,0.013825,0.254568,-0.608834,14.130648
Kv_rps9_trimmed,87.28,325,323,0.350139,6.718038,0.281134,5.264938
Kv_tufA_trimmed,74.57,803,801,-0.032244,0.913044,-0.338734,10.189200
Kv_ycf39_trimmed,82.28,390,388,-0.236578,4.796198,-0.388745,8.311103
Kv_ycf3_trimmed,100.00,766,764,-0.384277,11.504998,0.330423,9.676581
Kv_ycf4_trimmed,77.50,419,417,0.397678,8.850786,-0.160597,3.322603
