name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Pl_atpA_trimmed,71.49,1343,1341,-0.710281,36.950716,-0.780651,45.741826
Pl_atpB_trimmed,79.10,1392,1390,-0.721652,38.865920,-0.836043,56.810608
Pl_petB_trimmed,73.22,597,595,-0.677617,22.475535,-0.766564,29.117829
Pl_petD_trimmed,74.22,414,412,-0.184298,3.806040,-0.548985,13.331849
Pl_psaA_trimmed,86.46,2069,2067,-0.352366,17.117953,-0.312151,14.938138
Pl_psaB_trimmed,77.70,2014,2012,-0.629245,36.315915,-0.666489,40.100602
Pl_psbA_trimmed,74.94,979,977,-0.602832,23.616304,-0.693023,30.047616
Pl_psbB_trimmed,63.08,1384,1382,-0.372703,14.931123,-0.496899,21.286215
Pl_psbC_trimmed,72.66,1329,1327,-0.193487,7.184104,-0.329946,12.732291
Pl_psbD_trimmed,100.00,1006,1004,-0.672764,28.812581,-0.728965,33.741735
Pl_psbE_trimmed,100.00,167,165,-0.351095,4.816517,-0.175769,2.293495
