name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Ht_atpA_trimmed,100.00,1315,1313,-0.294181,11.153286,-0.322126,12.329540
Ht_petB_trimmed,100.00,600,598,0.114534,2.819380,0.271624,6.901800
Ht_petD_trimmed,100.00,419,417,-0.143287,2.956517,-0.344975,7.505323
Ht_psaB_trimmed,0.00,1891,1889,0.000000,0.000000,0.000000,0.000000
Ht_psbA_trimmed,0.00,974,972,0.000000,0.000000,0.000000,0.000000
Ht_psbB_trimmed,0.00,1457,1455,0.000000,0.000000,0.000000,0.000000
Ht_psbC_trimmed,100.00,1311,1309,0.004032,0.145865,0.125168,4.564481
Ht_psbD_trimmed,100.00,1006,1004,-0.274368,9.040540,-0.049400,1.567201
Ht_psbE_trimmed,100.00,174,172,0.180660,2.408978,0.140640,1.862994
