gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff

atpA,26.0,2,8,9,10,1.12
atpB,20.0,2,4,8,10,1.00
atpF,6.0,3,0,3,2,-1.33
atpH,2.0,2,0,2,1,-4.00
atpI,11.0,2,4,6,7,0.09
cbbX,21.0,2,11,8,14,2.10
chlI,11.0,0,1,3,3,1.73
clpC,14.0,3,1,6,5,-0.64
groEL,17.0,3,7,8,11,1.47
petA,44.0,3,10,12,17,1.20
petB,30.0,3,9,13,15,0.57
petD,29.0,3,10,10,14,1.17
psaA,20.0,3,5,10,5,-0.80
psaB,11.0,1,2,3,4,0.55
psaFJ,11.0,0,2,3,5,1.73
psbA,2.0,0,2,2,2,1.50
psbB,20.0,4,6,9,10,0.55
psbC,4.0,0,4,1,4,5.25
psbD,29.0,24,3,28,9,-5.07
psbE,9.0,0,2,4,5,1.33
psbF,0.0,0,0,0,0,0.00
psbH,12.0,1,6,4,8,2.50
psbI,6.0,1,0,1,0,0.17
psbL,3.0,0,0,1,0,-1.33
psbN,2.0,0,1,0,1,3.00
psbT,5.0,0,2,4,4,0.60
psbV,9.0,1,3,4,5,1.33
rbcL,11.0,2,2,2,5,0.18
rbcS2,6.0,2,2,3,3,-0.50
rpl14,13.0,4,5,9,7,-0.08
rpl16,13.0,3,3,6,7,1.00
rpl19,8.0,0,3,4,5,0.75
rpl20,7.0,0,3,2,3,2.14
rpl27,6.0,1,1,3,1,-0.83
rpl31,11.0,2,2,6,6,-0.82
rpl33,1.0,0,1,1,1,4.00
rpl36,6.0,1,2,1,3,2.00
rpl3,13.0,2,4,7,8,0.46
rpl5,20.0,6,2,8,10,-0.10
rpl6,12.0,1,6,5,7,2.25
rpoA,17.0,1,2,1,5,1.24
rpoB,7.0,0,3,2,3,1.57
rpoC1,18.0,4,1,7,4,-1.89
rpoC2,18.0,3,5,8,9,0.61
rps11,3.0,1,0,1,1,-1.33
rps12,3.0,1,2,1,2,1.00
rps13,17.0,4,3,8,9,0.29
rps19,5.0,2,1,3,3,-1.60
rps2,39.0,3,9,11,16,1.18
rps3,20.0,2,3,11,6,-0.20
rps4,13.0,0,3,2,4,1.54
rps5,16.0,4,2,5,10,0.94
rps7,10.0,2,2,2,4,0.50
rps8,8.0,1,4,4,6,1.88
rps9,3.0,0,0,1,0,-1.67
tufA,23.0,4,5,10,11,-0.04
ycf39,19.0,1,4,4,6,0.68
ycf3,10.0,1,3,3,5,1.40
ycf4,30.0,6,8,12,13,0.90
