gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff

atpA,47.0,8,11,21,20,0.19
atpB,24.0,3,3,11,10,-0.12
cbbx,87.0,8,30,35,48,1.44
chlI,16.0,0,7,6,9,1.94
clpC,21.0,1,3,7,7,0.52
dnaK5,10.0,0,2,6,4,-0.50
psaA,31.0,2,17,10,23,2.58
psbA,1.0,0,1,1,1,3.00
psbC,33.0,4,10,11,22,1.73
psbD,1.0,0,1,1,1,2.00
psbE,1.0,0,0,1,0,-3.00
rbcL,21.0,6,5,11,8,-0.62
rpl16,5.0,1,2,2,3,0.60
rpl22,15.0,2,6,7,9,1.67
rpl2,48.0,4,21,16,28,2.21
rpoC1,18.0,4,2,7,7,-0.39
rps11,7.0,0,4,2,4,3.14
rps12,13.0,1,8,6,11,2.77
rps13,5.0,0,1,2,3,1.40
rps19,5.0,0,2,1,3,2.40
rps3,27.0,4,5,15,11,0.11
rps7,16.0,2,3,4,4,0.62
secA,26.0,3,4,8,9,0.35
secY,35.0,6,5,13,18,0.34
ycf39,60.0,14,12,23,26,0.57
ycf4,12.0,2,3,6,4,-0.25
