name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Pl_atpA_trimmed,72.82,1357,1355,-0.689317,35.024726,-0.737004,40.138814
Pl_atpB_trimmed,75.16,1529,1527,-0.703885,38.723178,-0.781675,48.975631
Pl_petB_trimmed,69.69,237,235,-0.775002,18.799598,-0.812032,21.329585
Pl_petD_trimmed,76.47,413,411,-0.648043,17.250272,-0.447199,10.136159
Pl_psaA_trimmed,85.34,2055,2053,-0.330887,15.887411,-0.301271,14.315741
Pl_psaB_trimmed,75.67,2019,2017,-0.517401,27.154183,-0.639555,37.363587
Pl_psbA_trimmed,75.34,979,977,-0.547513,20.451322,-0.775195,38.355880
Pl_psbB_trimmed,62.23,1392,1390,-0.323740,12.756895,-0.414156,16.964148
Pl_psbC_trimmed,73.25,1315,1313,-0.319985,12.238231,-0.198505,7.338955
Pl_psbD_trimmed,73.40,1069,1067,-0.554410,21.760188,-0.552258,21.638583
Pl_psbE_trimmed,100.00,174,172,-0.552854,8.701313,-0.369370,5.212877
