,alignment position,genomic position,edited or not,positional entropy,average score difference
Pl_atpA,1,1,0,0.90,0
Pl_atpA,2,2,0,0.58,0
Pl_atpA,3,3,1,0.55,0.17
Pl_atpA,4,4,1,0.61,-0.57
Pl_atpA,5,5,0,0.67,0
Pl_atpA,6,6,1,0.78,1.07
Pl_atpA,7,7,0,0.78,0
Pl_atpA,8,8,0,0.89,0
Pl_atpA,9,9,0,0.85,0
Pl_atpA,10,10,0,0.84,0
Pl_atpA,31,11,0,0.97,0
Pl_atpA,32,12,0,0.82,0
Pl_atpA,33,13,1,0.97,0.97
Pl_atpA,34,14,0,0.73,0
Pl_atpA,35,15,0,0.92,0
Pl_atpA,36,16,0,0.76,0
Pl_atpA,37,17,0,0.97,0
Pl_atpA,38,18,0,0.92,0
Pl_atpA,39,19,0,0.97,0
Pl_atpA,40,20,0,0.97,0
Pl_atpA,41,21,0,0.97,0
Pl_atpA,42,22,1,0.92,0.00
Pl_atpA,43,23,0,0.85,0
Pl_atpA,44,24,0,0.85,0
Pl_atpA,45,25,0,0.95,0
Pl_atpA,46,26,0,0.90,0
Pl_atpA,47,27,0,0.58,0
Pl_atpA,48,28,1,0.47,2.67
Pl_atpA,49,29,0,0.84,0
Pl_atpA,50,30,0,0.85,0
Pl_atpA,51,31,0,0.72,0
Pl_atpA,52,32,0,1.00,0
Pl_atpA,53,33,0,1.00,0
Pl_atpA,54,34,0,0.89,0
Pl_atpA,55,35,0,0.78,0
Pl_atpA,56,36,0,0.82,0
Pl_atpA,57,37,0,0.95,0
Pl_atpA,64,38,1,0.76,1.10
Pl_atpA,68,40,1,0.90,1.00
Pl_atpA,69,41,0,0.68,0
Pl_atpA,70,42,0,1.00,0
Pl_atpA,71,43,0,0.84,0
Pl_atpA,72,44,0,0.95,0
Pl_atpA,73,45,0,0.95,0
Pl_atpA,74,46,0,0.95,0
Pl_atpA,75,47,0,0.95,0
Pl_atpA,76,48,0,0.95,0
Pl_atpA,77,49,0,0.54,0
Pl_atpA,78,50,0,0.70,0
Pl_atpA,79,51,0,0.85,0
Pl_atpA,85,57,0,0.95,0
Pl_atpA,86,58,0,1.00,0
Pl_atpA,87,59,0,0.70,0
Pl_atpA,88,60,0,0.95,0
Pl_atpA,89,61,0,0.95,0
Pl_atpA,90,62,0,0.84,0
Pl_atpA,91,63,0,0.90,0
Pl_atpA,92,64,1,0.51,2.57
Pl_atpA,93,65,0,0.82,0
Pl_atpA,94,66,1,0.54,0.50
Pl_atpA,95,67,1,0.29,0.00
Pl_atpA,96,68,1,0.90,-0.93
Pl_atpA,97,69,0,0.72,0
Pl_atpA,98,70,1,0.90,1.00
Pl_atpA,99,71,0,1.00,0
Pl_atpA,100,72,0,0.82,0
Pl_atpA,101,73,0,0.42,0
Pl_atpA,102,74,0,0.95,0
Pl_atpA,103,75,0,0.64,0
Pl_atpA,104,76,0,0.63,0
Pl_atpA,105,77,1,0.95,1.00
Pl_atpA,106,78,1,0.85,1.00
Pl_atpA,107,79,0,0.62,0
Pl_atpA,108,80,0,0.90,0
Pl_atpA,109,81,0,1.00,0
Pl_atpA,110,82,0,0.78,0
Pl_atpA,111,83,0,0.74,0
Pl_atpA,112,84,1,0.85,0.93
Pl_atpA,113,85,0,0.85,0
Pl_atpA,114,86,0,0.87,0
Pl_atpA,115,87,1,0.61,-3.00
Pl_atpA,116,88,0,0.48,0
Pl_atpA,117,89,0,0.46,0
Pl_atpA,118,90,0,0.85,0
Pl_atpA,119,91,0,0.95,0
Pl_atpA,120,92,0,0.95,0
Pl_atpA,121,93,0,0.90,0
Pl_atpA,122,94,0,0.73,0
Pl_atpA,123,95,0,0.69,0
Pl_atpA,124,96,1,0.62,2.07
Pl_atpA,125,97,0,0.95,0
Pl_atpA,126,98,0,0.73,0
Pl_atpA,127,99,0,0.34,0
Pl_atpA,128,100,0,0.79,0
Pl_atpA,129,101,0,0.90,0
Pl_atpA,130,102,0,0.95,0
Pl_atpA,131,103,0,0.80,0
Pl_atpA,132,104,1,0.80,-1.13
Pl_atpA,133,105,1,0.90,-0.80
Pl_atpA,134,106,0,0.37,0
Pl_atpA,135,107,0,0.57,0
