alignment position,genomic position,edited or not,positional entropy,average score difference
85,1,1,1.00,0.00
86,2,0,1.00,0
87,3,0,0.90,0
88,4,0,0.85,0
89,5,1,0.95,5.77
90,6,0,0.90,0
91,7,0,0.95,0
92,8,0,1.00,0
93,9,0,1.00,0
94,10,0,0.92,0
95,11,0,0.95,0
96,12,0,1.00,0
97,13,0,0.95,0
98,14,0,1.00,0
99,15,0,1.00,0
100,16,0,1.00,0
101,17,0,0.87,0
102,18,0,0.61,0
103,19,0,0.95,0
104,20,1,0.66,-0.37
105,21,0,0.54,0
106,22,0,0.83,0
107,23,0,1.00,0
108,24,0,0.87,0
109,25,0,0.74,0
110,26,0,0.74,0
111,27,0,0.75,0
112,28,0,1.00,0
113,29,0,0.90,0
114,30,0,0.95,0
115,31,0,1.00,0
116,32,0,0.65,0
117,33,0,0.95,0
118,34,0,0.90,0
119,35,0,1.00,0
120,36,0,1.00,0
121,37,0,0.95,0
122,38,0,0.95,0
123,39,0,0.95,0
124,40,0,0.80,0
125,41,0,0.52,0
126,42,0,0.95,0
127,43,0,0.51,0
128,44,0,0.80,0
129,45,0,0.95,0
130,46,0,0.95,0
131,47,0,0.74,0
132,48,0,0.64,0
133,49,0,0.71,0
134,50,1,0.67,1.83
135,51,1,0.55,0.80
136,52,1,0.39,0.00
138,53,1,0.97,0.00
139,54,1,0.79,0.97
140,55,0,0.82,0
141,56,0,0.86,0
142,57,0,0.64,0
143,58,0,0.61,0
144,59,0,0.97,0
145,60,0,0.97,0
146,61,0,0.87,0
147,62,0,1.00,0
148,63,0,0.72,0
149,64,0,1.00,0
150,65,0,0.95,0
151,66,0,0.95,0
152,67,0,1.00,0
153,68,0,0.87,0
154,69,0,1.00,0
155,70,0,0.69,0
156,71,1,0.95,-0.93
157,72,0,0.79,0
158,73,0,0.95,0
159,74,0,0.43,0
160,75,0,0.76,0
161,76,0,0.95,0
162,77,0,0.95,0
163,78,0,0.26,0
164,79,1,0.87,1.80
165,80,0,0.73,0
166,81,0,0.69,0
167,82,1,0.73,0.80
168,83,1,1.00,4.00
169,84,0,0.71,0
170,85,0,0.41,0
171,86,0,0.78,0
172,87,0,0.80,0
173,88,0,0.52,0
174,89,0,0.59,0
175,90,0,0.59,0
176,91,0,1.00,0
177,92,0,0.75,0
178,93,0,0.86,0
179,94,0,0.92,0
180,95,0,0.87,0
181,96,0,1.00,0
182,97,0,0.90,0
183,98,1,0.95,-1.00
184,99,1,0.95,0.10
201,116,0,0.97,0
202,117,0,0.74,0
203,118,0,0.89,0
204,119,0,0.55,0
205,120,0,1.00,0
206,121,0,0.59,0
207,122,0,0.74,0
208,123,0,0.72,0
209,124,0,0.90,0
210,125,0,0.95,0
211,126,0,0.90,0
212,127,0,0.81,0
213,128,0,0.80,0
214,129,0,0.95,0
215,130,0,0.90,0
220,135,0,0.97,0
221,136,1,0.92,3.80
222,137,0,0.97,0
223,138,0,0.97,0
224,139,0,0.97,0
225,140,0,0.92,0
226,141,0,0.76,0
227,142,1,0.95,1.00
228,143,0,0.95,0
229,144,0,0.84,0
230,145,0,0.95,0
231,146,1,0.70,-0.27
232,147,0,0.95,0
233,148,0,1.00,0
234,149,0,0.87,0
235,150,0,0.95,0
236,151,0,1.00,0
237,152,0,0.75,0
238,153,0,0.92,0
239,154,0,1.00,0
240,155,0,0.87,0
241,156,0,0.82,0
242,157,0,0.95,0
243,158,1,0.84,0.73
244,159,1,1.00,4.00
245,160,0,0.92,0
246,161,0,0.97,0
248,162,0,0.74,0
249,163,0,0.86,0
250,164,0,0.97,0
251,165,0,0.97,0
271,166,0,0.95,0
272,167,0,0.84,0
273,168,1,0.85,-0.90
274,169,0,0.50,0
315,170,0,0.80,0
316,171,0,0.97,0
317,172,1,0.74,-0.17
318,173,0,0.97,0
319,174,0,0.95,0
320,175,0,1.00,0
321,176,0,1.00,0
322,177,0,0.92,0
323,178,0,0.87,0
324,179,0,1.00,0
325,180,0,1.00,0
326,181,0,0.95,0
327,182,0,0.85,0
328,183,0,0.95,0
329,184,1,0.90,0.13
330,185,0,0.83,0
331,186,1,0.92,-2.00
332,187,0,0.85,0
333,188,0,0.83,0
334,189,0,0.95,0
335,190,0,0.95,0
336,191,0,0.87,0
337,192,0,1.00,0
338,193,0,0.71,0
339,194,0,1.00,0
340,195,0,1.00,0
341,196,0,1.00,0
342,197,0,0.92,0
343,198,0,0.95,0
344,199,0,1.00,0
345,200,0,0.95,0
