name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA_trimmed,80.30,652,650,-0.521787,15.594162,-0.391668,10.852670
Kv_atpB_trimmed,75.93,370,368,-0.503884,11.190658,-0.679897,17.786089
Kv_atpF_trimmed,59.88,165,163,-0.426696,6.023567,0.046152,0.589853
Kv_atpH_trimmed,28.35,114,112,-0.373011,4.254644,-0.153323,1.642038
Kv_atpI_trimmed,74.48,231,229,-0.570191,10.503271,-0.689334,14.399333
Kv_chlI_trimmed,80.73,607,605,-0.697774,23.959992,-0.704449,24.412893
Kv_clpC_trimmed,72.29,575,573,-0.196343,4.793246,-0.250247,6.187139
Kv_groEL_trimmed,70.44,328,326,-0.618329,14.205285,-0.372356,7.243968
Kv_petA_trimmed,68.16,631,629,-0.283174,7.405054,-0.427631,11.864472
Kv_petB_trimmed,55.33,367,365,-0.664457,16.986470,-0.834883,28.978266
Kv_petD_trimmed,66.84,286,284,-0.529530,10.519738,-0.285892,5.027795
Kv_psaA_trimmed,100.00,1687,1685,-0.437726,19.984351,-0.488065,22.954050
Kv_psaB_trimmed,90.07,306,304,-0.727434,18.483921,-0.891737,34.356102
Kv_psaFJ_trimmed,68.40,161,159,-0.884124,23.859499,-0.728545,13.411122
Kv_psbA_trimmed,100.00,726,724,-0.418706,12.406079,-0.478292,14.654436
Kv_psbB_trimmed,100.00,1314,1312,0.055722,2.021477,-0.186013,6.857368
Kv_psbC_trimmed,100.00,539,537,-0.395271,9.971776,-0.491777,13.088094
Kv_psbD_trimmed,61.14,234,232,-0.043189,0.658456,-0.027100,0.412921
Kv_psbE_trimmed,64.49,144,142,-0.194028,2.356904,-0.384418,4.962161
Kv_psbF_trimmed,100.00,41,39,-0.504061,3.644760,0.437763,3.040659
Kv_psbH_trimmed,58.85,134,132,-0.610577,8.857788,-0.701245,11.300976
Kv_psbI_trimmed,69.80,54,52,-0.444511,3.578379,-0.429394,3.428572
Kv_psbL_trimmed,68.45,131,129,-0.908839,24.745279,-0.844357,17.899221
Kv_psbN_trimmed,51.85,77,75,-0.243794,2.177009,0.122741,1.071070
Kv_psbT_trimmed,52.34,45,43,-0.758462,7.631485,-0.908568,14.262243
Kv_psbV_trimmed,82.70,312,310,0.162258,2.895217,-0.098077,1.735189
Kv_rpl14_trimmed,68.41,252,250,-0.178546,2.869158,-0.272634,4.480448
Kv_rpl16_trimmed,72.97,176,174,-0.430120,6.284731,-0.165959,2.219929
Kv_rpl19_trimmed,83.09,165,163,-0.157786,2.040029,0.170372,2.207434
Kv_rpl20_trimmed,80.73,217,215,0.079690,1.172206,-0.179240,2.671433
Kv_rpl27_trimmed,70.91,94,92,-0.461980,4.996291,-0.811926,13.340607
Kv_rpl31_trimmed,62.18,141,139,-0.471685,6.306748,-0.567149,8.118573
Kv_rpl33_trimmed,100.00,115,113,-0.801865,14.265864,-0.911100,23.497080
Kv_rpl36_trimmed,100.00,349,347,-0.806828,25.439870,0.748115,21.001339
Kv_rpl3_trimmed,85.43,494,492,-0.404550,9.812122,-0.364383,8.679112
Kv_rpl5_trimmed,67.87,490,488,-0.471617,11.814838,-0.290915,6.717053
Kv_rpl6_trimmed,69.15,289,287,-0.750445,19.235435,-0.714724,17.312104
Kv_rpoA_trimmed,89.22,609,607,-0.210167,5.296260,-0.260864,6.657526
Kv_rpoB_trimmed,87.80,138,136,-0.704553,11.578111,-0.834646,17.672086
Kv_rpoC1_trimmed,90.92,366,364,-0.260120,5.139704,-0.575596,13.429406
Kv_rpoC2_trimmed,63.52,503,501,-0.595135,16.576045,-0.426844,10.564854
Kv_rps11_trimmed,21.87,57,55,0.079503,0.591486,0.468467,3.932454
Kv_rps12_trimmed,100.00,315,313,-0.399785,7.716409,-0.291259,5.386439
Kv_rps13_trimmed,49.75,192,190,-0.072899,1.007524,0.173034,2.421643
Kv_rps14_trimmed,100.00,223,221,-0.721417,15.486825,-0.799914,19.815521
Kv_rps16_trimmed,87.47,202,200,-0.539897,9.070936,-0.897325,28.751537
Kv_rps19_trimmed,74.40,621,619,-0.821021,35.780021,0.395953,10.727995
Kv_rps2_trimmed,57.52,605,603,0.188224,4.706170,-0.230443,5.815298
Kv_rps3_trimmed,62.12,370,368,-0.614274,14.933376,-0.148076,2.872263
Kv_rps4_trimmed,71.02,537,535,-0.343640,8.463843,-0.452458,11.735297
Kv_rps5_trimmed,93.24,386,384,-0.104906,2.067135,-0.191914,3.831969
Kv_rps7_trimmed,61.50,216,214,-0.100486,1.477458,-0.214243,3.208602
Kv_rps8_trimmed,81.48,341,339,-0.160543,2.994757,-0.340469,6.667008
Kv_rps9_trimmed,97.90,82,80,-0.793673,11.669087,-0.820893,12.856796
Kv_secY_trimmed,72.12,734,732,-0.152826,4.183931,0.087750,2.383301
Kv_tufA_trimmed,75.21,793,791,-0.337753,10.092274,-0.389095,11.879322
Kv_ycf39_trimmed,83.29,388,386,-0.110815,2.190656,0.075864,1.494792
Kv_ycf3_trimmed,100.00,709,707,-0.631078,21.631579,0.335459,9.468317
Kv_ycf4_trimmed,70.42,414,412,-0.329800,7.090941,-0.268491,5.657507
