alignment position,genomic position,edited or not,positional entropy,average score difference
22,2,0,0.79,0
23,3,0,0.83,0
24,4,0,0.97,0
25,5,0,0.92,0
26,6,0,0.97,0
27,7,1,0.92,7.41
28,8,0,0.75,0
29,9,0,0.97,0
30,10,0,0.97,0
31,11,0,0.97,0
32,12,0,0.92,0
33,13,0,0.81,0
34,14,0,0.97,0
35,15,0,0.71,0
36,16,0,0.97,0
37,17,1,0.97,3.86
38,18,0,0.92,0
39,19,0,0.97,0
40,20,0,0.92,0
41,21,0,0.74,0
42,22,0,0.97,0
43,23,0,0.97,0
44,24,0,0.92,0
45,25,0,0.97,0
46,26,0,0.97,0
47,27,0,0.92,0
48,28,0,0.97,0
51,30,0,0.97,0
52,31,0,0.97,0
53,32,0,0.97,0
54,33,0,0.97,0
55,34,0,0.66,0
56,35,0,0.97,0
57,36,0,0.97,0
58,37,0,0.87,0
59,38,0,0.74,0
60,39,0,0.74,0
61,40,0,0.86,0
62,41,0,0.79,0
63,42,1,0.97,5.79
64,43,0,0.77,0
65,44,0,0.71,0
66,45,0,0.97,0
67,46,1,0.81,0.90
68,47,0,0.97,0
69,48,0,0.86,0
70,49,0,0.97,0
71,50,0,0.97,0
72,51,0,0.97,0
73,52,0,0.97,0
74,53,0,0.97,0
75,54,0,0.92,0
76,55,0,0.97,0
77,56,0,0.97,0
78,57,0,0.97,0
79,58,0,0.97,0
80,59,0,0.73,0
81,60,0,0.88,0
82,61,0,0.54,0
83,62,0,0.78,0
84,63,0,0.97,0
85,64,0,0.92,0
86,65,0,0.68,0
87,66,0,0.97,0
88,67,0,0.86,0
89,68,0,0.72,0
90,69,0,0.97,0
91,70,0,0.74,0
92,71,0,0.92,0
93,72,0,0.87,0
94,73,0,0.52,0
95,74,0,0.88,0
96,75,1,0.92,2.83
97,76,0,0.88,0
98,77,0,0.97,0
99,78,0,0.97,0
100,79,0,0.97,0
101,80,0,0.80,0
102,81,0,0.97,0
103,82,0,0.97,0
104,83,0,0.61,0
105,84,0,0.97,0
106,85,0,0.97,0
107,86,0,0.92,0
108,87,0,0.92,0
109,88,0,0.92,0
110,89,0,0.92,0
111,90,0,0.92,0
112,91,0,0.97,0
113,92,0,0.97,0
114,93,0,0.83,0
115,94,0,0.76,0
116,95,0,0.76,0
117,96,0,0.72,0
118,97,0,0.97,0
119,98,0,0.97,0
120,99,0,0.68,0
121,100,0,0.79,0
122,101,0,0.97,0
124,102,0,0.97,0
125,103,0,0.97,0
126,104,0,0.97,0
127,105,0,0.92,0
128,106,0,0.97,0
129,107,0,0.97,0
130,108,0,0.97,0
131,109,0,0.87,0
132,110,1,0.97,7.72
133,111,0,0.97,0
134,112,0,0.97,0
135,113,0,0.97,0
136,114,0,0.97,0
137,115,0,0.97,0
138,116,0,0.81,0
139,117,0,0.87,0
140,118,0,1.00,0
141,119,1,0.95,0.97
142,120,0,0.55,0
143,121,0,0.89,0
144,122,0,0.74,0
145,123,0,0.84,0
146,124,0,0.54,0
147,125,0,1.00,0
148,126,0,0.89,0
149,127,1,1.00,6.00
150,128,0,1.00,0
151,129,0,1.00,0
152,130,0,1.00,0
153,131,0,1.00,0
154,132,0,1.00,0
155,133,0,1.00,0
