alignment position,genomic position,edited or not,positional entropy,average score difference
14,1,0,0.66,0
15,2,0,0.92,0
16,3,0,0.82,0
17,4,0,0.87,0
18,5,0,0.92,0
19,6,0,0.97,0
20,7,0,0.92,0
21,8,1,0.97,2.90
22,9,0,0.97,0
23,10,0,0.95,0
24,11,0,1.00,0
25,12,0,0.95,0
26,13,0,0.77,0
27,14,0,0.85,0
28,15,0,0.95,0
29,16,0,1.00,0
30,17,0,1.00,0
31,18,1,1.00,8.00
32,19,0,1.00,0
34,20,0,1.00,0
35,21,0,1.00,0
36,22,0,0.95,0
37,23,0,0.85,0
38,24,1,0.89,-1.90
39,25,0,1.00,0
40,26,0,0.61,0
41,27,0,1.00,0
42,28,1,0.95,7.69
43,29,0,0.84,0
44,30,0,0.71,0
45,31,0,0.95,0
46,32,0,1.00,0
47,33,0,0.89,0
48,34,0,0.95,0
49,35,0,0.68,0
50,36,0,0.64,0
51,37,0,0.69,0
52,38,0,0.44,0
53,39,0,0.61,0
54,40,0,0.95,0
55,41,0,1.00,0
56,42,0,0.69,0
57,43,1,0.80,0.59
58,44,0,0.74,0
59,45,0,0.65,0
60,46,0,0.95,0
61,47,0,0.65,0
62,48,0,0.33,0
63,49,0,0.62,0
64,50,1,1.00,0.00
65,51,0,1.00,0
66,52,1,0.60,5.41
67,53,0,0.95,0
68,54,0,0.78,0
69,55,0,1.00,0
70,56,0,1.00,0
71,57,0,0.84,0
72,58,0,1.00,0
73,59,0,1.00,0
74,60,0,1.00,0
75,61,0,1.00,0
76,62,0,1.00,0
77,63,1,1.00,3.00
78,64,0,1.00,0
79,65,0,1.00,0
80,66,0,1.00,0
81,67,0,1.00,0
82,68,1,0.89,4.97
83,69,0,0.89,0
84,70,1,1.00,10.00
85,71,0,0.87,0
86,72,0,1.00,0
87,73,0,0.87,0
88,74,0,0.80,0
89,75,0,1.00,0
90,76,0,1.00,0
91,77,1,0.87,0.93
92,78,0,0.69,0
93,79,0,1.00,0
94,80,0,0.92,0
95,81,0,1.00,0
96,82,0,1.00,0
97,83,1,0.82,-0.48
98,84,0,1.00,0
99,85,0,0.89,0
100,86,1,0.82,1.24
101,87,1,0.63,0.14
102,88,0,0.90,0
103,89,0,0.87,0
104,90,0,0.76,0
105,91,0,0.92,0
106,92,0,1.00,0
107,93,1,0.56,2.10
108,94,0,0.95,0
109,95,1,1.00,-1.00
110,96,1,0.69,0.79
111,97,1,0.76,1.55
112,98,0,0.90,0
113,99,0,0.95,0
114,100,0,1.00,0
115,101,0,0.75,0
116,102,0,1.00,0
117,103,0,0.78,0
118,104,1,0.65,-3.55
119,105,0,0.95,0
120,106,0,0.84,0
121,107,0,0.86,0
122,108,0,1.00,0
123,109,0,1.00,0
124,110,0,1.00,0
125,111,0,0.87,0
126,112,0,1.00,0
127,113,0,1.00,0
128,114,1,1.00,8.00
129,115,0,0.70,0
130,116,0,0.95,0
131,117,1,0.63,0.72
132,118,0,0.58,0
133,119,0,0.66,0
134,120,1,0.95,0.00
135,121,0,0.71,0
136,122,1,0.52,-1.86
137,123,0,0.87,0
138,124,0,0.77,0
139,125,0,0.51,0
140,126,0,0.47,0
141,127,0,0.78,0
142,128,0,0.62,0
143,129,0,0.95,0
144,130,0,0.84,0
145,131,1,0.95,5.76
146,132,0,0.90,0
147,133,0,1.00,0
148,134,0,0.92,0
149,135,0,0.71,0
150,136,0,0.60,0
151,137,0,0.90,0
152,138,0,0.87,0
153,139,0,0.55,0
154,140,1,0.64,-2.17
155,141,0,0.87,0
156,142,0,0.68,0
157,143,0,0.76,0
158,144,0,0.95,0
159,145,0,0.95,0
