,gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff
Kv_Ac,atpA,26.0,4,7,9,8,0.38
Kv_Ac,atpB,17.0,2,5,6,8,1.53
Kv_Ac,petB,30.0,4,10,12,16,0.70
Kv_Ac,petD,28.0,4,7,11,13,0.96
Kv_Ac,psaB,12.0,2,2,4,4,0.42
Kv_Ac,psbA,2.0,0,2,2,2,1.50
Kv_Ac,psbB,20.0,3,6,5,10,0.85
Kv_Ac,psbC,4.0,0,3,2,3,2.75
Kv_Ac,psbD,29.0,23,3,28,9,-5.07
Kv_Ac,psbE,8.0,1,3,5,6,1.00
Kv_Ac,psbI,6.0,2,1,3,2,-1.50
Kv_Ct,atpA,26.0,2,8,8,10,1.38
Kv_Ct,atpB,20.0,2,2,7,9,0.55
Kv_Ct,atpF,6.0,2,0,3,3,-0.83
Kv_Ct,atpH,2.0,2,0,2,1,-4.00
Kv_Ct,atpI,11.0,2,2,7,6,-0.18
Kv_Ct,chlI,11.0,1,3,3,4,2.27
Kv_Ct,clpC,14.0,4,0,6,5,-0.86
Kv_Ct,groEL,17.0,2,9,10,12,1.59
Kv_Ct,petA,44.0,4,11,15,19,1.05
Kv_Ct,petB,30.0,2,10,14,15,0.57
Kv_Ct,petD,29.0,3,10,9,15,1.41
Kv_Ct,psaA,20.0,3,4,11,5,-0.85
Kv_Ct,psaB,11.0,2,2,3,4,0.27
Kv_Ct,psaFJ,12.0,2,4,3,7,2.42
Kv_Ct,psbA,2.0,0,2,2,2,1.50
Kv_Ct,psbB,20.0,3,7,7,10,0.90
Kv_Ct,psbC,4.0,0,4,1,4,5.25
Kv_Ct,psbD,29.0,24,3,28,9,-5.07
Kv_Ct,psbE,9.0,0,3,3,5,1.78
Kv_Ct,psbF,0.0,0,0,0,0,0.00
Kv_Ct,psbH,12.0,1,6,4,8,2.50
Kv_Ct,psbI,6.0,1,0,1,0,0.17
Kv_Ct,psbL,3.0,0,0,1,0,-1.33
Kv_Ct,psbN,2.0,0,1,0,1,3.00
Kv_Ct,psbT,5.0,0,2,4,4,0.60
Kv_Ct,psbV,9.0,1,2,4,5,1.00
Kv_Ct,rpl14,13.0,4,5,9,7,-0.08
Kv_Ct,rpl16,13.0,2,5,6,10,2.54
Kv_Ct,rpl19,9.0,0,2,3,3,0.33
Kv_Ct,rpl20,5.0,1,2,1,3,2.00
Kv_Ct,rpl27,6.0,1,1,2,3,0.50
Kv_Ct,rpl31,11.0,2,2,7,6,-0.82
Kv_Ct,rpl33,1.0,0,1,1,1,4.00
Kv_Ct,rpl36,6.0,1,2,1,3,2.00
Kv_Ct,rpl3,14.0,2,5,4,8,1.86
Kv_Ct,rpl5,20.0,5,3,8,11,0.15
Kv_Ct,rpl6,12.0,2,6,5,7,1.83
Kv_Ct,rpoA,15.0,2,2,4,4,-0.47
Kv_Ct,rpoB,7.0,0,3,2,3,1.57
Kv_Ct,rpoC1,18.0,4,0,7,3,-2.11
Kv_Ct,rpoC2,21.0,4,4,8,8,0.10
Kv_Ct,rps11,3.0,1,0,1,1,-1.33
Kv_Ct,rps12,3.0,1,2,1,2,1.00
Kv_Ct,rps13,17.0,3,5,9,9,0.53
Kv_Ct,rps14,2.0,1,0,1,0,-4.00
Kv_Ct,rps16,6.0,1,1,2,2,0.17
Kv_Ct,rps19,5.0,2,1,3,3,-1.60
Kv_Ct,rps2,39.0,3,7,9,15,1.00
Kv_Ct,rps3,22.0,3,2,11,5,-0.59
Kv_Ct,rps4,16.0,0,3,3,7,1.31
Kv_Ct,rps5,15.0,4,3,5,9,0.87
Kv_Ct,rps7,10.0,2,1,3,3,-0.40
Kv_Ct,rps8,8.0,1,2,4,5,0.62
Kv_Ct,rps9,3.0,0,0,1,0,-1.00
Kv_Ct,secY,35.0,3,6,10,12,0.94
Kv_Ct,tufA,23.0,6,4,11,9,-0.61
Kv_Ct,ycf39,19.0,1,1,3,5,0.16
Kv_Ct,ycf3,12.0,3,4,6,7,0.58
Kv_Ct,ycf4,30.0,6,8,13,12,0.13
