gene,number nucleotide edits,number AA edits,average number sim AA edits,average edit score,average sim edit score,frequency of significant editing,

Kv_atpA,31,26,26.03,1.12,-2.86,0.99
Kv_atpB,30,23,26.18,1.17,-2.25,0.98
Kv_atpH,7,2,5.81,-4.00,-4.16,0.00
Kv_atpI,12,11,11.25,0.09,-2.50,0.39
Kv_petA,63,43,47.02,0.72,-0.81,0.76
Kv_petB,36,30,30.58,0.57,-3.49,1.00
Kv_petD,35,29,29.23,1.17,-2.47,0.98
Kv_psaA,28,20,22.85,-0.80,-2.74,0.40
Kv_psaB,20,11,15.88,0.55,-3.03,0.88
Kv_psaFJ,22,12,11.77,1.42,-1.42,0.41
Kv_psbA,3,2,1.98,1.50,-3.42,0.00
Kv_psbB,23,20,20.84,0.55,-3.21,0.98
Kv_psbC,5,4,3.36,5.25,-5.02,0.64
Kv_psbD,42,29,28.37,-5.07,-5.48,0.00
Kv_psbE,10,9,9.00,1.33,-2.85,0.85
Kv_psbH,17,12,8.56,2.50,-1.74,0.71
Kv_psbI,10,6,8.12,0.17,-3.02,0.20
Kv_psbL,12,3,5.98,-1.33,-3.13,0.03
Kv_psbN,3,2,1.89,3.00,-3.26,0.00
Kv_psbT,9,5,5.32,0.60,-1.87,0.17
Kv_psbV,10,9,9.46,1.33,-2.53,0.75
