alignment position,genomic position,edited or not,positional entropy,average score difference
367,346,0,1.00,0
368,347,0,0.72,0
369,348,0,0.95,0
370,349,0,0.77,0
371,350,0,0.79,0
372,351,0,0.56,0
373,352,0,0.90,0
374,353,0,0.95,0
375,354,0,0.60,0
376,355,0,0.69,0
377,356,0,1.00,0
378,357,0,0.59,0
379,358,0,0.38,0
380,359,0,0.74,0
381,360,1,0.70,0.87
382,361,0,1.00,0
383,362,0,0.83,0
384,363,0,1.00,0
385,364,0,0.95,0
386,365,0,1.00,0
387,366,0,0.92,0
388,367,0,1.00,0
389,368,0,1.00,0
390,369,0,1.00,0
391,370,0,1.00,0
392,371,0,0.84,0
393,372,0,0.82,0
394,373,0,1.00,0
395,374,0,1.00,0
396,375,0,0.95,0
397,376,0,0.95,0
398,377,0,0.87,0
399,378,0,1.00,0
400,379,0,1.00,0
401,380,0,1.00,0
402,381,0,1.00,0
403,382,0,0.78,0
404,383,0,1.00,0
405,384,0,0.95,0
406,385,0,1.00,0
407,386,0,0.95,0
408,387,0,1.00,0
409,388,0,1.00,0
410,389,0,1.00,0
411,390,0,1.00,0
412,391,0,1.00,0
413,392,0,1.00,0
414,393,0,0.92,0
415,394,0,1.00,0
416,395,0,1.00,0
417,396,0,0.84,0
418,397,0,0.87,0
419,398,0,0.85,0
420,399,0,0.79,0
421,400,0,0.95,0
422,401,0,0.95,0
423,402,0,0.95,0
424,403,0,1.00,0
425,404,0,1.00,0
426,405,0,1.00,0
427,406,0,1.00,0
428,407,0,1.00,0
429,408,0,0.95,0
430,409,0,1.00,0
431,410,0,1.00,0
432,411,0,1.00,0
433,412,0,1.00,0
434,413,0,1.00,0
435,414,0,1.00,0
436,415,0,1.00,0
437,416,0,0.83,0
438,417,0,1.00,0
439,418,0,1.00,0
440,419,0,0.85,0
441,420,0,1.00,0
442,421,0,0.87,0
443,422,0,1.00,0
444,423,0,1.00,0
445,424,0,1.00,0
446,425,0,1.00,0
447,426,0,0.92,0
448,427,0,1.00,0
449,428,0,1.00,0
450,429,0,1.00,0
451,430,0,0.95,0
452,431,0,0.64,0
453,432,0,0.95,0
454,433,0,0.90,0
455,434,0,0.95,0
456,435,0,1.00,0
457,436,0,0.68,0
458,437,0,0.95,0
459,438,0,0.95,0
460,439,0,0.95,0
461,440,0,1.00,0
462,441,0,0.95,0
463,442,0,0.92,0
464,443,0,0.95,0
465,444,0,1.00,0
466,445,0,0.95,0
467,446,0,1.00,0
468,447,0,0.72,0
469,448,0,0.84,0
470,449,0,0.92,0
471,450,0,0.78,0
472,451,0,0.77,0
473,452,0,0.76,0
474,453,0,1.00,0
475,454,0,0.95,0
476,455,0,1.00,0
477,456,1,0.95,7.67
478,457,0,1.00,0
479,458,0,1.00,0
480,459,0,1.00,0
481,460,0,1.00,0
482,461,0,1.00,0
483,462,0,0.89,0
484,463,0,0.95,0
485,464,0,0.95,0
486,465,0,0.95,0
487,466,0,1.00,0
488,467,0,1.00,0
489,468,0,1.00,0
490,469,0,1.00,0
491,470,0,1.00,0
492,471,0,0.95,0
493,472,0,1.00,0
494,473,0,0.83,0
495,474,0,0.92,0
496,475,0,1.00,0
497,476,0,1.00,0
498,477,0,1.00,0
499,478,0,1.00,0
500,479,0,1.00,0
501,480,0,0.95,0
502,481,0,0.95,0
503,482,0,1.00,0
504,483,0,1.00,0
505,484,0,1.00,0
506,485,0,1.00,0
507,486,0,0.87,0
508,487,0,0.82,0
509,488,0,1.00,0
510,489,0,0.87,0
511,490,0,0.95,0
512,491,0,0.92,0
513,492,0,1.00,0
514,493,0,1.00,0
515,494,0,1.00,0
516,495,0,1.00,0
517,496,0,1.00,0
518,497,0,0.63,0
519,498,0,0.66,0
520,499,0,0.89,0
521,500,0,1.00,0
522,501,0,0.84,0
523,502,0,0.71,0
524,503,1,1.00,4.00
525,504,0,0.87,0
526,505,0,0.92,0
527,506,0,0.85,0
528,507,0,0.76,0
529,508,0,0.60,0
530,509,0,0.78,0
531,510,0,0.92,0
532,511,0,1.00,0
533,512,0,0.78,0
534,513,0,1.00,0
535,514,0,1.00,0
536,515,0,0.81,0
537,516,0,0.95,0
538,517,0,1.00,0
539,518,0,0.95,0
540,519,0,1.00,0
541,520,0,1.00,0
542,521,0,0.95,0
543,522,0,0.95,0
544,523,0,0.90,0
545,524,0,0.95,0
546,525,0,0.95,0
547,526,0,1.00,0
548,527,0,0.95,0
549,528,0,1.00,0
550,529,0,0.92,0
551,530,0,0.75,0
552,531,0,1.00,0
553,532,0,0.56,0
554,533,0,0.64,0
555,534,0,1.00,0
556,535,1,0.82,5.67
557,536,0,0.87,0
558,537,0,0.95,0
559,538,0,0.84,0
560,539,0,0.87,0
561,540,0,0.79,0
562,541,0,0.92,0
563,542,0,0.77,0
564,543,0,0.92,0
