alignment position,genomic position,edited or not,positional entropy,average score difference
606,593,0,1.00,0
607,594,0,0.95,0
608,595,0,1.00,0
609,596,0,1.00,0
610,597,0,1.00,0
611,598,0,1.00,0
612,599,0,1.00,0
613,600,0,0.77,0
614,601,0,0.78,0
615,602,0,1.00,0
616,603,0,0.77,0
617,604,0,0.89,0
618,605,0,0.89,0
619,606,0,1.00,0
620,607,0,1.00,0
621,608,0,1.00,0
622,609,1,0.95,2.93
623,610,0,1.00,0
624,611,0,1.00,0
625,612,0,1.00,0
626,613,0,1.00,0
627,614,1,1.00,3.00
628,615,1,1.00,0.00
629,616,1,0.95,0.93
630,617,0,1.00,0
631,618,0,1.00,0
632,619,0,0.73,0
633,620,0,0.78,0
634,621,0,0.66,0
635,622,0,0.46,0
636,623,1,0.41,0.66
637,624,0,1.00,0
638,625,0,0.37,0
639,626,0,0.78,0
640,627,0,0.80,0
641,628,0,1.00,0
642,629,0,0.95,0
643,630,0,0.95,0
644,631,0,0.95,0
647,634,0,0.95,0
648,635,0,1.00,0
649,636,0,1.00,0
650,637,1,0.90,1.17
651,638,0,0.77,0
652,639,0,0.92,0
653,640,0,0.78,0
654,641,1,0.75,-3.86
655,642,0,0.95,0
656,643,0,0.95,0
657,644,1,1.00,-6.00
658,645,0,1.00,0
659,646,0,1.00,0
660,647,0,1.00,0
661,648,0,1.00,0
662,649,0,1.00,0
663,650,0,1.00,0
664,651,0,1.00,0
665,652,0,1.00,0
666,653,0,0.78,0
667,654,1,0.95,-4.10
668,655,0,0.92,0
669,656,1,0.92,-0.79
670,657,1,1.00,0.00
671,658,1,1.00,1.00
672,659,0,0.92,0
673,660,1,1.00,-2.00
674,661,0,1.00,0
675,662,0,1.00,0
676,663,0,1.00,0
677,664,0,1.00,0
678,665,0,0.85,0
679,666,1,0.79,0.00
680,667,0,1.00,0
681,668,0,1.00,0
682,669,0,1.00,0
683,670,0,1.00,0
684,671,0,0.95,0
685,672,0,0.81,0
686,673,0,1.00,0
687,674,0,1.00,0
688,675,0,0.95,0
689,676,0,1.00,0
690,677,0,1.00,0
691,678,0,0.95,0
692,679,1,0.74,-4.24
693,680,0,1.00,0
694,681,0,1.00,0
695,682,0,1.00,0
696,683,0,1.00,0
697,684,0,1.00,0
698,685,0,1.00,0
699,686,0,1.00,0
700,687,0,1.00,0
701,688,0,1.00,0
702,689,0,1.00,0
703,690,0,1.00,0
704,691,0,1.00,0
705,692,0,1.00,0
706,693,0,1.00,0
707,694,0,1.00,0
708,695,0,1.00,0
709,696,0,1.00,0
710,697,0,1.00,0
711,698,0,1.00,0
712,699,0,1.00,0
713,700,0,1.00,0
714,701,0,0.92,0
715,702,0,0.95,0
716,703,0,1.00,0
717,704,0,1.00,0
718,705,0,1.00,0
719,706,0,0.95,0
720,707,0,1.00,0
721,708,0,0.76,0
722,709,0,0.77,0
723,710,0,0.68,0
724,711,0,0.90,0
725,712,0,1.00,0
726,713,1,0.65,2.93
727,714,0,0.92,0
728,715,0,0.95,0
729,716,0,1.00,0
730,717,0,1.00,0
731,718,0,1.00,0
732,719,0,1.00,0
733,720,0,1.00,0
734,721,0,1.00,0
735,722,0,0.92,0
736,723,0,1.00,0
737,724,0,1.00,0
738,725,0,1.00,0
739,726,0,1.00,0
740,727,0,1.00,0
741,728,0,1.00,0
742,729,0,0.73,0
743,730,0,0.87,0
744,731,0,0.95,0
745,732,0,1.00,0
746,733,0,1.00,0
747,734,0,0.95,0
748,735,0,1.00,0
749,736,0,1.00,0
750,737,0,1.00,0
751,738,0,0.82,0
752,739,1,1.00,1.00
753,740,0,1.00,0
754,741,0,1.00,0
755,742,0,0.78,0
756,743,0,1.00,0
757,744,0,1.00,0
758,745,0,0.84,0
759,746,0,1.00,0
760,747,0,1.00,0
761,748,1,0.79,-0.79
762,749,1,0.92,-1.00
763,750,0,0.82,0
764,751,1,0.82,-3.28
765,752,0,0.76,0
