name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Sm_atpA_trimmed,86.63,1246,1244,-0.447219,17.635443,-0.400184,15.401699
Sm_atpB_trimmed,80.44,1619,1617,-0.359677,15.500670,-0.382112,16.627204
Sm_petB_trimmed,72.47,356,354,0.402975,8.284361,0.272058,5.319377
Sm_petD_trimmed,48.73,372,370,-0.256502,5.104702,-0.275131,5.504690
Sm_psaB_trimmed,72.04,1762,1760,-0.299274,13.158355,-0.166637,7.089933
Sm_psbA_trimmed,100.00,977,975,-0.458738,16.120358,-0.502227,18.135040
Sm_psbB_trimmed,78.97,1451,1449,-0.436152,18.449772,-0.066421,2.533947
Sm_psbC_trimmed,80.21,1296,1294,-0.422089,16.748536,-0.380593,14.804962
Sm_psbD_trimmed,100.00,1010,1008,-0.015770,0.500759,-0.385756,13.274837
Sm_psbE_trimmed,89.75,172,170,0.019804,0.258266,0.271987,3.685201
Sm_psbI_trimmed,21.43,50,48,-0.289368,2.094405,0.181177,1.276355
