gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff

atpA,45.0,5,14,20,20,0.44
atpB,24.0,5,4,12,11,-0.67
chlI,16.0,0,7,5,8,1.88
clpC,20.0,1,4,8,7,0.45
dnaK,10.0,1,2,5,5,-0.60
psaA,31.0,0,18,10,22,2.74
psbA,1.0,0,1,1,1,3.00
psbC,33.0,4,10,11,22,1.79
psbD,1.0,0,1,1,1,2.00
psbE,1.0,1,0,1,0,-6.00
psbX,2.0,0,1,0,1,3.00
rbcL,21.0,3,6,8,9,0.62
rpl16,6.0,0,4,1,5,3.83
rpl22,15.0,1,6,6,8,1.80
rpl2,48.0,4,19,15,30,2.27
rpoC1,14.0,3,1,5,4,-0.71
rps11,8.0,2,3,4,3,0.00
rps12,14.0,1,8,6,12,2.93
rps13,5.0,1,1,2,3,1.20
rps19,5.0,0,2,1,3,2.40
rps3,27.0,2,6,13,11,0.22
rps7,16.0,5,4,11,6,-0.50
secA,26.0,3,6,10,10,0.19
secY,32.0,7,2,14,14,-0.41
ycf39,41.0,4,13,11,17,1.54
ycf4,13.0,4,2,6,5,-0.85
