name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA_trimmed,79.58,646,644,-0.416443,11.624055,-0.352972,9.573654
Kv_atpB_trimmed,73.98,363,361,-0.653761,16.415270,-0.744870,21.211518
Kv_atpF_trimmed,61.92,158,156,-0.115176,1.448182,-0.255409,3.299486
Kv_atpH_trimmed,31.75,111,109,-0.527928,6.489811,-0.299481,3.277088
Kv_atpI_trimmed,74.48,237,235,-0.531383,9.615921,-0.545352,9.973777
Kv_cbbX_trimmed,87.68,568,566,-0.733438,25.669539,-0.839295,36.726710
Kv_chlI_trimmed,77.83,624,622,-0.536514,15.855852,-0.572115,17.396955
Kv_clpC_trimmed,82.31,590,588,-0.014201,0.344393,-0.244233,6.107294
Kv_groEL_trimmed,72.38,324,322,-0.415627,8.199958,-0.291703,5.472416
Kv_petA_trimmed,83.31,732,730,-0.254703,7.116403,-0.452497,13.709662
Kv_petB_trimmed,55.33,367,365,-0.556419,12.793770,-0.771095,23.136966
Kv_petD_trimmed,67.51,267,265,0.001924,0.031315,-0.211476,3.522244
Kv_psaA_trimmed,79.67,414,412,-0.862401,34.579100,-0.799287,26.996904
Kv_psaB_trimmed,88.73,302,300,-0.733916,18.714731,-0.603462,13.108073
Kv_psaFJ_trimmed,68.68,172,170,-0.593749,9.621005,-0.422794,6.082988
Kv_psbA_trimmed,100.00,724,722,-0.307952,8.697355,-0.556853,18.014062
Kv_psbB_trimmed,100.00,1308,1306,0.030428,1.100133,-0.044820,1.621353
Kv_psbC_trimmed,100.00,539,537,-0.529047,14.447134,-0.750039,26.279141
Kv_psbD_trimmed,49.81,234,232,0.060034,0.916067,-0.397019,6.588747
Kv_psbE_trimmed,64.49,144,142,-0.220717,2.696647,-0.337214,4.268380
Kv_psbF_trimmed,0.00,41,39,0.000000,0.000000,0.000000,0.000000
Kv_psbH_trimmed,66.07,149,147,-0.537213,7.722325,-0.708019,12.155710
Kv_psbI_trimmed,75.60,54,52,-0.814293,10.116116,-0.357728,2.762411
Kv_psbL_trimmed,47.77,120,118,-0.463481,5.681806,-0.830418,16.190953
Kv_psbN_trimmed,59.41,71,69,-0.115868,0.968998,0.327688,2.881053
Kv_psbT_trimmed,60.79,60,58,-0.866670,13.230305,-0.350769,2.852629
Kv_psbV_trimmed,83.37,309,307,-0.170954,3.040113,-0.440074,8.586905
Kv_rbcL_trimmed,76.69,619,617,-0.687308,23.503787,-0.693520,23.911420
Kv_rbcS2_trimmed,100.00,225,223,-0.428535,7.082691,0.304153,4.767852
Kv_rpl14_trimmed,66.98,254,252,-0.598766,11.867689,-0.060530,0.962644
Kv_rpl16_trimmed,73.99,202,200,-0.565196,9.689086,-0.784923,17.915742
Kv_rpl19_trimmed,83.14,148,146,-0.575509,8.503238,0.065001,0.787070
Kv_rpl20_trimmed,87.78,247,245,-0.040179,0.629416,-0.482012,8.611021
Kv_rpl31_trimmed,61.21,141,139,0.323170,4.026163,0.105864,1.255169
Kv_rpl33_trimmed,100.00,150,148,-0.510311,7.218929,0.053381,0.650340
Kv_rpl36_trimmed,100.00,325,323,-0.850489,29.059633,0.821055,25.849540
Kv_rpl3_trimmed,87.81,573,571,-0.506136,14.023280,-0.348767,8.892340
Kv_rpl5_trimmed,59.37,515,513,0.094657,2.153614,0.107914,2.458554
Kv_rpl6_trimmed,69.12,309,307,-0.210446,3.771773,-0.431163,8.372827
Kv_rpoA_trimmed,81.12,548,546,0.155247,3.672131,-0.444883,11.607367
Kv_rpoB_trimmed,87.80,140,138,-0.324015,4.023361,-0.833254,17.704257
Kv_rpoC1_trimmed,88.06,358,356,-0.210890,4.070618,-0.460343,9.784093
Kv_rpoC2_trimmed,81.30,627,625,-0.223709,5.738159,0.037747,0.944340
Kv_rps11_trimmed,52.75,67,65,0.778532,10.001093,0.620613,6.381124
Kv_rps12_trimmed,100.00,315,313,-0.621788,14.045894,-0.416335,8.101206
Kv_rps13_trimmed,50.00,191,189,0.251641,3.574515,0.076515,1.054997
Kv_rps14_trimmed,100.00,661,659,-0.609715,19.747146,0.109887,2.838083
Kv_rps16_trimmed,97.57,191,189,0.620915,10.889677,-0.621305,10.900819
Kv_rps19_trimmed,81.83,522,520,-0.920140,53.582853,0.575839,16.061309
Kv_rps2_trimmed,76.19,605,603,0.464447,12.878251,0.069019,1.698876
Kv_rps3_trimmed,68.56,369,367,0.168679,3.278400,-0.103220,1.988030
Kv_rps4_trimmed,95.82,474,472,-0.447972,10.885823,-0.863067,37.123429
Kv_rps5_trimmed,86.60,406,404,0.290408,6.100029,-0.081994,1.653621
Kv_rps7_trimmed,81.71,218,216,0.627309,11.838574,0.563650,10.028800
Kv_rps8_trimmed,66.67,345,343,-0.338092,6.653353,-0.302742,5.882935
Kv_rps9_trimmed,89.51,94,92,-0.484652,5.314487,-0.540998,6.169940
Kv_secY_trimmed,70.49,745,743,0.110395,3.027650,-0.220779,6.170265
Kv_tufA_trimmed,59.94,787,785,-0.330578,9.813826,-0.504599,16.375406
Kv_ycf39_trimmed,82.92,379,377,0.225934,4.503289,0.258359,5.192718
Kv_ycf3_trimmed,82.84,298,296,-0.444440,8.535800,-0.277607,4.971535
Kv_ycf4_trimmed,54.66,405,403,-0.035011,0.703267,0.074609,1.501950
