name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Pl_atpA_trimmed,72.42,1369,1367,-0.741057,40.806247,-0.715144,37.828162
Pl_atpB_trimmed,80.85,1366,1364,-0.705695,36.785350,-0.722458,38.590595
Pl_petB_trimmed,73.65,595,593,-0.432505,11.681235,-0.678662,22.501831
Pl_petD_trimmed,74.71,426,424,-0.228754,4.838632,-0.495999,11.762018
Pl_psaA_trimmed,90.97,2060,2058,-0.255375,11.982444,-0.289483,13.719912
Pl_psaB_trimmed,76.92,1995,1993,-0.625252,35.766643,-0.638805,37.067031
Pl_psbA_trimmed,71.43,969,967,-0.363859,12.147433,-0.694530,30.018923
Pl_psbB_trimmed,62.99,1391,1389,-0.373830,15.021496,-0.384296,15.513726
Pl_psbC_trimmed,72.47,1326,1324,-0.235805,8.829161,-0.316286,12.131429
Pl_psbD_trimmed,100.00,1021,1019,-0.637209,26.392991,-0.667297,28.600360
Pl_psbE_trimmed,100.00,166,164,0.092478,1.189393,-0.178215,2.319395
