gene,1st GC before,1st GC after,2nd GC before,2nd GC after,3rd GC before,3rd GC after,

atpA,49.79,53.59,37.13,42.19,19.07,18.22
atpB,47.18,55.63,33.80,40.85,16.20,16.20
atpF,38.46,40.30,30.30,39.39,24.62,24.62
atpH,50.82,55.74,44.26,50.82,25.00,25.00
atpI,36.00,44.00,36.00,40.00,8.08,8.08
cbbX,39.62,46.23,28.30,30.66,15.17,15.17
chlI,49.12,50.88,30.97,33.63,14.67,14.67
clpC,47.64,52.13,30.19,33.02,22.17,22.17
groEL,40.04,50.39,34.12,38.28,12.62,18.75
petA,42.29,55.07,28.07,37.17,21.59,21.15
petB,42.25,49.30,41.55,48.59,12.68,14.08
petD,43.93,56.07,35.51,45.79,18.87,17.92
psaA,41.36,46.91,38.89,48.77,19.14,20.99
psaB,41.94,47.58,42.74,48.39,20.33,21.95
psaFJ,34.15,39.02,32.52,44.72,18.70,17.89
psbA,45.98,46.74,39.85,39.85,22.69,22.31
psbB,45.53,49.30,40.22,43.01,15.90,14.04
psbC,56.28,58.29,49.50,49.50,20.10,20.60
psbD,45.92,57.14,35.71,48.98,20.62,29.90
psbE,41.18,50.00,30.88,36.76,8.96,8.96
psbF,45.45,45.45,44.12,44.12,15.15,18.18
psbH,33.33,40.40,27.27,33.33,20.41,22.45
psbI,29.73,40.54,21.62,35.14,13.89,16.67
psbL,32.76,34.15,29.31,37.18,12.07,10.34
psbN,37.50,37.50,25.40,28.57,17.46,19.05
psbT,38.10,40.48,28.57,35.71,12.20,14.63
psbV,45.16,50.81,36.29,38.71,15.45,15.45
rbcL,53.98,56.19,44.69,45.58,27.56,27.56
rbcS2,51.04,51.04,37.50,40.62,23.71,25.77
rpl14,45.95,52.94,31.53,38.24,18.02,20.79
rpl16,44.71,57.65,44.19,48.84,18.82,18.82
rpl19,26.03,32.88,31.08,33.78,17.81,19.18
rpl20,28.38,31.34,22.67,26.47,17.57,20.90
rpl27,51.92,50.00,30.77,30.77,9.62,9.62
rpl3,38.68,42.45,34.43,39.62,12.32,12.32
rpl31,38.81,47.76,32.84,40.30,25.76,27.27
rpl33,27.14,28.57,31.43,31.43,18.84,18.84
rpl36,37.25,35.41,43.14,45.10,17.65,17.65
rpl5,37.43,43.80,25.13,32.35,14.97,17.65
rpl6,39.17,43.33,35.00,39.17,13.33,14.17
rpoA,39.37,42.27,22.07,27.48,19.00,19.46
rpoB,46.88,54.69,43.08,49.23,21.88,21.88
rpoC1,45.93,51.11,37.78,44.44,20.74,20.74
rpoC2,38.21,41.98,35.38,38.21,17.06,18.01
rps11,34.15,34.15,43.90,46.34,19.51,19.51
rps12,53.23,54.84,48.39,47.58,11.38,11.38
rps13,39.29,52.38,32.14,38.10,14.29,15.48
rps14,38.10,40.00,44.76,45.71,17.14,18.10
rps16,35.06,40.26,31.17,32.47,14.29,14.29
rps19,38.00,52.00,32.00,38.00,16.33,14.29
rps2,37.45,47.74,31.69,37.45,20.25,22.73
rps3,33.14,38.29,31.61,36.78,14.94,17.24
rps4,38.55,46.37,32.78,33.33,12.85,13.41
rps5,41.18,51.26,38.66,43.70,10.08,10.08
rps7,25.29,35.63,40.91,43.18,21.84,22.99
rps8,43.66,46.48,38.03,38.73,15.60,16.31
rps9,30.36,33.93,30.36,33.93,10.71,10.71
secY,30.52,36.55,23.60,32.40,16.80,18.00
tufA,53.05,59.81,34.73,40.84,15.43,15.81
ycf3,40.93,32.19,35.81,38.27,21.40,22.36
ycf39,29.20,38.69,24.09,27.74,16.18,16.18
ycf4,35.19,41.98,25.31,32.52,15.53,19.02
