gene,GC before,GC after,nucleotide length,amino acid length,number edits,percent edits,first position edits,second position edits,third position edits,percent edits in first two positions,percent non-synonymous edits,number amino acid edits,percent amino acid edits,average edit score,fraction polyT before,fraction polyT after,fraction 70 percent polyT before,fraction 70 percent polyT after,

atpA,36.45,38.46,1347,449,42.0,3.12,19,17,6,85.71,92.86,36,8.02,0.12,1.79,1.72,1.05,1.12
atpB,35.36,36.99,1971,657,50.0,2.54,31,17,2,96.00,96.00,44,6.70,-0.06,2.49,2.29,1.94,1.78
petB,35.32,35.82,402,134,10.0,2.49,5,5,0,100.00,100.00,10,7.46,0.00,4.04,4.04,1.02,3.31
petD,35.15,37.87,441,147,31.0,7.03,17,10,4,87.10,93.55,26,17.69,-0.13,2.99,2.99,0.93,0.93
psaA,37.78,39.86,2022,674,100.0,4.95,59,35,6,94.00,98.00,84,12.46,-0.02,2.43,2.83,0.40,0.45
psaB,37.65,39.70,1854,618,78.0,4.21,52,20,6,92.31,96.15,73,11.81,0.68,1.35,1.41,0.65,0.92
psbA,37.93,38.12,1023,341,3.0,0.29,1,1,1,66.67,100.00,3,0.88,1.67,3.15,3.15,1.78,1.78
psbB,38.67,39.73,1500,500,30.0,2.00,21,9,0,100.00,100.00,28,5.60,0.40,1.34,1.81,0.54,0.74
psbC,38.78,39.88,1359,453,26.0,1.91,19,6,1,96.15,92.31,22,4.86,0.69,1.18,1.77,1.63,1.63
psbD,37.57,38.21,1086,362,8.0,0.74,6,2,0,100.00,87.50,7,1.93,1.25,3.43,3.43,1.86,1.76
psbE,33.33,34.21,228,76,8.0,3.51,5,1,2,75.00,87.50,7,9.21,1.12,0.00,0.00,3.65,3.65
psbI,41.36,40.74,162,54,3.0,1.85,1,2,0,100.00,100.00,3,5.56,-1.33,7.69,8.33,3.27,3.92
