name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA_trimmed,80.30,652,650,-0.521787,15.594162,-0.391668,10.852670
Kv_atpB_trimmed,75.93,370,368,-0.503884,11.190658,-0.679897,17.786089
Kv_atpF_trimmed,59.88,165,163,-0.426696,6.023567,0.046152,0.589853
Kv_atpH_trimmed,28.35,114,112,-0.373011,4.254644,-0.153323,1.642038
Kv_atpI_trimmed,74.48,231,229,-0.570191,10.503271,-0.689334,14.399333
Kv_chlI_trimmed,80.73,607,605,-0.697774,23.959992,-0.704449,24.412893
Kv_clpC_trimmed,83.91,575,573,-0.095794,2.303647,-0.154222,3.736387
Kv_groEL_trimmed,71.46,328,326,-0.734333,19.532889,-0.432694,8.665707
Kv_petA_trimmed,62.53,631,629,-0.394526,10.768134,-0.557314,16.834081
Kv_petB_trimmed,55.33,367,365,-0.664457,16.986470,-0.834883,28.978266
Kv_petD_trimmed,66.84,286,284,-0.529530,10.519738,-0.285892,5.027795
Kv_psaA_trimmed,100.00,1687,1685,-0.483403,22.667499,-0.536730,26.111955
Kv_psaB_trimmed,90.07,306,304,-0.727434,18.483921,-0.891737,34.356102
Kv_psaFJ_trimmed,68.40,161,159,-0.884124,23.859499,-0.728545,13.411122
Kv_psbA_trimmed,100.00,726,724,-0.123375,3.345241,-0.047964,1.292062
Kv_psbB_trimmed,100.00,1314,1312,0.047004,1.704440,-0.202955,7.507593
Kv_psbC_trimmed,100.00,539,537,-0.368165,9.176101,-0.717399,23.863027
Kv_psbD_trimmed,49.81,234,232,0.112304,1.721447,-0.060843,0.928459
Kv_psbE_trimmed,64.49,144,142,-0.194028,2.356904,-0.384418,4.962161
Kv_psbF_trimmed,0.00,41,39,0.000000,0.000000,0.000000,0.000000
Kv_psbH_trimmed,59.83,134,132,-0.507231,6.762099,-0.556904,7.703494
Kv_psbI_trimmed,75.60,54,52,-0.534943,4.565723,-0.482653,3.973981
Kv_psbL_trimmed,70.44,131,129,-0.908077,24.626769,-0.865889,19.659960
Kv_psbN_trimmed,58.82,77,75,0.151730,1.329410,0.503984,5.053338
Kv_psbT_trimmed,52.34,45,43,-0.758462,7.631485,-0.908568,14.262243
Kv_psbV_trimmed,82.70,312,310,0.162258,2.895217,-0.098077,1.735189
Kv_rpl14_trimmed,65.21,252,250,-0.099229,1.576722,-0.199269,3.215205
Kv_rpl16_trimmed,72.97,176,174,-0.430120,6.284731,-0.165959,2.219929
Kv_rpl19_trimmed,83.09,165,163,-0.157786,2.040029,0.170372,2.207434
Kv_rpl20_trimmed,80.73,217,215,0.079690,1.172206,-0.179240,2.671433
Kv_rpl27_trimmed,70.91,94,92,-0.461980,4.996291,-0.811926,13.340607
Kv_rpl31_trimmed,61.21,141,139,-0.406837,5.250716,-0.526421,7.299740
Kv_rpl33_trimmed,100.00,115,113,-0.801865,14.265864,-0.911100,23.497080
Kv_rpl36_trimmed,100.00,349,347,-0.806828,25.439870,0.748115,21.001339
Kv_rpl3_trimmed,85.43,494,492,-0.404550,9.812122,-0.364383,8.679112
Kv_rpl5_trimmed,60.86,490,488,-0.414570,10.063716,-0.244409,5.568044
Kv_rpl6_trimmed,69.15,289,287,-0.750445,19.235435,-0.714724,17.312104
Kv_rpoA_trimmed,85.25,609,607,-0.228181,5.774106,-0.328408,8.566233
Kv_rpoB_trimmed,87.80,138,136,-0.704553,11.578111,-0.834646,17.672086
Kv_rpoC1_trimmed,90.92,366,364,-0.260120,5.139704,-0.575596,13.429406
Kv_rpoC2_trimmed,61.49,503,501,-0.590530,16.378674,-0.419683,10.349333
Kv_rps11_trimmed,21.87,57,55,0.079503,0.591486,0.468467,3.932454
Kv_rps12_trimmed,100.00,315,313,-0.399785,7.716409,-0.291259,5.386439
Kv_rps13_trimmed,49.75,192,190,-0.072899,1.007524,0.173034,2.421643
Kv_rps14_trimmed,100.00,223,221,-0.721417,15.486825,-0.799914,19.815521
Kv_rps16_trimmed,87.47,202,200,-0.539897,9.070936,-0.897325,28.751537
Kv_rps19_trimmed,79.90,621,619,-0.765951,29.641730,0.390726,10.560633
Kv_rps2_trimmed,75.02,605,603,0.189932,4.750457,-0.202095,5.067206
Kv_rps3_trimmed,58.15,370,368,-0.627949,15.478420,-0.211947,4.160361
Kv_rps4_trimmed,74.66,537,535,-0.374785,9.350340,-0.476946,12.551341
Kv_rps5_trimmed,93.24,386,384,-0.104906,2.067135,-0.191914,3.831969
Kv_rps7_trimmed,81.31,216,214,-0.108411,1.595312,-0.225940,3.392951
Kv_rps8_trimmed,69.58,341,339,-0.139675,2.597141,-0.517102,11.123499
Kv_rps9_trimmed,97.90,82,80,-0.793673,11.669087,-0.820893,12.856796
Kv_secY_trimmed,72.12,734,732,-0.152826,4.183931,0.087750,2.383301
Kv_tufA_trimmed,75.21,793,791,-0.337753,10.092274,-0.389095,11.879322
Kv_ycf39_trimmed,83.29,388,386,-0.110815,2.190656,0.075864,1.494792
Kv_ycf3_trimmed,100.00,709,707,-0.631078,21.631579,0.335459,9.468317
Kv_ycf4_trimmed,63.77,414,412,-0.320693,6.872337,-0.260843,5.484389
