name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Sm_atpA,86.26,1493,1491,-0.113058,4.393743,-0.259188,10.362242
Sm_atpB,81.66,1958,1956,-0.362763,17.216600,-0.418623,20.386596
Sm_petB,100.00,594,592,0.609679,18.714656,0.559587,16.428341
Sm_petD,49.56,445,443,-0.037466,0.789128,-0.098126,2.075337
Sm_psaA,75.72,2235,2233,-0.118902,5.658801,-0.047173,2.231633
Sm_psaB,65.96,2221,2219,0.115107,5.458553,-0.028798,1.357145
Sm_psbA,100.00,1035,1033,-0.391897,13.690832,-0.411774,14.522955
Sm_psbB,78.22,1510,1508,-0.122151,4.779268,-0.059355,2.309015
Sm_psbC,78.59,1385,1383,-0.149989,5.641723,-0.257828,9.923822
Sm_psbD,100.00,1027,1025,-0.361293,12.404927,-0.375933,12.988471
Sm_psbE,91.43,199,197,0.220757,3.176848,0.165858,2.360621
Sm_psbI,100.00,107,105,-0.378301,4.187643,0.457571,5.273114
