alignment position,genomic position,edited or not,positional entropy,average score difference
1,1,0,0.90,0
2,2,0,0.58,0
3,3,1,0.55,0.17
4,4,1,0.61,-0.57
5,5,0,0.67,0
6,6,1,0.78,1.07
7,7,0,0.78,0
8,8,0,0.89,0
9,9,0,0.85,0
10,10,0,0.84,0
31,11,0,0.97,0
32,12,0,0.82,0
33,13,1,0.97,0.97
34,14,0,0.73,0
35,15,0,0.92,0
36,16,0,0.76,0
37,17,0,0.97,0
38,18,0,0.92,0
39,19,0,0.97,0
40,20,0,0.97,0
41,21,0,0.97,0
42,22,1,0.92,0.00
43,23,0,0.85,0
44,24,0,0.85,0
45,25,0,0.95,0
46,26,0,0.90,0
47,27,0,0.58,0
48,28,1,0.47,2.67
49,29,0,0.84,0
50,30,0,0.85,0
51,31,0,0.72,0
52,32,0,1.00,0
53,33,0,1.00,0
54,34,0,0.89,0
55,35,0,0.78,0
56,36,0,0.82,0
57,37,0,0.95,0
64,38,1,0.76,1.10
68,40,1,0.90,1.00
69,41,0,0.68,0
70,42,0,1.00,0
71,43,0,0.84,0
72,44,0,0.95,0
73,45,0,0.95,0
74,46,0,0.95,0
75,47,0,0.95,0
76,48,0,0.95,0
77,49,0,0.54,0
78,50,0,0.70,0
79,51,0,0.85,0
85,57,0,0.95,0
86,58,0,1.00,0
87,59,0,0.70,0
88,60,0,0.95,0
89,61,0,0.95,0
90,62,0,0.84,0
91,63,0,0.90,0
92,64,1,0.51,2.57
93,65,0,0.82,0
94,66,1,0.54,0.50
95,67,1,0.29,0.00
96,68,1,0.90,-0.93
97,69,0,0.72,0
98,70,1,0.90,1.00
99,71,0,1.00,0
100,72,0,0.82,0
101,73,0,0.42,0
102,74,0,0.95,0
103,75,0,0.64,0
104,76,0,0.63,0
105,77,1,0.95,1.00
106,78,1,0.85,1.00
107,79,0,0.62,0
108,80,0,0.90,0
109,81,0,1.00,0
110,82,0,0.78,0
111,83,0,0.74,0
112,84,1,0.85,0.93
113,85,0,0.85,0
114,86,0,0.87,0
115,87,1,0.61,-3.00
116,88,0,0.48,0
117,89,0,0.46,0
118,90,0,0.85,0
119,91,0,0.95,0
120,92,0,0.95,0
121,93,0,0.90,0
122,94,0,0.73,0
123,95,0,0.69,0
124,96,1,0.62,2.07
125,97,0,0.95,0
126,98,0,0.73,0
127,99,0,0.34,0
128,100,0,0.79,0
129,101,0,0.90,0
130,102,0,0.95,0
131,103,0,0.80,0
132,104,1,0.80,-1.13
133,105,1,0.90,-0.80
134,106,0,0.37,0
135,107,0,0.57,0
136,108,0,0.24,0
137,109,0,0.45,0
138,110,0,0.38,0
139,111,0,0.46,0
140,112,0,0.61,0
148,113,0,0.95,0
149,114,1,0.82,-0.83
150,115,0,0.73,0
151,116,0,1.00,0
152,117,0,0.73,0
153,118,0,0.45,0
154,119,0,0.95,0
155,120,0,1.00,0
156,121,0,0.95,0
157,122,0,1.00,0
158,123,0,0.85,0
159,124,0,0.52,0
160,125,0,1.00,0
161,126,0,0.66,0
162,127,0,1.00,0
163,128,0,1.00,0
164,129,0,0.80,0
165,130,0,0.95,0
166,131,0,1.00,0
167,132,0,0.67,0
168,133,0,0.92,0
169,134,0,1.00,0
170,135,0,1.00,0
171,136,0,0.82,0
172,137,0,0.74,0
173,138,0,0.85,0
174,139,0,0.95,0
175,140,0,1.00,0
176,141,0,0.77,0
177,142,0,0.95,0
178,143,0,1.00,0
179,144,0,1.00,0
180,145,0,0.92,0
181,146,0,1.00,0
182,147,0,1.00,0
183,148,0,1.00,0
184,149,0,0.95,0
185,150,0,1.00,0
186,151,0,1.00,0
187,152,0,1.00,0
188,153,0,1.00,0
189,154,0,1.00,0
190,155,0,1.00,0
191,156,0,1.00,0
192,157,1,1.00,3.00
193,158,0,1.00,0
194,159,0,1.00,0
195,160,0,1.00,0
196,161,0,1.00,0
197,162,0,0.89,0
198,163,0,0.77,0
199,164,0,0.77,0
200,165,0,0.95,0
201,166,0,0.60,0
202,167,0,1.00,0
203,168,0,0.95,0
204,169,0,1.00,0
205,170,0,0.80,0
206,171,0,1.00,0
207,172,0,0.95,0
208,173,0,0.82,0
209,174,0,0.58,0
210,175,0,0.66,0
211,176,1,0.70,3.87
212,177,0,0.95,0
213,178,0,0.73,0
214,179,0,0.95,0
215,180,0,0.92,0
216,181,0,1.00,0
217,182,1,0.87,0.87
218,183,0,0.84,0
219,184,0,0.87,0
220,185,0,1.00,0
221,186,0,1.00,0
222,187,0,0.92,0
223,188,0,1.00,0
224,189,0,0.84,0
225,190,0,0.80,0
226,191,0,0.92,0
227,192,0,0.90,0
228,193,0,0.67,0
229,194,0,0.69,0
230,195,0,0.85,0
231,196,0,0.51,0
232,197,0,0.40,0
233,198,0,0.95,0
234,199,0,0.47,0
235,200,1,0.78,0.93
236,201,0,0.68,0
237,202,0,0.71,0
238,203,0,0.95,0
239,204,0,0.73,0
240,205,0,0.43,0
241,206,0,0.90,0
242,207,0,0.95,0
243,208,0,0.72,0
244,209,0,0.85,0
245,210,0,0.95,0
246,211,0,0.67,0
247,212,0,0.84,0
248,213,0,0.68,0
249,214,0,1.00,0
250,215,0,0.77,0
251,216,1,0.53,3.83
252,217,0,0.79,0
253,218,0,1.00,0
254,219,0,0.78,0
255,220,1,0.92,0.00
256,221,0,1.00,0
257,222,0,1.00,0
258,223,1,0.82,-2.30
259,224,0,0.92,0
260,225,0,0.95,0
261,226,0,1.00,0
262,227,0,0.77,0
263,228,0,0.95,0
264,229,0,0.95,0
265,230,1,0.77,3.50
266,231,0,0.75,0
267,232,0,1.00,0
268,233,0,1.00,0
269,234,0,0.79,0
270,235,0,0.95,0
271,236,0,1.00,0
272,237,0,1.00,0
273,238,0,0.46,0
274,239,1,0.87,2.83
275,240,0,0.62,0
277,242,0,0.71,0
278,243,0,0.95,0
279,244,0,0.90,0
280,245,0,0.67,0
281,246,0,0.76,0
282,247,0,1.00,0
283,248,0,1.00,0
284,249,0,1.00,0
285,250,0,1.00,0
286,251,0,0.73,0
287,252,0,1.00,0
288,253,0,1.00,0
289,254,0,1.00,0
290,255,0,0.67,0
291,256,0,1.00,0
292,257,0,1.00,0
293,258,0,1.00,0
294,259,0,0.87,0
295,260,0,0.92,0
296,261,0,1.00,0
297,262,0,1.00,0
298,263,0,0.95,0
299,264,0,1.00,0
300,265,0,0.92,0
301,266,1,1.00,8.00
302,267,0,1.00,0
303,268,0,1.00,0
304,269,0,1.00,0
305,270,0,1.00,0
306,271,0,1.00,0
307,272,0,1.00,0
308,273,0,0.89,0
309,274,0,0.95,0
310,275,0,1.00,0
311,276,0,1.00,0
312,277,0,0.95,0
313,278,0,1.00,0
314,279,0,1.00,0
315,280,0,0.95,0
316,281,0,1.00,0
317,282,0,1.00,0
318,283,0,1.00,0
319,284,0,1.00,0
320,285,0,1.00,0
321,286,0,1.00,0
322,287,0,1.00,0
323,288,0,0.95,0
324,289,0,1.00,0
325,290,0,1.00,0
326,291,0,1.00,0
327,292,0,0.73,0
328,293,0,0.42,0
329,294,1,0.31,2.40
330,295,0,0.81,0
331,296,0,1.00,0
332,297,0,0.76,0
333,298,0,1.00,0
334,299,0,0.95,0
335,300,0,0.95,0
336,301,0,1.00,0
337,302,0,1.00,0
338,303,0,0.95,0
339,304,0,1.00,0
340,305,0,0.89,0
341,306,0,0.82,0
342,307,0,1.00,0
343,308,0,1.00,0
344,309,0,0.95,0
345,310,0,0.82,0
346,311,0,0.84,0
347,312,0,1.00,0
348,313,0,1.00,0
349,314,0,1.00,0
350,315,0,1.00,0
351,316,0,0.95,0
352,317,0,1.00,0
353,318,0,1.00,0
354,319,0,1.00,0
355,320,0,1.00,0
356,321,0,0.95,0
357,322,0,1.00,0
358,323,0,1.00,0
359,324,0,1.00,0
360,325,0,1.00,0
361,326,0,1.00,0
362,327,0,1.00,0
363,328,0,1.00,0
364,329,0,0.90,0
365,330,0,1.00,0
366,331,0,1.00,0
367,332,0,0.95,0
368,333,0,0.52,0
369,334,0,0.95,0
370,335,0,1.00,0
371,336,0,1.00,0
372,337,0,1.00,0
373,338,0,0.74,0
374,339,0,1.00,0
375,340,0,0.80,0
376,341,0,0.95,0
377,342,0,1.00,0
378,343,0,1.00,0
379,344,0,1.00,0
380,345,0,0.92,0
381,346,0,0.95,0
382,347,0,1.00,0
383,348,0,0.95,0
384,349,0,1.00,0
385,350,0,1.00,0
386,351,0,0.95,0
387,352,0,1.00,0
388,353,0,1.00,0
389,354,0,1.00,0
390,355,0,1.00,0
391,356,0,0.95,0
392,357,0,1.00,0
393,358,0,1.00,0
394,359,0,0.71,0
395,360,0,0.90,0
396,361,0,0.90,0
397,362,0,0.95,0
398,363,0,1.00,0
399,364,0,0.82,0
400,365,0,1.00,0
401,366,0,1.00,0
402,367,0,1.00,0
403,368,1,0.79,1.93
404,369,0,0.95,0
405,370,0,1.00,0
406,371,0,1.00,0
407,372,0,0.95,0
408,373,0,1.00,0
409,374,0,1.00,0
410,375,0,1.00,0
411,376,0,1.00,0
412,377,0,0.79,0
413,378,0,1.00,0
414,379,0,1.00,0
415,380,0,0.82,0
416,381,1,1.00,4.00
417,382,0,1.00,0
418,383,0,0.92,0
419,384,0,0.95,0
420,385,0,1.00,0
421,386,0,0.89,0
422,387,0,1.00,0
423,388,0,0.90,0
424,389,0,1.00,0
425,390,0,0.95,0
426,391,1,0.56,2.07
427,392,0,0.73,0
428,393,0,0.95,0
429,394,0,0.82,0
430,395,0,0.58,0
431,396,0,0.80,0
432,397,0,1.00,0
433,398,0,0.90,0
434,399,0,0.87,0
435,400,0,1.00,0
436,401,1,0.46,1.70
437,402,0,1.00,0
438,403,0,0.95,0
439,404,0,1.00,0
440,405,0,1.00,0
441,406,0,0.57,0
442,407,0,1.00,0
443,408,0,1.00,0
444,409,0,1.00,0
445,410,0,0.51,0
446,411,0,0.85,0
447,412,0,0.58,0
448,413,0,0.73,0
449,414,0,1.00,0
450,415,0,0.69,0
451,416,1,0.65,-0.47
452,417,0,0.92,0
453,418,0,0.70,0
454,419,0,0.78,0
455,420,0,1.00,0
456,421,0,0.65,0
457,422,0,0.90,0
458,423,1,0.48,-0.23
459,424,0,0.92,0
460,425,0,0.90,0
461,426,0,0.59,0
462,427,0,0.95,0
463,428,0,0.70,0
464,429,0,0.73,0
465,430,0,1.00,0
466,431,0,0.68,0
467,432,1,0.95,1.00
468,433,0,0.95,0
469,434,0,0.48,0
470,435,0,0.66,0
471,436,1,0.49,1.33
472,437,0,0.61,0
473,438,0,0.34,0
474,439,1,0.45,0.37
475,440,0,0.80,0
476,441,0,0.37,0
477,442,1,0.28,-0.17
478,443,0,0.80,0
479,444,0,0.40,0
480,445,0,0.24,0
481,446,0,0.31,0
482,447,0,0.82,0
483,448,0,0.73,0
493,449,0,0.69,0
494,450,0,0.56,0
495,451,0,0.60,0
496,452,0,0.38,0
497,453,0,0.70,0
498,454,0,0.30,0
499,455,1,0.58,2.03
500,456,0,0.35,0
501,457,0,0.65,0
502,458,0,0.39,0
503,459,0,0.61,0
504,460,0,0.60,0
505,461,0,0.77,0
506,462,1,0.53,1.27
507,463,1,0.69,0.90
508,464,0,0.42,0
509,465,0,0.39,0
510,466,1,0.60,1.50
511,467,0,0.58,0
512,468,0,0.85,0
