alignment position,genomic position,edited or not,positional entropy,average score difference
267,1,0,1.00,0
268,2,0,1.00,0
269,3,0,0.77,0
270,4,0,1.00,0
271,5,0,0.95,0
272,6,0,1.00,0
273,7,0,0.77,0
274,8,0,1.00,0
275,9,0,1.00,0
276,10,0,1.00,0
277,11,0,1.00,0
278,12,0,0.95,0
279,13,0,1.00,0
280,14,0,1.00,0
281,15,0,1.00,0
282,16,0,1.00,0
283,17,0,1.00,0
284,18,0,1.00,0
285,19,0,0.95,0
286,20,0,1.00,0
287,21,0,1.00,0
288,22,0,1.00,0
289,23,0,0.92,0
290,24,0,1.00,0
291,25,0,1.00,0
292,26,0,0.95,0
293,27,0,1.00,0
294,28,0,1.00,0
295,29,0,1.00,0
296,30,0,1.00,0
297,31,0,1.00,0
298,32,0,1.00,0
299,33,0,1.00,0
300,34,0,1.00,0
301,35,0,1.00,0
302,36,0,1.00,0
303,37,0,1.00,0
304,38,0,0.92,0
305,39,0,1.00,0
306,40,0,0.95,0
307,41,0,1.00,0
308,42,0,1.00,0
309,43,0,0.92,0
310,44,0,0.79,0
311,45,0,1.00,0
312,46,0,0.82,0
313,47,0,1.00,0
314,48,0,0.77,0
315,49,0,1.00,0
316,50,0,0.83,0
317,51,0,0.68,0
318,52,0,1.00,0
319,53,0,0.79,0
320,54,0,0.95,0
321,55,0,1.00,0
322,56,0,1.00,0
323,57,0,0.95,0
324,58,0,0.90,0
325,59,0,1.00,0
326,60,0,1.00,0
327,61,0,1.00,0
328,62,0,1.00,0
329,63,0,1.00,0
330,64,0,1.00,0
331,65,0,1.00,0
332,66,0,0.95,0
333,67,0,1.00,0
334,68,0,1.00,0
335,69,0,1.00,0
336,70,1,0.85,1.33
337,71,0,0.95,0
338,72,0,1.00,0
339,73,0,1.00,0
340,74,0,1.00,0
341,75,0,1.00,0
342,76,0,1.00,0
343,77,0,1.00,0
344,78,0,1.00,0
345,79,0,1.00,0
346,80,0,1.00,0
347,81,0,1.00,0
348,82,0,1.00,0
349,83,0,1.00,0
350,84,0,1.00,0
351,85,0,1.00,0
352,86,0,0.75,0
353,87,0,1.00,0
354,88,0,1.00,0
355,89,0,1.00,0
356,90,0,1.00,0
357,91,0,1.00,0
358,92,0,1.00,0
359,93,0,1.00,0
360,94,0,0.76,0
361,95,0,1.00,0
362,96,0,0.95,0
363,97,0,1.00,0
364,98,0,0.85,0
365,99,0,1.00,0
366,100,0,1.00,0
367,101,0,1.00,0
368,102,0,1.00,0
369,103,0,1.00,0
370,104,0,1.00,0
371,105,0,0.95,0
372,106,0,0.87,0
373,107,0,0.73,0
374,108,0,1.00,0
375,109,0,0.95,0
376,110,0,1.00,0
377,111,0,1.00,0
378,112,0,1.00,0
379,113,0,1.00,0
380,114,0,1.00,0
381,115,0,1.00,0
382,116,0,1.00,0
383,117,0,1.00,0
384,118,0,1.00,0
385,119,0,1.00,0
