name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA_trimmed,79.58,646,644,-0.416443,11.624055,-0.352972,9.573654
Kv_atpB_trimmed,73.98,363,361,-0.653761,16.415270,-0.744870,21.211518
Kv_atpF_trimmed,61.92,158,156,-0.115176,1.448182,-0.255409,3.299486
Kv_atpH_trimmed,31.75,111,109,-0.527928,6.489811,-0.299481,3.277088
Kv_atpI_trimmed,74.48,237,235,-0.531383,9.615921,-0.545352,9.973777
Kv_cbbX_trimmed,87.68,568,566,-0.733438,25.669539,-0.839295,36.726710
Kv_chlI_trimmed,77.83,624,622,-0.536514,15.855852,-0.572115,17.396955
Kv_clpC_trimmed,70.90,590,588,-0.160108,3.933142,-0.339485,8.751831
Kv_groEL_trimmed,71.31,324,322,-0.316803,5.993545,-0.207773,3.811537
Kv_petA_trimmed,61.90,732,730,-0.258929,7.242877,-0.345007,9.931360
Kv_petB_trimmed,55.33,367,365,-0.556419,12.793770,-0.771095,23.136966
Kv_petD_trimmed,67.51,267,265,0.001924,0.031315,-0.211476,3.522244
Kv_psaA_trimmed,73.68,414,412,-0.813023,28.343636,-0.754892,23.363066
Kv_psaB_trimmed,88.73,302,300,-0.733916,18.714731,-0.603462,13.108073
Kv_psaFJ_trimmed,68.68,172,170,-0.593749,9.621005,-0.422794,6.082988
Kv_psbA_trimmed,100.00,724,722,-0.413288,12.195335,-0.800802,35.926762
Kv_psbB_trimmed,100.00,1308,1306,0.061911,2.241672,-0.027986,1.011788
Kv_psbC_trimmed,100.00,539,537,-0.439680,11.344166,-0.726936,24.530887
Kv_psbD_trimmed,61.14,234,232,0.161802,2.497405,-0.340120,5.508992
Kv_psbE_trimmed,64.49,144,142,-0.220717,2.696647,-0.337214,4.268380
Kv_psbF_trimmed,100.00,41,39,0.584122,4.494262,0.456622,3.205274
Kv_psbH_trimmed,68.38,149,147,-0.567336,8.353004,-0.794900,15.884324
Kv_psbI_trimmed,69.80,54,52,-0.737097,7.865311,-0.302219,2.286240
Kv_psbL_trimmed,77.85,120,118,-0.663779,9.640598,-0.664395,9.656625
Kv_psbN_trimmed,53.16,71,69,-0.582455,5.952096,-0.167067,1.407549
Kv_psbT_trimmed,58.94,60,58,-0.884176,14.414270,-0.431076,3.638386
Kv_psbV_trimmed,83.37,309,307,-0.170954,3.040113,-0.440074,8.586905
Kv_rbcL_trimmed,75.13,619,617,-0.713412,25.288534,-0.706847,24.821268
Kv_rbcS2_trimmed,100.00,225,223,-0.428535,7.082691,0.304153,4.767852
Kv_rpl14_trimmed,70.50,254,252,-0.618416,12.492266,-0.029965,0.475898
Kv_rpl16_trimmed,73.99,202,200,-0.565196,9.689086,-0.784923,17.915742
Kv_rpl19_trimmed,83.14,148,146,-0.575509,8.503238,0.065001,0.787070
Kv_rpl20_trimmed,87.78,247,245,-0.040179,0.629416,-0.482012,8.611021
Kv_rpl31_trimmed,62.18,141,139,0.268660,3.288353,0.072575,0.857913
Kv_rpl33_trimmed,100.00,150,148,-0.510311,7.218929,0.053381,0.650340
Kv_rpl36_trimmed,100.00,325,323,-0.850489,29.059633,0.821055,25.849540
Kv_rpl3_trimmed,87.81,573,571,-0.506136,14.023280,-0.348767,8.892340
Kv_rpl5_trimmed,66.40,515,513,0.121295,2.767698,0.141886,3.246487
Kv_rpl6_trimmed,69.12,309,307,-0.210446,3.771773,-0.431163,8.372827
Kv_rpoA_trimmed,85.89,548,546,0.125361,2.952550,-0.375901,9.478702
Kv_rpoB_trimmed,87.80,140,138,-0.324015,4.023361,-0.833254,17.704257
Kv_rpoC1_trimmed,88.06,358,356,-0.210890,4.070618,-0.460343,9.784093
Kv_rpoC2_trimmed,82.23,627,625,-0.215213,5.509423,0.035962,0.899627
Kv_rps11_trimmed,52.75,67,65,0.778532,10.001093,0.620613,6.381124
Kv_rps12_trimmed,100.00,315,313,-0.621788,14.045894,-0.416335,8.101206
Kv_rps13_trimmed,50.00,191,189,0.251641,3.574515,0.076515,1.054997
Kv_rps14_trimmed,100.00,661,659,-0.609715,19.747146,0.109887,2.838083
Kv_rps16_trimmed,97.57,191,189,0.620915,10.889677,-0.621305,10.900819
Kv_rps19_trimmed,81.26,522,520,-0.921978,54.292628,0.608590,17.489921
Kv_rps2_trimmed,77.03,605,603,0.433518,11.813292,0.043587,1.071354
Kv_rps3_trimmed,69.38,369,367,0.213422,4.184989,-0.019744,0.378324
Kv_rps4_trimmed,88.64,474,472,-0.455744,11.123652,-0.860212,36.648910
Kv_rps5_trimmed,86.60,406,404,0.290408,6.100029,-0.081994,1.653621
Kv_rps7_trimmed,66.89,218,216,0.609513,11.299498,0.543862,9.524960
Kv_rps8_trimmed,80.42,345,343,-0.296026,5.739738,-0.117493,2.191177
Kv_rps9_trimmed,89.51,94,92,-0.484652,5.314487,-0.540998,6.169940
Kv_secY_trimmed,70.49,745,743,0.110395,3.027650,-0.220779,6.170265
Kv_tufA_trimmed,59.94,787,785,-0.330578,9.813826,-0.504599,16.375406
Kv_ycf39_trimmed,82.92,379,377,0.225934,4.503289,0.258359,5.192718
Kv_ycf3_trimmed,82.84,298,296,-0.444440,8.535800,-0.277607,4.971535
Kv_ycf4_trimmed,62.73,405,403,-0.037824,0.759847,0.073415,1.477778
