alignment position,genomic position,edited or not,positional entropy,average score difference
28,9,0,0.92,0
29,10,0,0.89,0
30,11,0,0.81,0
31,12,0,0.87,0
32,13,0,0.77,0
33,14,0,0.90,0
34,15,0,0.65,0
37,18,1,0.42,-1.63
38,19,0,0.49,0
44,20,0,0.40,0
45,21,1,0.71,-0.17
46,22,0,0.72,0
47,23,0,0.38,0
48,24,0,0.95,0
49,25,0,0.85,0
50,26,0,0.81,0
51,27,0,0.53,0
52,28,0,1.00,0
53,29,0,1.00,0
54,30,0,1.00,0
55,31,0,0.89,0
56,32,0,0.89,0
57,33,0,0.87,0
58,34,0,1.00,0
59,35,0,1.00,0
60,36,0,1.00,0
61,37,0,1.00,0
62,38,0,1.00,0
63,39,0,0.77,0
64,40,0,1.00,0
65,41,0,1.00,0
66,42,0,1.00,0
67,43,0,1.00,0
68,44,0,0.92,0
69,45,0,0.95,0
70,46,0,0.95,0
71,47,0,0.92,0
72,48,0,1.00,0
73,49,0,0.79,0
74,50,0,0.83,0
75,51,0,0.89,0
76,52,0,0.87,0
77,53,0,0.83,0
78,54,0,0.66,0
79,55,0,1.00,0
80,56,0,0.89,0
81,57,0,1.00,0
82,58,0,0.70,0
83,59,0,1.00,0
84,60,0,1.00,0
85,61,0,0.87,0
86,62,0,1.00,0
87,63,0,1.00,0
88,64,0,0.95,0
89,65,0,0.92,0
90,66,0,1.00,0
91,67,0,1.00,0
92,68,0,0.95,0
93,69,0,0.95,0
94,70,0,1.00,0
95,71,0,1.00,0
96,72,0,1.00,0
97,73,0,0.95,0
98,74,0,0.89,0
99,75,0,1.00,0
100,76,0,0.87,0
101,77,0,1.00,0
102,78,0,1.00,0
103,79,0,1.00,0
104,80,0,1.00,0
105,81,0,1.00,0
106,82,0,1.00,0
107,83,0,0.92,0
108,84,0,1.00,0
109,85,0,0.87,0
110,86,0,1.00,0
111,87,1,1.00,-4.00
112,88,0,1.00,0
113,89,0,0.85,0
114,90,0,1.00,0
115,91,0,0.92,0
116,92,0,1.00,0
117,93,0,1.00,0
118,94,0,0.92,0
119,95,0,0.87,0
120,96,0,1.00,0
121,97,0,1.00,0
122,98,0,0.90,0
123,99,0,0.87,0
124,100,0,0.83,0
125,101,0,0.87,0
126,102,0,1.00,0
127,103,0,1.00,0
128,104,0,1.00,0
129,105,0,1.00,0
130,106,0,1.00,0
131,107,0,0.90,0
132,108,0,1.00,0
133,109,0,0.82,0
134,110,0,0.81,0
135,111,0,0.95,0
136,112,0,0.90,0
137,113,0,1.00,0
138,114,0,0.76,0
139,115,0,1.00,0
140,116,0,0.83,0
141,117,0,1.00,0
142,118,0,1.00,0
143,119,0,1.00,0
144,120,0,1.00,0
145,121,0,0.73,0
146,122,0,1.00,0
147,123,0,0.58,0
148,124,0,1.00,0
149,125,0,0.92,0
150,126,0,1.00,0
151,127,0,1.00,0
152,128,0,0.73,0
153,129,0,0.90,0
154,130,0,0.82,0
155,131,0,0.85,0
156,132,0,1.00,0
157,133,0,1.00,0
158,134,0,1.00,0
159,135,0,0.78,0
160,136,0,1.00,0
161,137,0,1.00,0
162,138,0,1.00,0
163,139,0,1.00,0
164,140,0,1.00,0
165,141,0,0.92,0
166,142,0,1.00,0
167,143,0,0.95,0
168,144,0,0.82,0
169,145,0,0.92,0
170,146,0,0.80,0
171,147,0,0.82,0
172,148,0,1.00,0
173,149,0,1.00,0
174,150,0,1.00,0
175,151,0,1.00,0
176,152,0,1.00,0
177,153,0,1.00,0
178,154,0,0.95,0
179,155,0,1.00,0
180,156,0,1.00,0
181,157,0,0.92,0
182,158,0,1.00,0
183,159,0,1.00,0
184,160,0,0.81,0
185,161,0,0.81,0
186,162,0,0.95,0
187,163,0,0.89,0
188,164,0,0.87,0
189,165,0,1.00,0
190,166,0,1.00,0
191,167,0,1.00,0
192,168,0,0.55,0
193,169,0,1.00,0
194,170,0,1.00,0
195,171,0,1.00,0
196,172,0,1.00,0
197,173,0,1.00,0
198,174,0,0.83,0
199,175,0,0.85,0
200,176,0,1.00,0
201,177,0,1.00,0
202,178,0,1.00,0
203,179,0,0.95,0
204,180,0,1.00,0
205,181,0,1.00,0
206,182,0,0.89,0
207,183,0,1.00,0
208,184,1,1.00,1.00
209,185,0,1.00,0
210,186,0,0.89,0
211,187,0,1.00,0
212,188,0,1.00,0
213,189,0,1.00,0
214,190,0,1.00,0
215,191,0,0.83,0
216,192,0,1.00,0
217,193,0,1.00,0
218,194,0,0.75,0
219,195,0,1.00,0
220,196,0,1.00,0
221,197,0,1.00,0
222,198,0,1.00,0
223,199,0,1.00,0
224,200,0,0.89,0
225,201,0,1.00,0
226,202,0,0.95,0
227,203,0,0.95,0
228,204,0,1.00,0
229,205,0,1.00,0
230,206,0,1.00,0
231,207,0,1.00,0
232,208,0,1.00,0
233,209,0,1.00,0
234,210,0,1.00,0
235,211,0,1.00,0
236,212,0,1.00,0
237,213,0,0.85,0
238,214,0,1.00,0
239,215,0,1.00,0
240,216,0,0.81,0
241,217,0,0.95,0
242,218,0,1.00,0
243,219,0,1.00,0
244,220,0,0.92,0
245,221,0,1.00,0
246,222,0,1.00,0
247,223,0,1.00,0
248,224,0,1.00,0
249,225,0,1.00,0
250,226,0,1.00,0
251,227,0,1.00,0
252,228,1,0.77,1.00
253,229,0,1.00,0
254,230,0,1.00,0
255,231,0,0.89,0
256,232,0,0.95,0
257,233,0,0.95,0
258,234,0,1.00,0
259,235,0,1.00,0
260,236,0,0.87,0
261,237,0,0.85,0
262,238,0,0.84,0
263,239,0,0.77,0
264,240,0,1.00,0
265,241,0,1.00,0
266,242,0,0.95,0
267,243,0,1.00,0
268,244,0,1.00,0
269,245,0,0.77,0
270,246,0,1.00,0
271,247,0,0.95,0
272,248,0,1.00,0
273,249,0,0.77,0
274,250,0,1.00,0
275,251,0,1.00,0
276,252,0,1.00,0
277,253,0,1.00,0
278,254,0,0.95,0
279,255,0,1.00,0
280,256,0,1.00,0
281,257,0,1.00,0
282,258,0,1.00,0
283,259,0,1.00,0
284,260,0,1.00,0
285,261,0,0.95,0
286,262,0,1.00,0
287,263,0,1.00,0
288,264,0,1.00,0
289,265,1,0.92,-0.87
290,266,0,1.00,0
291,267,0,1.00,0
292,268,0,0.95,0
293,269,0,1.00,0
294,270,0,1.00,0
295,271,0,1.00,0
