name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA_trimmed,78.36,769,767,0.097260,2.706437,0.091154,2.535048
Kv_atpB_trimmed,76.59,371,369,-0.524533,11.834693,-0.687994,18.210878
Kv_atpH_trimmed,21.67,114,112,0.083735,0.889293,0.025039,0.265070
Kv_atpI_trimmed,80.26,233,231,-0.342288,5.536784,-0.443390,7.518386
Kv_clpC_trimmed,80.19,533,531,0.085990,1.988865,0.063595,1.468416
Kv_petA_trimmed,86.31,570,568,-0.663459,21.133089,-0.322367,8.116173
Kv_petB_trimmed,74.44,240,238,-0.652298,13.276581,-0.731008,16.526892
Kv_petD_trimmed,62.69,264,262,-0.573249,11.324204,-0.434759,7.814344
Kv_psaA_trimmed,79.59,422,420,-0.846081,32.528530,-0.754694,23.574376
Kv_psaB_trimmed,88.37,294,292,-0.815405,24.069573,-0.675339,15.647547
Kv_psbA_trimmed,100.00,724,722,-0.092226,2.488717,-0.506208,15.771871
Kv_psbB_trimmed,100.00,1310,1308,0.005031,0.181957,-0.212113,7.849974
Kv_psbC_trimmed,100.00,539,537,-0.492587,13.116553,-0.601125,17.430956
Kv_psbD_trimmed,49.81,234,232,0.050654,0.772530,-0.322142,5.183019
Kv_psbE_trimmed,64.49,144,142,-0.155406,1.874656,-0.098404,1.178333
Kv_psbF_trimmed,0.00,41,39,0.000000,0.000000,0.000000,0.000000
Kv_psbH_trimmed,66.29,138,136,-0.722001,12.169396,-0.314286,3.860807
Kv_psbI_trimmed,73.71,51,49,-0.838658,10.778506,-0.734354,7.573255
Kv_psbN_trimmed,58.82,74,72,-0.054127,0.459959,0.185177,1.598933
Kv_psbT_trimmed,42.37,42,40,-0.840484,9.810520,-0.495698,3.609774
Kv_psbV_trimmed,83.10,311,309,0.156187,2.779638,-0.312105,5.774771
Kv_rpl14_trimmed,68.03,270,268,-0.182425,3.037401,-0.222678,3.739285
Kv_rpl16_trimmed,71.90,188,186,-0.893363,27.115264,-0.885440,25.983149
Kv_rpl20_trimmed,70.32,197,195,0.181643,2.579409,-0.202802,2.892074
Kv_rpl27_trimmed,63.93,174,172,0.045803,0.601331,-0.742439,14.534710
Kv_rpl31_trimmed,60.04,144,142,0.660029,10.469564,-0.295039,3.679591
Kv_rpl36_trimmed,100.00,319,317,-0.911329,39.413676,0.876793,32.463943
Kv_rpl3_trimmed,88.83,549,547,-0.447986,11.719284,-0.392553,9.982332
Kv_rpl5_trimmed,94.12,486,484,0.562756,14.977376,-0.020569,0.452623
Kv_rpl6_trimmed,83.02,423,421,-0.186974,3.905259,0.219310,4.612154
Kv_rpoA_trimmed,89.58,481,479,-0.413179,9.930134,-0.245117,5.533445
Kv_rpoB_trimmed,55.40,187,185,0.163431,2.253196,-0.588868,9.909905
Kv_rpoC1_trimmed,87.85,351,349,-0.267344,5.183049,-0.625028,14.958285
Kv_rpoC2_trimmed,77.94,606,604,0.047832,1.176883,0.399765,10.718513
Kv_rps11_trimmed,40.45,71,69,0.629884,6.736559,0.282839,2.449451
Kv_rps13_trimmed,63.98,196,194,0.165155,2.332378,-0.016236,0.226169
Kv_rps14_trimmed,100.00,240,238,-0.582035,11.042302,-0.655058,13.374829
Kv_rps16_trimmed,44.94,142,140,-0.379080,4.847106,-0.345361,4.354287
Kv_rps19_trimmed,53.67,78,76,-0.350185,3.259216,-0.129046,1.134486
Kv_rps2_trimmed,76.05,608,606,-0.406975,10.967918,0.184577,4.623185
Kv_rps3_trimmed,81.46,477,475,-0.335380,7.758817,-0.352836,8.218447
Kv_rps4_trimmed,95.30,461,459,-0.207887,4.553316,-0.669188,19.293524
Kv_rps5_trimmed,88.61,349,347,-0.484638,10.320860,0.004342,0.080883
Kv_rps7_trimmed,81.94,226,224,-0.190670,2.907016,-0.101038,1.519977
Kv_rps8_trimmed,66.83,344,342,-0.421821,8.603735,0.134769,2.515270
Kv_secY_trimmed,68.82,829,827,0.146422,4.256625,-0.152351,4.432992
Kv_tufA_trimmed,74.15,803,801,0.009780,0.276795,-0.270286,7.945330
Kv_ycf3_trimmed,100.00,706,704,-0.449579,13.354384,0.422270,12.360129
Kv_ycf4_trimmed,74.44,404,402,-0.012271,0.246052,-0.007915,0.158702
