alignment position,genomic position,edited or not,positional entropy,average score difference
153,1,0,0.90,0
154,2,0,0.79,0
155,3,0,0.77,0
156,4,0,0.79,0
157,5,0,0.90,0
158,6,0,0.85,0
159,7,1,0.92,0.07
160,8,1,0.85,-1.03
161,9,1,0.66,-4.66
162,10,1,0.64,1.21
163,11,1,0.47,-1.41
164,12,0,0.77,0
165,13,0,0.65,0
167,15,0,1.00,0
168,16,0,0.70,0
169,17,0,0.77,0
257,18,0,1.00,0
258,19,0,0.84,0
259,20,0,0.46,0
260,21,0,0.90,0
261,22,1,0.87,-0.72
262,23,0,1.00,0
263,24,0,1.00,0
264,25,0,0.95,0
265,26,0,0.84,0
266,27,0,1.00,0
267,28,0,1.00,0
268,29,0,1.00,0
269,30,0,1.00,0
270,31,0,1.00,0
271,32,0,1.00,0
272,33,0,1.00,0
273,34,0,1.00,0
274,35,0,1.00,0
275,36,0,0.74,0
276,37,0,0.90,0
277,38,0,0.95,0
278,39,0,0.80,0
279,40,1,1.00,10.00
280,41,0,0.81,0
281,42,0,1.00,0
282,43,0,0.95,0
283,44,0,0.90,0
284,45,0,1.00,0
285,46,0,0.79,0
286,47,1,0.75,2.17
287,48,0,0.64,0
288,49,0,0.77,0
289,50,0,0.95,0
290,51,0,0.87,0
291,52,0,0.95,0
292,53,0,1.00,0
293,54,0,0.76,0
294,55,0,0.95,0
295,56,0,1.00,0
296,57,0,1.00,0
297,58,1,0.95,7.66
298,59,0,1.00,0
299,60,0,1.00,0
300,61,0,1.00,0
301,62,0,1.00,0
302,63,0,1.00,0
303,64,0,1.00,0
304,65,0,1.00,0
305,66,0,1.00,0
306,67,0,1.00,0
307,68,0,1.00,0
308,69,0,0.83,0
309,70,0,1.00,0
310,71,0,1.00,0
311,72,0,1.00,0
312,73,0,0.76,0
313,74,0,1.00,0
314,75,0,1.00,0
315,76,0,1.00,0
316,77,0,1.00,0
317,78,0,1.00,0
318,79,0,1.00,0
319,80,0,0.82,0
320,81,0,1.00,0
321,82,0,1.00,0
322,83,0,0.85,0
323,84,0,0.82,0
324,85,1,1.00,10.00
325,86,0,0.83,0
326,87,0,1.00,0
327,88,0,0.78,0
328,89,0,0.92,0
329,90,0,1.00,0
330,91,0,1.00,0
331,92,0,0.58,0
332,93,0,1.00,0
333,94,0,0.95,0
334,95,0,1.00,0
335,96,1,1.00,8.00
336,97,0,0.87,0
337,98,0,1.00,0
338,99,0,1.00,0
339,100,0,0.95,0
340,101,0,0.92,0
341,102,1,0.95,2.97
342,103,1,0.65,2.97
343,104,0,0.89,0
344,105,0,1.00,0
345,106,0,1.00,0
346,107,0,1.00,0
347,108,0,1.00,0
348,109,0,1.00,0
349,110,0,1.00,0
350,111,0,1.00,0
