name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Sm_atpA_trimmed,88.69,1278,1276,-0.425975,16.818525,-0.451232,18.061865
Sm_atpB_trimmed,78.98,1564,1562,-0.348601,14.699543,-0.435826,19.137988
Sm_petB_trimmed,68.91,257,255,-0.148531,2.398460,-0.093926,1.506544
Sm_petD_trimmed,52.32,379,377,-0.542963,12.554159,-0.425320,9.124667
Sm_psaA_trimmed,78.95,1993,1991,-0.477578,24.254613,-0.331887,15.698826
Sm_psaB_trimmed,67.45,1823,1821,-0.489571,23.959202,-0.233181,10.232652
Sm_psbA_trimmed,100.00,967,965,-0.461367,16.154163,-0.432505,14.901371
Sm_psbB_trimmed,78.58,1443,1441,-0.198987,7.707800,-0.161079,6.195531
Sm_psbC_trimmed,79.68,1304,1302,-0.399604,15.729447,-0.296198,11.189933
Sm_psbD_trimmed,100.00,1036,1034,-0.215727,7.104172,-0.314797,10.664793
Sm_psbE_trimmed,90.78,185,183,-0.090044,1.223056,0.050921,0.689739
Sm_psbI_trimmed,100.00,62,60,-0.490599,4.361060,0.472131,4.148600
