name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Sm_atpA_trimmed,86.26,1302,1300,-0.515543,21.693281,-0.546507,23.529160
Sm_atpB_trimmed,81.59,1384,1382,-0.607593,28.438742,-0.676437,34.143547
Sm_petB_trimmed,73.67,351,349,0.247921,4.780809,-0.031748,0.593400
Sm_petD_trimmed,57.03,379,377,-0.318507,6.524047,-0.553050,12.888824
Sm_psaA_trimmed,78.68,2014,2012,-0.293461,13.769571,-0.203895,9.342038
Sm_psaB_trimmed,70.99,1781,1779,-0.461257,21.926892,-0.162049,6.926466
Sm_psbA_trimmed,100.00,972,970,-0.458302,16.059639,-0.480062,17.043833
Sm_psbB_trimmed,78.39,1449,1447,-0.309894,12.398588,-0.179931,6.958027
Sm_psbC_trimmed,83.22,1300,1298,-0.268890,10.057949,-0.356375,13.741628
Sm_psbD_trimmed,100.00,1016,1014,-0.045323,1.444733,-0.152094,4.900205
Sm_psbE_trimmed,89.94,174,172,0.535560,8.317149,0.189994,2.537975
Sm_psbI_trimmed,49.40,58,56,-0.645599,6.326258,-0.013813,0.103377
