name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Pl_atpA,69.02,1510,1508,-0.483540,21.451844,-0.598218,28.989900
Pl_atpB,78.83,1879,1877,-0.781190,54.212615,-0.826678,63.651687
Pl_petB,73.96,601,599,-0.414992,11.163376,-0.637813,20.267887
Pl_petD,74.78,429,427,-0.246326,5.251900,-0.492309,11.687541
Pl_psaA,77.81,2246,2244,-0.142976,6.843189,-0.223998,10.887621
Pl_psaB,72.07,2261,2259,-0.415855,21.733518,-0.476279,25.744580
Pl_psbA,81.91,1053,1051,-0.394665,13.925077,-0.595204,24.012722
Pl_psbB,63.62,1492,1490,-0.037986,1.467357,-0.154108,6.020575
Pl_psbC,72.10,1341,1339,-0.206628,7.727791,-0.291998,11.171776
Pl_psbD,73.32,1066,1064,-0.563635,22.257499,-0.580696,23.266471
Pl_psbE,100.00,208,206,0.038205,0.548750,0.110644,1.597845
