name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Km_atpA_trimmed,63.73,669,667,-0.267726,7.176366,-0.437623,12.569746
Km_atpB_trimmed,80.19,647,645,-0.170306,4.389352,-0.407803,11.342963
Km_cbbx_trimmed,66.47,785,783,-0.375696,11.343788,-0.567244,19.273514
Km_chlI_trimmed,84.80,682,680,-0.483887,14.418701,-0.517515,15.771347
Km_clpC_trimmed,92.69,652,650,0.271820,7.201206,-0.309334,8.293261
Km_dnaK5_trimmed,82.31,238,236,-0.401130,6.727227,0.155189,2.413290
Km_psaA_trimmed,66.50,589,587,-0.357447,9.272889,-0.275464,6.942556
Km_psbA_trimmed,69.28,610,608,0.013708,0.338034,0.259108,6.614901
Km_psbC_trimmed,75.78,1358,1356,-0.466302,19.410525,-0.722522,38.484381
Km_psbD_trimmed,81.30,301,299,0.483647,9.554881,0.264175,4.736261
Km_psbE_trimmed,100.00,31,29,-0.000000,0.000000,-0.000000,0.000000
Km_rbcL_trimmed,69.42,827,825,-0.087591,2.525564,-0.244106,7.230130
Km_rpl16_trimmed,80.16,221,219,-0.080340,1.192775,0.010786,0.159634
Km_rpl22_trimmed,64.79,200,198,0.088059,1.243933,0.305458,4.513912
Km_rpl2_trimmed,70.94,628,626,-0.717224,25.751743,-0.566352,17.193344
Km_rpoC1_trimmed,60.25,807,805,0.097473,2.778792,-0.290987,8.629457
Km_rps11_trimmed,65.24,343,341,-0.083840,1.553684,-0.212421,4.014211
Km_rps12_trimmed,63.58,190,188,-0.567133,9.441343,-0.758647,15.966241
Km_rps13_trimmed,61.85,113,111,0.322289,3.586925,0.210565,2.269317
Km_rps19_trimmed,50.85,56,54,0.285462,2.188785,0.707086,7.348029
Km_rps3_trimmed,66.09,432,430,-0.004569,0.094736,-0.159703,3.354721
Km_rps7_trimmed,78.66,358,356,-0.302364,5.985150,-0.462629,9.845862
Km_secA_trimmed,78.81,933,931,-0.114057,3.502994,-0.282722,8.993406
Km_secY_trimmed,78.92,850,848,0.074930,2.188136,-0.053016,1.546035
Km_ycf39_trimmed,49.74,768,766,-0.387821,11.645003,-0.091311,2.537796
Km_ycf4_trimmed,54.42,210,208,0.071248,1.030169,-0.215453,3.182046
