name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Ht_atpA,100.00,1474,1472,-0.251094,9.952494,-0.423696,17.946268
Ht_petB,100.00,600,598,0.529529,15.264945,0.386244,10.239880
Ht_petD,100.00,423,421,-0.160510,3.336651,-0.405625,9.105437
Ht_psaA,100.00,2004,2002,-0.168519,7.649574,-0.127567,5.754831
Ht_psaB,0.00,2083,2081,0.000000,0.000000,0.000000,0.000000
Ht_psbA,0.00,880,878,0.000000,0.000000,0.000000,0.000000
Ht_psbB,0.00,1418,1416,0.000000,0.000000,0.000000,0.000000
Ht_psbC,100.00,1339,1337,-0.289166,11.045233,-0.056022,2.051652
Ht_psbD,100.00,1014,1012,0.001013,0.032228,0.005633,0.179210
Ht_psbE,100.00,211,209,0.437809,7.039874,-0.251711,3.760004
