alignment position,genomic position,edited or not,positional entropy,average score difference
40,10,0,0.90,0
41,11,0,0.82,0
42,12,0,0.77,0
43,13,0,0.92,0
44,14,0,0.84,0
45,15,0,0.95,0
46,16,0,0.95,0
47,17,0,0.92,0
48,18,0,0.95,0
49,19,0,1.00,0
50,20,0,1.00,0
51,21,0,0.83,0
52,22,0,1.00,0
53,23,0,1.00,0
54,24,0,0.92,0
55,25,0,1.00,0
56,26,0,0.95,0
57,27,0,1.00,0
58,28,0,0.90,0
61,29,0,0.77,0
62,30,0,0.95,0
63,31,0,0.95,0
64,32,0,0.95,0
65,33,0,0.95,0
66,34,0,1.00,0
67,35,0,1.00,0
68,36,0,1.00,0
69,37,0,1.00,0
70,38,0,1.00,0
71,39,1,1.00,4.00
72,40,0,1.00,0
73,41,1,1.00,4.00
74,42,0,1.00,0
75,43,0,0.71,0
76,44,0,0.80,0
77,45,0,0.95,0
78,46,0,1.00,0
79,47,0,1.00,0
80,48,0,0.64,0
81,49,0,1.00,0
82,50,1,0.95,0.93
83,51,0,1.00,0
84,52,0,0.67,0
85,53,0,1.00,0
86,54,0,1.00,0
87,55,0,1.00,0
88,56,0,1.00,0
89,57,0,0.78,0
90,58,0,1.00,0
91,59,0,0.77,0
92,60,1,0.73,-0.07
93,61,0,1.00,0
94,62,0,0.92,0
95,63,0,0.95,0
96,64,0,0.95,0
97,65,0,0.85,0
98,66,0,1.00,0
99,67,0,0.95,0
100,68,0,1.00,0
101,69,0,1.00,0
102,70,0,0.57,0
103,71,0,1.00,0
104,72,0,0.92,0
105,73,0,0.70,0
106,74,0,0.89,0
107,75,0,1.00,0
108,76,0,0.95,0
109,77,0,0.87,0
110,78,0,0.90,0
111,79,0,1.00,0
112,80,0,1.00,0
122,81,0,0.50,0
123,82,0,0.65,0
124,83,0,0.70,0
125,84,0,0.67,0
126,85,0,0.95,0
127,86,0,0.85,0
128,87,0,1.00,0
129,88,1,0.84,0.93
130,89,0,0.79,0
131,90,1,1.00,6.00
132,91,1,0.95,0.93
133,92,0,0.72,0
134,93,0,1.00,0
135,94,0,0.85,0
136,95,0,0.80,0
137,96,0,0.95,0
138,97,0,0.95,0
139,98,0,0.95,0
140,99,1,1.00,1.00
