alignment position,genomic position,edited or not,positional entropy,average score difference
19,2,0,0.90,0
20,3,0,0.65,0
21,4,0,0.78,0
22,5,0,0.84,0
24,6,0,0.95,0
25,7,0,0.95,0
26,8,1,0.82,1.83
27,9,1,0.95,-3.87
28,10,0,0.95,0
29,11,1,0.85,-2.07
42,13,0,0.95,0
43,14,0,0.70,0
44,15,0,1.00,0
45,16,0,0.95,0
46,17,0,1.00,0
47,18,0,0.90,0
48,19,0,0.95,0
49,20,0,0.79,0
50,21,1,0.95,0.83
51,22,0,0.85,0
52,23,0,0.95,0
53,24,1,0.90,0.90
54,25,0,0.85,0
55,26,0,0.95,0
56,27,0,1.00,0
57,28,0,0.74,0
58,29,0,1.00,0
61,32,0,0.68,0
62,33,1,0.87,0.93
63,34,1,0.95,-6.87
64,35,1,0.74,0.07
65,36,1,0.78,1.20
66,37,1,0.95,-1.93
67,38,1,0.90,-4.67
68,39,1,0.90,-0.20
72,40,0,0.97,0
73,41,0,1.00,0
74,42,0,0.79,0
75,43,0,1.00,0
76,44,0,0.95,0
77,45,0,0.95,0
78,46,0,0.95,0
79,47,0,0.95,0
80,48,0,0.95,0
81,49,1,1.00,-1.00
82,50,0,0.85,0
83,51,0,0.92,0
84,52,0,0.92,0
85,53,0,0.82,0
86,54,0,1.00,0
87,55,0,0.95,0
88,56,0,1.00,0
89,57,0,1.00,0
90,58,1,0.90,2.83
91,59,1,0.85,0.67
92,60,0,0.95,0
93,61,0,0.90,0
94,62,0,0.95,0
95,63,0,1.00,0
96,64,0,1.00,0
97,65,0,0.92,0
98,66,0,0.95,0
99,67,0,1.00,0
100,68,1,0.95,-0.10
101,69,0,1.00,0
102,70,0,1.00,0
103,71,0,1.00,0
104,72,0,0.87,0
105,73,0,0.61,0
106,74,0,0.95,0
107,75,0,0.66,0
108,76,1,0.54,-0.87
109,77,0,0.83,0
110,78,0,1.00,0
111,79,0,0.87,0
112,80,0,0.74,0
113,81,0,0.74,0
114,82,0,0.75,0
115,83,0,1.00,0
116,84,0,0.90,0
117,85,0,0.95,0
118,86,0,1.00,0
119,87,0,0.65,0
120,88,0,0.95,0
121,89,0,0.90,0
122,90,0,1.00,0
123,91,1,1.00,10.00
124,92,1,0.95,5.83
125,93,0,0.95,0
126,94,1,0.95,0.10
127,95,0,0.80,0
128,96,0,0.52,0
129,97,1,0.95,-0.97
130,98,0,0.51,0
131,99,0,0.80,0
132,100,1,0.95,1.00
133,101,0,0.95,0
134,102,0,0.74,0
135,103,0,0.64,0
136,104,0,0.71,0
137,105,0,0.67,0
138,106,0,0.55,0
139,107,0,0.39,0
140,108,1,0.69,-0.27
141,109,1,0.97,0.00
142,110,0,0.79,0
143,111,1,0.82,0.00
144,112,0,0.86,0
145,113,0,0.64,0
146,114,0,0.61,0
147,115,0,0.97,0
148,116,0,0.97,0
149,117,0,0.87,0
150,118,0,1.00,0
151,119,0,0.72,0
152,120,0,1.00,0
153,121,0,0.95,0
154,122,0,0.95,0
155,123,0,1.00,0
156,124,0,0.87,0
157,125,0,1.00,0
158,126,0,0.69,0
159,127,1,0.95,6.80
160,128,0,0.79,0
161,129,0,0.95,0
162,130,0,0.43,0
163,131,0,0.76,0
164,132,1,0.95,1.00
165,133,0,0.95,0
166,134,0,0.26,0
167,135,0,0.87,0
168,136,0,0.73,0
169,137,0,0.69,0
170,138,1,0.73,-3.40
171,139,0,1.00,0
172,140,0,0.71,0
173,141,0,0.41,0
174,142,0,0.78,0
175,143,0,0.80,0
176,144,0,0.52,0
177,145,0,0.59,0
178,146,0,0.59,0
179,147,0,1.00,0
180,148,0,0.75,0
181,149,1,0.86,-0.97
182,150,0,0.92,0
183,151,1,0.87,0.00
184,152,0,1.00,0
185,153,0,0.90,0
186,154,0,0.95,0
187,155,0,0.95,0
189,156,0,0.74,0
190,157,0,0.89,0
191,158,0,0.55,0
192,159,1,1.00,1.00
193,160,0,0.59,0
194,161,0,0.74,0
195,162,0,0.72,0
196,163,0,0.90,0
216,183,0,0.95,0
