alignment position,genomic position,edited or not,positional entropy,average score difference
153,1,0,0.90,0
154,2,0,0.79,0
155,3,0,0.77,0
158,4,0,0.82,0
159,5,0,0.90,0
160,6,0,0.87,0
161,7,0,0.66,0
162,8,0,0.62,0
163,9,0,0.44,0
164,10,0,0.72,0
165,11,0,0.68,0
166,12,0,1.00,0
167,13,0,0.70,0
168,14,0,0.77,0
256,15,0,1.00,0
257,16,1,0.84,-0.07
258,17,0,0.46,0
259,18,0,0.90,0
260,19,0,0.87,0
261,20,0,1.00,0
262,21,0,1.00,0
263,22,0,0.95,0
264,23,0,0.84,0
265,24,0,1.00,0
266,25,0,1.00,0
267,26,0,1.00,0
268,27,0,1.00,0
269,28,0,1.00,0
270,29,0,1.00,0
271,30,0,1.00,0
272,31,0,1.00,0
273,32,0,1.00,0
274,33,0,0.74,0
275,34,0,0.90,0
276,35,0,0.95,0
277,36,0,0.80,0
278,37,0,1.00,0
279,38,0,0.81,0
280,39,0,1.00,0
281,40,0,0.95,0
282,41,0,0.90,0
283,42,0,1.00,0
284,43,0,0.79,0
285,44,0,0.75,0
286,45,0,0.64,0
287,46,0,0.77,0
288,47,0,0.95,0
289,48,0,0.87,0
290,49,0,0.95,0
291,50,0,1.00,0
292,51,0,0.76,0
293,52,0,0.95,0
294,53,0,1.00,0
295,54,0,1.00,0
296,55,0,0.95,0
297,56,0,1.00,0
298,57,0,1.00,0
299,58,0,1.00,0
300,59,0,1.00,0
301,60,0,1.00,0
302,61,0,1.00,0
303,62,0,1.00,0
304,63,0,1.00,0
305,64,0,1.00,0
306,65,0,1.00,0
307,66,0,0.83,0
308,67,0,1.00,0
309,68,0,1.00,0
310,69,0,1.00,0
311,70,0,0.76,0
312,71,0,1.00,0
313,72,0,1.00,0
314,73,0,1.00,0
315,74,0,1.00,0
316,75,0,1.00,0
317,76,0,1.00,0
318,77,0,0.82,0
319,78,0,1.00,0
320,79,0,1.00,0
321,80,0,0.85,0
322,81,0,0.82,0
323,82,0,1.00,0
324,83,0,0.83,0
325,84,0,1.00,0
326,85,0,0.78,0
327,86,0,0.92,0
328,87,0,1.00,0
329,88,0,1.00,0
330,89,0,0.58,0
331,90,0,1.00,0
332,91,0,0.95,0
333,92,0,1.00,0
334,93,0,1.00,0
335,94,0,0.87,0
336,95,0,1.00,0
337,96,0,1.00,0
338,97,0,0.95,0
339,98,0,0.92,0
340,99,0,0.95,0
341,100,0,0.65,0
342,101,0,0.89,0
343,102,0,1.00,0
344,103,0,1.00,0
345,104,0,1.00,0
346,105,0,1.00,0
347,106,0,1.00,0
348,107,0,1.00,0
349,108,0,1.00,0
350,109,0,0.84,0
351,110,0,1.00,0
352,111,0,0.80,0
353,112,0,0.92,0
