alignment position,genomic position,edited or not,positional entropy,average score difference
17,1,0,0.85,0
18,2,0,0.58,0
19,3,0,0.70,0
20,4,0,0.38,0
21,5,0,0.81,0
27,6,0,0.74,0
28,7,0,0.40,0
29,8,0,0.95,0
30,9,0,0.90,0
31,10,1,0.95,-2.14
32,11,1,0.79,-1.93
33,12,1,0.87,2.00
34,13,0,1.00,0
35,14,1,0.87,3.10
36,15,0,0.69,0
37,16,0,1.00,0
38,17,0,1.00,0
39,18,1,0.95,1.00
40,19,0,1.00,0
41,20,0,0.95,0
42,21,0,0.95,0
43,22,1,0.77,-2.31
44,23,0,0.92,0
45,24,1,0.87,3.41
46,25,0,1.00,0
47,26,0,1.00,0
49,27,1,1.00,8.00
50,28,0,0.72,0
51,29,0,0.95,0
52,30,0,1.00,0
53,31,0,1.00,0
54,32,0,1.00,0
55,33,0,0.95,0
56,34,0,1.00,0
57,35,1,0.95,4.86
58,36,0,1.00,0
59,37,0,1.00,0
60,38,0,1.00,0
61,39,0,1.00,0
62,40,0,0.92,0
63,41,0,1.00,0
64,42,0,1.00,0
65,43,0,1.00,0
66,44,0,1.00,0
67,45,1,0.74,-2.41
68,46,0,0.69,0
69,47,1,0.90,2.72
70,48,0,0.64,0
71,49,0,0.83,0
72,50,0,1.00,0
73,51,0,0.95,0
74,52,0,0.77,0
75,53,0,0.77,0
77,55,1,1.00,0.00
78,56,0,1.00,0
79,57,0,1.00,0
80,58,1,0.85,-0.66
81,59,0,1.00,0
82,60,0,0.95,0
83,61,0,1.00,0
84,62,0,1.00,0
85,63,0,1.00,0
86,64,0,1.00,0
87,65,0,0.95,0
88,66,1,1.00,1.00
89,67,0,0.70,0
90,68,0,0.70,0
91,69,0,0.95,0
92,70,0,0.95,0
93,71,0,0.77,0
94,72,0,1.00,0
95,73,0,0.71,0
96,74,0,1.00,0
97,75,0,0.89,0
98,76,0,0.87,0
99,77,1,0.73,0.72
100,78,0,1.00,0
101,79,0,1.00,0
102,80,1,1.00,-2.00
103,81,1,1.00,4.00
104,82,0,0.71,0
105,83,0,1.00,0
106,84,0,1.00,0
107,85,0,1.00,0
108,86,0,1.00,0
109,87,1,0.53,0.14
110,88,1,0.90,2.21
111,89,0,1.00,0
112,90,0,0.95,0
113,91,0,0.60,0
114,92,0,0.76,0
115,93,0,1.00,0
116,94,0,0.75,0
117,95,0,0.33,0
118,96,0,0.77,0
119,97,1,0.92,1.93
120,98,0,0.85,0
121,99,0,1.00,0
122,100,0,0.80,0
123,101,0,1.00,0
124,102,0,0.83,0
125,103,0,1.00,0
126,104,0,1.00,0
127,105,1,1.00,11.00
128,106,0,0.75,0
129,107,1,0.95,0.93
130,108,0,1.00,0
131,109,0,1.00,0
132,110,0,0.87,0
133,111,1,0.89,0.00
134,112,0,1.00,0
135,113,0,1.00,0
136,114,1,0.79,4.31
137,115,0,1.00,0
138,116,1,0.95,3.10
139,117,0,1.00,0
140,118,1,1.00,6.00
141,119,0,0.78,0
142,120,1,0.90,3.76
143,121,0,0.74,0
144,122,0,1.00,0
145,123,0,0.73,0
146,124,0,1.00,0
147,125,0,0.71,0
148,126,0,1.00,0
149,127,0,1.00,0
150,128,0,1.00,0
151,129,0,0.70,0
152,130,0,1.00,0
153,131,0,0.92,0
154,132,0,0.68,0
155,133,0,1.00,0
156,134,0,1.00,0
157,135,0,0.87,0
158,136,0,0.69,0
159,137,0,1.00,0
160,138,0,1.00,0
161,139,0,0.95,0
162,140,0,0.66,0
163,141,0,1.00,0
164,142,0,0.42,0
165,143,1,0.78,3.00
166,144,0,1.00,0
167,145,0,1.00,0
168,146,0,0.50,0
169,147,0,0.83,0
170,148,0,0.95,0
171,149,1,0.69,-4.28
172,150,1,0.92,4.07
173,151,0,0.82,0
174,152,0,0.95,0
175,153,0,0.38,0
176,154,0,0.77,0
177,155,0,0.78,0
178,156,0,0.63,0
179,157,1,0.81,1.79
180,158,1,0.95,0.00
181,159,1,0.61,-0.45
182,160,0,0.95,0
183,161,0,0.92,0
184,162,0,1.00,0
185,163,0,1.00,0
186,164,0,0.90,0
187,165,0,1.00,0
188,166,0,0.95,0
189,167,0,1.00,0
190,168,0,0.95,0
191,169,0,0.87,0
192,170,0,1.00,0
193,171,1,1.00,-1.00
194,172,0,0.95,0
195,173,0,1.00,0
196,174,0,0.87,0
197,175,0,1.00,0
198,176,0,1.00,0
199,177,0,1.00,0
200,178,0,0.92,0
201,179,0,0.79,0
202,180,0,1.00,0
203,181,0,1.00,0
204,182,0,1.00,0
205,183,0,0.77,0
206,184,0,1.00,0
207,185,0,1.00,0
208,186,0,1.00,0
209,187,0,1.00,0
210,188,1,0.76,3.83
211,189,0,0.92,0
212,190,0,1.00,0
213,191,0,0.95,0
214,192,0,1.00,0
215,193,0,1.00,0
216,194,0,1.00,0
217,195,0,0.78,0
218,196,1,1.00,1.00
219,197,1,0.76,5.24
220,198,0,1.00,0
221,199,0,0.73,0
222,200,0,1.00,0
223,201,0,1.00,0
224,202,1,0.95,-0.93
225,203,0,0.95,0
226,204,0,1.00,0
227,205,0,0.73,0
228,206,0,0.73,0
229,207,0,0.95,0
230,208,0,1.00,0
231,209,1,0.85,0.66
232,210,0,1.00,0
233,211,0,0.82,0
234,212,0,0.92,0
235,213,0,1.00,0
236,214,0,0.95,0
237,215,1,0.77,2.14
238,216,0,1.00,0
239,217,1,0.82,3.90
240,218,0,0.62,0
241,219,1,0.87,6.76
242,220,0,0.67,0
243,221,1,0.90,2.03
244,222,1,0.89,-1.00
245,223,1,1.00,-1.00
246,224,0,0.95,0
247,225,1,1.00,1.00
248,226,0,0.84,0
249,227,0,0.95,0
250,228,0,0.85,0
251,229,0,0.74,0
252,230,0,0.44,0
253,231,0,1.00,0
254,232,0,0.77,0
255,233,0,0.60,0
256,234,1,0.95,2.00
257,235,0,0.75,0
258,236,0,0.65,0
259,237,0,0.84,0
260,238,0,0.95,0
261,239,1,1.00,3.00
262,240,0,1.00,0
263,241,0,1.00,0
264,242,0,1.00,0
265,243,0,0.43,0
266,244,0,0.78,0
267,245,0,1.00,0
270,246,0,1.00,0
271,247,0,1.00,0
272,248,0,1.00,0
273,249,0,0.72,0
274,250,0,0.73,0
275,251,0,0.77,0
276,252,1,1.00,-3.00
277,253,0,0.53,0
278,254,0,0.77,0
279,255,0,1.00,0
280,256,0,0.87,0
281,257,0,0.92,0
282,258,0,0.95,0
283,259,1,1.00,-3.00
284,260,0,0.95,0
285,261,0,1.00,0
286,262,0,0.89,0
287,263,0,0.95,0
288,264,0,1.00,0
292,268,0,0.95,0
293,269,0,0.87,0
295,270,0,0.76,0
296,271,0,1.00,0
297,272,0,1.00,0
298,273,0,0.82,0
299,274,1,1.00,-1.00
300,275,1,1.00,-2.00
301,276,1,1.00,-3.00
302,277,0,0.79,0
303,278,0,1.00,0
304,279,0,0.52,0
305,280,0,1.00,0
306,281,0,1.00,0
307,282,0,1.00,0
308,283,0,1.00,0
309,284,0,0.95,0
310,285,1,1.00,5.00
311,286,0,0.78,0
312,287,0,0.92,0
313,288,1,0.87,1.14
314,289,0,0.95,0
315,290,0,1.00,0
316,291,0,0.79,0
317,292,0,0.60,0
318,293,0,1.00,0
319,294,0,1.00,0
320,295,1,1.00,1.00
321,296,0,0.95,0
329,297,1,1.00,6.00
330,298,0,1.00,0
331,299,1,0.82,2.86
332,300,0,0.76,0
333,301,1,0.90,3.00
334,302,0,0.75,0
