alignment position,genomic position,edited or not,positional entropy,average score difference
326,111,0,0.78,0
327,112,0,0.92,0
328,113,0,1.00,0
329,114,0,1.00,0
330,115,0,0.58,0
331,116,0,1.00,0
332,117,0,0.95,0
333,118,0,1.00,0
334,119,0,1.00,0
335,120,0,0.87,0
336,121,0,1.00,0
337,122,0,1.00,0
338,123,0,0.95,0
339,124,0,0.92,0
340,125,0,0.95,0
341,126,0,0.65,0
342,127,0,0.89,0
343,128,0,1.00,0
344,129,0,1.00,0
345,130,0,1.00,0
346,131,0,1.00,0
347,132,0,1.00,0
348,133,0,1.00,0
349,134,0,1.00,0
350,135,0,0.84,0
351,136,0,1.00,0
352,137,0,0.80,0
353,138,0,0.92,0
354,139,0,0.77,0
355,140,1,1.00,1.00
356,141,0,0.63,0
357,142,0,1.00,0
358,143,0,1.00,0
359,144,0,0.77,0
360,145,0,0.75,0
361,146,0,1.00,0
362,147,0,0.92,0
363,148,0,0.70,0
364,149,0,0.55,0
365,150,0,0.85,0
366,151,0,0.78,0
367,152,0,1.00,0
368,153,0,1.00,0
369,154,0,1.00,0
370,155,0,1.00,0
371,156,0,1.00,0
372,157,0,0.89,0
373,158,0,1.00,0
374,159,0,0.85,0
375,160,0,1.00,0
376,161,0,1.00,0
377,162,0,1.00,0
378,163,0,1.00,0
379,164,0,1.00,0
380,165,0,1.00,0
381,166,0,1.00,0
382,167,0,1.00,0
383,168,0,0.55,0
384,169,0,1.00,0
385,170,0,1.00,0
386,171,0,0.85,0
387,172,0,0.83,0
388,173,0,1.00,0
389,174,0,1.00,0
390,175,0,0.95,0
391,176,0,1.00,0
392,177,0,1.00,0
393,178,0,1.00,0
394,179,0,0.65,0
395,180,0,1.00,0
396,181,0,1.00,0
397,182,0,1.00,0
398,183,0,0.78,0
399,184,0,0.77,0
400,185,0,1.00,0
401,186,0,1.00,0
402,187,0,1.00,0
403,188,0,1.00,0
404,189,0,1.00,0
405,190,0,1.00,0
406,191,0,1.00,0
407,192,0,1.00,0
408,193,0,1.00,0
409,194,0,1.00,0
410,195,0,1.00,0
411,196,0,1.00,0
412,197,0,1.00,0
413,198,0,1.00,0
414,199,0,1.00,0
415,200,0,1.00,0
416,201,0,0.95,0
417,202,0,1.00,0
418,203,0,1.00,0
419,204,0,1.00,0
420,205,0,1.00,0
421,206,0,1.00,0
422,207,0,1.00,0
423,208,0,0.82,0
424,209,0,1.00,0
425,210,0,1.00,0
426,211,0,1.00,0
427,212,0,1.00,0
428,213,0,1.00,0
429,214,0,1.00,0
430,215,0,0.95,0
431,216,0,1.00,0
432,217,0,1.00,0
433,218,0,1.00,0
434,219,0,1.00,0
435,220,0,1.00,0
436,221,0,1.00,0
437,222,0,1.00,0
438,223,0,0.77,0
439,224,1,0.70,0.83
440,225,0,1.00,0
441,226,0,1.00,0
442,227,0,1.00,0
443,228,0,1.00,0
444,229,0,1.00,0
445,230,0,1.00,0
446,231,0,1.00,0
447,232,0,1.00,0
448,233,0,0.95,0
449,234,0,1.00,0
450,235,0,1.00,0
451,236,0,1.00,0
452,237,0,1.00,0
453,238,0,1.00,0
454,239,0,1.00,0
455,240,0,1.00,0
456,241,0,1.00,0
457,242,0,1.00,0
458,243,0,1.00,0
459,244,0,0.95,0
460,245,0,1.00,0
461,246,0,1.00,0
462,247,0,1.00,0
463,248,0,0.95,0
464,249,0,0.95,0
465,250,0,1.00,0
466,251,0,1.00,0
467,252,0,0.72,0
468,253,0,0.90,0
469,254,0,0.65,0
470,255,0,0.95,0
471,256,0,1.00,0
472,257,0,0.68,0
473,258,0,1.00,0
474,259,0,0.64,0
475,260,0,0.95,0
476,261,0,1.00,0
477,262,0,0.84,0
478,263,0,0.95,0
479,264,0,1.00,0
480,265,0,1.00,0
481,266,0,1.00,0
482,267,0,0.90,0
483,268,0,1.00,0
484,269,0,1.00,0
485,270,0,1.00,0
486,271,0,0.95,0
487,272,0,1.00,0
488,273,0,0.95,0
489,274,0,1.00,0
490,275,0,1.00,0
491,276,0,1.00,0
492,277,0,0.95,0
493,278,0,1.00,0
494,279,0,0.95,0
495,280,0,1.00,0
496,281,0,1.00,0
497,282,0,1.00,0
498,283,0,0.95,0
