name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Ht_atpA,100.00,1441,1439,-0.296131,11.760992,-0.435684,18.361662
Ht_petB,100.00,603,601,0.251997,6.383798,0.344737,9.003244
Ht_petD,100.00,436,434,-0.155617,3.281906,-0.349214,7.763840
Ht_psaA,100.00,2002,2000,-0.090506,4.064245,-0.145975,6.598898
Ht_psaB,0.00,2101,2099,0.000000,0.000000,0.000000,0.000000
Ht_psbA,0.00,876,874,0.000000,0.000000,0.000000,0.000000
Ht_psbB,0.00,1411,1409,0.000000,0.000000,0.000000,0.000000
Ht_psbC,100.00,1374,1372,-0.074267,2.758488,-0.025768,0.954769
Ht_psbD,100.00,1014,1012,-0.296236,9.866707,-0.110464,3.535697
Ht_psbE,100.00,210,208,-0.148045,2.158931,-0.232520,3.447947
