name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Pl_atpA_trimmed,73.09,1360,1358,-0.729204,39.269421,-0.740356,40.586513
Pl_atpB_trimmed,74.64,1400,1398,-0.704601,37.126231,-0.833465,56.396457
Pl_petB_trimmed,72.67,596,594,-0.705666,24.273106,-0.745905,27.294046
Pl_petD_trimmed,74.58,419,417,-0.072298,1.480250,-0.502189,11.858805
Pl_psaA_trimmed,83.10,2047,2045,-0.334438,16.047919,-0.339603,16.327780
Pl_psaB_trimmed,75.90,2026,2024,-0.631736,36.663734,-0.645867,38.059894
Pl_psbA_trimmed,74.77,982,980,-0.604864,23.778192,-0.706358,31.238759
Pl_psbB_trimmed,62.92,1379,1377,-0.511879,22.111195,-0.438798,18.120595
Pl_psbC_trimmed,73.00,1318,1316,-0.173566,6.393439,-0.262244,9.858366
Pl_psbD_trimmed,72.45,1006,1004,-0.662199,28.001651,-0.777598,39.186493
Pl_psbE_trimmed,100.00,164,162,-0.322672,4.339032,-0.278976,3.697580
