name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value
,,,,,,,
Km_atpA_trimmed,56.58,821,819,-0.261968,7.768355,-0.205879,6.020878
Km_atpB_trimmed,88.55,672,670,-0.194928,5.144258,-0.455549,13.245854
Km_chlI_trimmed,84.83,677,675,-0.551144,17.160788,-0.661628,22.924563
Km_clpC_trimmed,92.33,652,650,-0.4092,11.433674,-0.490311,14.342905
Km_dnaK_trimmed,76.4,265,263,0.736888,17.677572,0.61749,12.731094
Km_psaA_trimmed,64.16,589,587,-0.404421,10.713589,-0.446308,12.083405
Km_psbA_trimmed,100,610,608,0.008835,0.217857,0.115671,2.871439
Km_psbC_trimmed,86.03,1351,1349,-0.603163,27.774475,-0.760941,43.075618
Km_psbD_trimmed,100,304,302,-0.64409,14.632468,-0.453998,8.854782
Km_psbE_trimmed,100,31,29,0,0,0,0
Km_psbX_trimmed,0,36,34,0,0,0,0
Km_rbcL_trimmed,100,824,822,-0.120543,3.481424,-0.163152,4.741178
Km_rpl16_trimmed,100,230,228,-0.188511,2.898419,-0.048601,0.734724
Km_rpl22_trimmed,60.77,199,197,0.744876,15.669636,0.056427,0.793257
Km_rpl2_trimmed,79.78,629,627,-0.45333,12.735133,-0.393904,10.730935
Km_rpoC1_trimmed,69.66,823,821,-0.062416,1.791894,-0.376701,11.651988
Km_rps11_trimmed,82.17,363,361,0.085362,1.627823,0.056338,1.072123
Km_rps12_trimmed,70.83,193,191,-0.25921,3.70913,-0.790671,17.848
Km_rps13_trimmed,66.86,110,108,0.592248,7.638573,-0.048287,0.5024
Km_rps19_trimmed,0,56,54,0,0,0,0
Km_rps3_trimmed,75.16,450,448,-0.289645,6.405188,-0.327548,7.337664
Km_rps7_trimmed,81.85,262,260,-0.047372,0.764705,-0.387687,6.781647
Km_secA_trimmed,78.66,932,930,-0.242992,7.639236,-0.389881,12.911532
Km_secY_trimmed,90.87,782,780,-0.116358,3.271938,-0.59738,20.803964
Km_ycf39_trimmed,64.26,467,465,-0.294355,6.641691,-0.101023,2.189657
Km_ycf4_trimmed,100,232,230,-0.230694,3.595631,0.103928,1.584725
