alignment position,genomic position,edited or not,positional entropy,average score difference
336,1,0,1.00,0
337,2,0,0.87,0
338,3,0,1.00,0
339,4,0,1.00,0
340,5,1,1.00,-3.00
341,6,1,0.71,-1.87
342,7,0,0.90,0
343,8,0,0.76,0
344,9,0,1.00,0
345,10,0,0.95,0
346,11,0,0.95,0
347,12,0,1.00,0
348,13,1,0.87,3.27
349,14,1,1.00,-8.00
350,15,1,0.84,-0.77
351,16,0,1.00,0
352,17,1,1.00,-5.00
353,18,0,1.00,0
354,19,0,1.00,0
355,20,0,1.00,0
356,21,0,1.00,0
357,22,0,0.89,0
358,23,0,1.00,0
359,24,0,1.00,0
360,25,0,1.00,0
361,26,0,0.85,0
362,27,0,1.00,0
363,28,0,0.95,0
364,29,0,1.00,0
365,30,0,0.95,0
366,31,0,1.00,0
367,32,0,1.00,0
368,33,0,1.00,0
369,34,0,1.00,0
370,35,0,0.95,0
371,36,0,1.00,0
372,37,0,1.00,0
373,38,0,1.00,0
374,39,0,1.00,0
375,40,0,1.00,0
376,41,0,1.00,0
377,42,0,1.00,0
378,43,0,1.00,0
379,44,0,1.00,0
380,45,0,1.00,0
381,46,1,0.75,2.70
382,47,1,1.00,3.00
383,48,0,1.00,0
384,49,0,1.00,0
385,50,0,1.00,0
386,51,0,0.48,0
387,52,0,1.00,0
388,53,1,1.00,3.00
389,54,0,1.00,0
390,55,0,1.00,0
391,56,0,1.00,0
392,57,0,0.95,0
393,58,0,0.90,0
394,59,0,1.00,0
395,60,0,0.49,0
396,61,0,0.46,0
397,62,0,1.00,0
398,63,0,1.00,0
399,64,0,1.00,0
400,65,0,1.00,0
401,66,0,1.00,0
402,67,0,1.00,0
403,68,0,1.00,0
404,69,0,1.00,0
405,70,0,0.95,0
406,71,0,1.00,0
407,72,0,1.00,0
408,73,0,1.00,0
409,74,0,1.00,0
410,75,0,1.00,0
411,76,0,1.00,0
412,77,0,0.95,0
413,78,0,1.00,0
414,79,0,1.00,0
415,80,0,1.00,0
416,81,0,1.00,0
417,82,0,0.95,0
418,83,0,0.95,0
419,84,0,0.95,0
420,85,0,0.90,0
421,86,0,1.00,0
422,87,0,0.84,0
423,88,0,1.00,0
424,89,0,1.00,0
425,90,0,1.00,0
426,91,0,0.95,0
