name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value
,,,,,,,
Km_atpA_trimmed,57.06,787,785,-0.211674,6.068146,0.185587,5.291686
Km_atpB_trimmed,88.43,650,648,-0.173581,4.486774,-0.327949,8.836942
Km_cbbx_trimmed,62.49,788,786,-0.150046,4.25482,-0.190704,5.446461
Km_chlI_trimmed,82.46,660,658,-0.317426,8.586538,-0.088791,2.286668
Km_clpC_trimmed,92.26,648,646,-0.309839,8.282634,-0.439574,12.438609
Km_dnaK5_trimmed,82.44,244,242,-0.460144,8.062415,-0.011687,0.181819
Km_psaA_trimmed,64.1,589,587,-0.456347,12.425717,-0.181158,4.462955
Km_psbA_trimmed,100,610,608,-0.166089,4.15304,-0.510209,14.627704
Km_psbC_trimmed,83.46,1323,1321,-0.444775,18.049146,-0.527354,22.55878
Km_psbD_trimmed,100,301,299,-0.425028,8.119289,-0.21687,3.841453
Km_psbE_trimmed,100,26,24,0,0,0,0
Km_psbX_trimmed,0,35,33,0,0,0,0
Km_rbcL_trimmed,100,835,833,-0.371493,11.548369,-0.111616,3.241689
Km_rpl16_trimmed,100,233,231,0.306361,4.891496,0.183397,2.835481
Km_rpl22_trimmed,65.81,197,195,-0.690721,13.338555,-0.084254,1.180741
Km_rpl2_trimmed,78.12,622,620,-0.33289,8.790232,-0.520216,15.167138
Km_rpoC1_trimmed,62.4,824,822,-0.11947,3.44999,-0.318196,9.623022
Km_rps11_trimmed,84.41,352,350,-0.02391,0.44745,-0.512383,11.162416
Km_rps12_trimmed,70.83,193,191,-0.331222,4.851435,-0.39523,5.946331
Km_rps13_trimmed,67.22,113,111,0.297584,3.284029,-0.141131,1.501946
Km_rps19_trimmed,0,57,55,0,0,0,0
Km_rps3_trimmed,73.05,476,474,-0.311425,7.135032,-0.006092,0.132642
Km_rps7_trimmed,78.39,456,454,-0.097417,2.085621,-0.090808,1.942904
Km_secA_trimmed,78.76,955,953,0.204481,6.448715,0.036092,1.114909
Km_secY_trimmed,77.07,851,849,0.46592,15.342893,-0.153683,4.531787
Km_ycf39_trimmed,51.14,751,749,0.111376,3.067212,-0.260865,7.395386
Km_ycf4_trimmed,100,239,237,-0.543188,9.959686,-0.292167,4.703063
