alignment position,genomic position,edited or not,positional entropy,average score difference
5,1,0,0.70,0
6,2,0,0.72,0
7,3,0,0.76,0
8,4,0,0.95,0
9,5,0,0.89,0
10,6,0,0.95,0
11,7,0,0.89,0
12,8,0,1.00,0
13,9,0,1.00,0
14,10,0,0.91,0
15,11,0,1.00,0
16,12,1,0.76,-2.52
17,13,0,0.95,0
18,14,0,1.00,0
19,15,0,0.80,0
20,16,0,0.95,0
21,17,0,0.95,0
22,18,0,0.68,0
23,19,0,1.00,0
24,20,0,1.00,0
25,21,0,1.00,0
26,22,0,0.73,0
27,23,0,1.00,0
28,24,0,1.00,0
29,25,0,0.81,0
30,26,0,0.88,0
31,27,0,1.00,0
32,28,0,0.95,0
