name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Ht_atpA_trimmed,100.00,1451,1449,-0.308143,12.329637,-0.515995,22.930107
Ht_petB_trimmed,100.00,590,588,0.119055,2.907605,0.403516,10.694039
Ht_petD_trimmed,100.00,423,421,-0.202517,4.243234,-0.403297,9.043004
Ht_psaA_trimmed,100.00,1868,1866,0.037523,1.622022,0.028753,1.242581
Ht_psaB_trimmed,0.00,1843,1841,0.000000,0.000000,0.000000,0.000000
Ht_psbA_trimmed,100.00,880,878,0.027875,0.826292,-0.045750,1.357055
Ht_psbB_trimmed,0.00,1388,1386,0.000000,0.000000,0.000000,0.000000
Ht_psbC_trimmed,100.00,1317,1315,-0.101829,3.711929,-0.076655,2.787947
Ht_psbD_trimmed,100.00,1005,1003,-0.370967,12.651313,-0.170052,5.465191
Ht_psbE_trimmed,100.00,187,185,0.367344,5.372001,-0.159014,2.190696
