name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Pl_atpA_trimmed,75.53,1360,1358,-0.736436,40.115488,-0.746258,41.313223
Pl_atpB_trimmed,76.64,1400,1398,-0.717642,38.529681,-0.818962,53.360636
Pl_petB_trimmed,72.38,596,594,-0.714811,24.912048,-0.748873,27.540759
Pl_petD_trimmed,74.60,419,417,-0.072072,1.475591,-0.503890,11.912601
Pl_psaA_trimmed,65.24,2047,2045,-0.319728,15.259600,-0.394337,19.405048
Pl_psaB_trimmed,76.10,2026,2024,-0.631795,36.669377,-0.648405,38.317609
Pl_psbA_trimmed,82.26,982,980,-0.586854,22.689411,-0.606727,23.893993
Pl_psbB_trimmed,65.86,1379,1377,-0.485420,20.603167,-0.435008,17.927358
Pl_psbC_trimmed,73.01,1318,1316,-0.150321,5.515838,-0.255387,9.582358
Pl_psbD_trimmed,72.45,1006,1004,-0.662199,28.001651,-0.777598,39.186493
Pl_psbE_trimmed,100.00,164,162,0.102187,1.307476,-0.132847,1.705982
