alignment position,genomic position,edited or not,positional entropy,average score difference
15,1,0,0.56,0
16,2,0,0.60,0
17,3,0,0.85,0
18,4,0,0.58,0
19,5,0,0.70,0
20,6,0,0.38,0
21,7,1,0.81,0.79
22,8,0,0.83,0
23,9,1,0.69,0.00
24,10,0,0.73,0
25,11,0,0.58,0
34,12,0,1.00,0
35,13,0,0.87,0
36,14,0,0.69,0
37,15,0,1.00,0
38,16,0,1.00,0
39,17,0,0.95,0
40,18,0,1.00,0
41,19,0,0.95,0
42,20,0,0.95,0
43,21,0,0.77,0
44,22,0,0.92,0
45,23,0,0.87,0
46,24,0,1.00,0
47,25,0,1.00,0
49,26,0,1.00,0
50,27,0,0.72,0
51,28,0,0.95,0
52,29,0,1.00,0
53,30,0,1.00,0
54,31,0,1.00,0
55,32,0,0.95,0
56,33,0,1.00,0
57,34,0,0.95,0
58,35,0,1.00,0
59,36,0,1.00,0
60,37,1,1.00,6.00
61,38,1,1.00,3.00
62,39,0,0.92,0
63,40,0,1.00,0
64,41,0,1.00,0
65,42,0,1.00,0
66,43,0,1.00,0
67,44,0,0.74,0
68,45,0,0.69,0
69,46,0,0.90,0
70,47,1,0.64,0.97
71,48,0,0.83,0
72,49,1,1.00,0.00
73,50,0,0.95,0
74,51,0,0.77,0
75,52,0,0.77,0
76,53,0,1.00,0
77,54,0,1.00,0
78,55,0,1.00,0
79,56,0,0.85,0
80,57,0,1.00,0
81,58,0,0.95,0
82,59,0,1.00,0
83,60,0,1.00,0
84,61,0,1.00,0
85,62,0,1.00,0
86,63,0,0.95,0
87,64,0,1.00,0
88,65,0,0.70,0
89,66,0,0.70,0
90,67,0,0.95,0
91,68,0,0.95,0
92,69,0,0.77,0
93,70,0,1.00,0
94,71,1,0.71,0.21
95,72,1,1.00,-4.00
96,73,0,0.89,0
97,74,0,0.87,0
98,75,0,0.73,0
99,76,1,1.00,6.00
100,77,0,1.00,0
101,78,0,1.00,0
102,79,0,1.00,0
103,80,0,0.71,0
104,81,0,1.00,0
105,82,0,1.00,0
106,83,0,1.00,0
107,84,0,1.00,0
108,85,1,0.53,1.93
109,86,1,0.90,4.90
110,87,0,1.00,0
111,88,0,0.95,0
112,89,0,0.60,0
113,90,0,0.76,0
114,91,0,1.00,0
115,92,0,0.75,0
116,93,0,0.33,0
117,94,1,0.77,-0.45
118,95,1,0.92,0.14
119,96,0,0.85,0
120,97,0,1.00,0
121,98,0,0.80,0
122,99,0,1.00,0
123,100,0,0.83,0
124,101,0,1.00,0
125,102,0,1.00,0
126,103,0,1.00,0
127,104,0,0.75,0
128,105,1,0.95,0.93
129,106,0,1.00,0
130,107,0,1.00,0
131,108,0,0.87,0
132,109,0,0.89,0
133,110,0,1.00,0
134,111,0,1.00,0
135,112,0,0.79,0
136,113,0,1.00,0
137,114,0,0.95,0
138,115,0,1.00,0
139,116,0,1.00,0
140,117,0,0.78,0
141,118,0,0.90,0
142,119,0,0.74,0
143,120,0,1.00,0
144,121,0,0.73,0
145,122,0,1.00,0
146,123,0,0.71,0
147,124,0,1.00,0
148,125,0,1.00,0
149,126,0,1.00,0
150,127,0,0.70,0
151,128,0,1.00,0
152,129,0,0.92,0
153,130,0,0.68,0
154,131,0,1.00,0
155,132,0,1.00,0
156,133,0,0.87,0
157,134,0,0.69,0
158,135,0,1.00,0
159,136,0,1.00,0
160,137,0,0.95,0
161,138,0,0.66,0
162,139,0,1.00,0
163,140,0,0.42,0
164,141,0,0.78,0
165,142,0,1.00,0
166,143,0,1.00,0
167,144,0,0.50,0
168,145,0,0.83,0
169,146,0,0.95,0
170,147,0,0.69,0
171,148,1,0.92,2.14
172,149,0,0.82,0
173,150,0,0.95,0
174,151,0,0.38,0
175,152,0,0.77,0
176,153,0,0.78,0
177,154,0,0.63,0
178,155,0,0.81,0
179,156,0,0.95,0
180,157,0,0.61,0
181,158,0,0.95,0
182,159,0,0.92,0
183,160,0,1.00,0
184,161,0,1.00,0
185,162,0,0.90,0
186,163,0,1.00,0
187,164,0,0.95,0
188,165,0,1.00,0
189,166,0,0.95,0
190,167,0,0.87,0
191,168,0,1.00,0
192,169,0,1.00,0
193,170,0,0.95,0
194,171,0,1.00,0
195,172,0,0.87,0
196,173,0,1.00,0
197,174,0,1.00,0
198,175,0,1.00,0
199,176,0,0.92,0
200,177,0,0.79,0
201,178,0,1.00,0
202,179,0,1.00,0
203,180,0,1.00,0
204,181,0,0.77,0
205,182,0,1.00,0
206,183,1,1.00,0.00
207,184,0,1.00,0
208,185,0,1.00,0
209,186,0,0.76,0
210,187,0,0.92,0
211,188,1,1.00,0.00
212,189,0,0.95,0
213,190,0,1.00,0
214,191,1,1.00,2.00
215,192,1,1.00,8.00
216,193,0,0.78,0
217,194,1,1.00,3.00
218,195,0,0.76,0
219,196,1,1.00,3.00
220,197,0,0.73,0
221,198,0,1.00,0
