name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA,79.29,657,655,-0.338803,9.216031,-0.325891,8.822140
Kv_atpB,76.31,372,370,-0.757238,22.301143,-0.794812,25.192957
Kv_petB,51.83,390,388,-0.759333,22.986145,-0.890802,38.616001
Kv_petD,63.30,319,317,-0.038405,0.684278,-0.580821,12.703715
Kv_psaB,89.89,323,321,-0.761802,21.069152,-0.536822,11.399796
Kv_psbA,100.00,729,727,-0.357667,10.326877,-0.515216,16.208578
Kv_psbB,100.00,1417,1415,0.434650,18.154601,0.321373,12.766142
Kv_psbC,100.00,542,540,-0.260108,6.259842,-0.229377,5.476255
Kv_psbD,61.14,234,232,-0.246641,3.876485,-0.079892,1.220788
Kv_psbE,59.79,147,145,0.372110,4.827457,0.351892,4.526882
Kv_psbI,65.55,57,55,-0.258566,1.985080,0.111409,0.831408
