alignment position,genomic position,edited or not,positional entropy,average score difference
20,1,1,0.87,-3.00
21,2,0,0.66,0
22,3,0,0.79,0
23,4,0,0.83,0
24,5,0,0.97,0
25,6,0,0.92,0
26,7,0,0.97,0
27,8,0,0.92,0
28,9,0,0.75,0
29,10,0,0.97,0
30,11,0,0.97,0
31,12,0,0.97,0
32,13,0,0.92,0
33,14,0,0.81,0
34,15,0,0.97,0
35,16,1,0.71,3.52
36,17,0,0.97,0
37,18,0,0.97,0
38,19,0,0.92,0
39,20,0,0.97,0
40,21,0,0.92,0
41,22,0,0.74,0
42,23,0,0.97,0
43,24,0,0.97,0
44,25,0,0.92,0
45,26,0,0.97,0
46,27,0,0.97,0
47,28,1,0.92,9.34
48,29,1,0.97,5.79
49,30,1,0.97,2.90
50,31,0,0.97,0
51,32,0,0.97,0
52,33,0,0.97,0
53,34,0,0.97,0
54,35,0,0.97,0
55,36,0,0.66,0
56,37,0,0.97,0
57,38,0,0.97,0
58,39,1,0.87,0.93
59,40,0,0.74,0
60,41,0,0.74,0
61,42,0,0.86,0
62,43,1,0.79,0.31
63,44,0,0.97,0
64,45,0,0.77,0
65,46,0,0.71,0
66,47,0,0.97,0
67,48,0,0.81,0
69,49,0,0.86,0
70,50,0,0.97,0
71,51,0,0.97,0
72,52,1,0.97,1.93
73,53,0,0.97,0
74,54,0,0.97,0
75,55,0,0.92,0
76,56,0,0.97,0
77,57,0,0.97,0
78,58,0,0.97,0
79,59,1,0.97,7.72
80,60,1,0.73,-0.66
81,61,0,0.88,0
82,62,0,0.54,0
83,63,0,0.78,0
84,64,0,0.97,0
85,65,0,0.92,0
86,66,0,0.68,0
87,67,0,0.97,0
88,68,0,0.86,0
89,69,0,0.72,0
90,70,0,0.97,0
91,71,0,0.74,0
92,72,0,0.92,0
93,73,1,0.87,0.00
94,74,1,0.52,0.45
95,75,1,0.88,0.97
96,76,0,0.92,0
97,77,0,0.88,0
98,78,0,0.97,0
99,79,0,0.97,0
100,80,0,0.97,0
101,81,0,0.80,0
102,82,1,0.97,4.83
103,83,0,0.97,0
104,84,1,0.61,-0.28
105,85,0,0.97,0
106,86,0,0.97,0
107,87,0,0.92,0
108,88,0,0.92,0
109,89,0,0.92,0
110,90,1,0.92,0.28
111,91,1,0.92,2.00
112,92,0,0.97,0
113,93,0,0.97,0
114,94,0,0.83,0
115,95,0,0.76,0
116,96,0,0.76,0
117,97,0,0.72,0
118,98,0,0.97,0
119,99,0,0.97,0
120,100,0,0.68,0
121,101,0,0.79,0
122,102,0,0.97,0
123,103,0,0.92,0
124,104,0,0.97,0
125,105,0,0.97,0
126,106,0,0.97,0
127,107,0,0.92,0
128,108,0,0.97,0
129,109,0,0.97,0
130,110,0,0.97,0
131,111,0,0.87,0
132,112,0,0.97,0
133,113,0,0.97,0
134,114,0,0.97,0
135,115,0,0.97,0
136,116,0,0.97,0
137,117,0,0.97,0
138,118,0,0.81,0
139,119,0,0.87,0
140,120,0,1.00,0
141,121,0,0.95,0
142,122,0,0.55,0
143,123,0,0.89,0
144,124,0,0.74,0
145,125,0,0.84,0
146,126,1,0.54,-2.55
147,127,1,1.00,1.00
148,128,0,0.89,0
149,129,0,1.00,0
150,130,0,1.00,0
151,131,0,1.00,0
152,132,0,1.00,0
153,133,0,1.00,0
154,134,0,1.00,0
155,135,0,1.00,0
156,136,0,1.00,0
157,137,0,1.00,0
158,138,0,1.00,0
159,139,0,1.00,0
160,140,0,1.00,0
161,141,0,1.00,0
162,142,0,0.83,0
163,143,0,1.00,0
164,144,0,0.82,0
165,145,0,1.00,0
166,146,0,1.00,0
167,147,0,0.77,0
168,148,0,1.00,0
169,149,0,1.00,0
170,150,0,1.00,0
171,151,0,1.00,0
172,152,0,0.95,0
173,153,0,0.95,0
174,154,0,1.00,0
175,155,0,0.69,0
176,156,0,0.95,0
181,161,0,0.70,0
182,162,1,1.00,11.00
183,163,1,0.67,0.34
184,164,1,0.74,-0.24
185,165,0,1.00,0
186,166,0,0.44,0
187,167,0,0.40,0
188,168,0,0.64,0
189,169,0,1.00,0
190,170,0,0.59,0
191,171,0,0.81,0
192,172,0,1.00,0
193,173,0,0.95,0
194,174,0,1.00,0
195,175,0,0.76,0
196,176,1,0.57,-0.66
197,177,0,0.87,0
198,178,0,1.00,0
199,179,0,1.00,0
200,180,0,1.00,0
201,181,0,0.56,0
202,182,0,1.00,0
203,183,0,1.00,0
204,184,0,1.00,0
205,185,0,1.00,0
206,186,0,1.00,0
207,187,0,1.00,0
208,188,0,0.95,0
209,189,0,0.77,0
210,190,0,1.00,0
211,191,0,1.00,0
212,192,0,0.95,0
213,193,0,0.95,0
214,194,0,1.00,0
215,195,0,1.00,0
216,196,1,0.80,3.45
217,197,1,0.60,-0.10
218,198,0,0.71,0
219,199,0,0.82,0
220,200,0,0.83,0
221,201,0,0.73,0
222,202,0,0.90,0
223,203,0,0.89,0
224,204,1,0.64,0.62
225,205,0,1.00,0
226,206,0,1.00,0
227,207,0,0.82,0
228,208,0,0.95,0
229,209,0,1.00,0
230,210,0,1.00,0
231,211,0,0.95,0
232,212,0,1.00,0
233,213,0,1.00,0
234,214,0,1.00,0
235,215,0,1.00,0
236,216,0,1.00,0
237,217,0,1.00,0
238,218,0,1.00,0
