alignment position,genomic position,edited or not,positional entropy,average score difference
285,264,0,1.00,0
286,265,0,0.78,0
287,266,0,0.92,0
288,267,0,1.00,0
289,268,0,1.00,0
290,269,0,0.82,0
291,270,0,0.92,0
292,271,0,0.95,0
293,272,0,1.00,0
294,273,1,0.77,-3.60
295,274,0,0.95,0
296,275,1,0.95,3.70
297,276,0,0.77,0
298,277,0,0.75,0
299,278,0,1.00,0
300,279,0,1.00,0
301,280,0,0.79,0
302,281,0,0.95,0
303,282,0,1.00,0
304,283,0,1.00,0
305,284,0,0.46,0
307,285,1,0.87,6.03
308,286,0,0.62,0
309,287,0,0.71,0
310,288,1,0.95,4.83
311,289,0,0.90,0
312,290,1,0.67,-3.53
313,291,0,0.76,0
314,292,0,1.00,0
315,293,0,1.00,0
316,294,0,1.00,0
317,295,0,1.00,0
318,296,0,0.73,0
319,297,0,1.00,0
320,298,0,1.00,0
321,299,0,1.00,0
322,300,0,0.67,0
323,301,0,1.00,0
324,302,0,1.00,0
325,303,0,1.00,0
326,304,0,0.87,0
327,305,0,0.92,0
328,306,0,1.00,0
329,307,0,1.00,0
330,308,0,0.95,0
331,309,0,1.00,0
332,310,0,0.92,0
333,311,1,1.00,7.00
334,312,0,1.00,0
335,313,0,1.00,0
336,314,0,1.00,0
337,315,0,1.00,0
338,316,0,1.00,0
339,317,0,1.00,0
340,318,0,0.89,0
341,319,0,0.95,0
342,320,0,1.00,0
343,321,0,1.00,0
344,322,0,0.95,0
345,323,0,1.00,0
346,324,0,1.00,0
347,325,0,0.95,0
348,326,0,1.00,0
349,327,0,1.00,0
350,328,0,1.00,0
351,329,0,1.00,0
352,330,0,1.00,0
353,331,0,1.00,0
354,332,0,1.00,0
355,333,0,0.95,0
356,334,0,1.00,0
357,335,0,1.00,0
358,336,1,1.00,4.00
359,337,0,0.73,0
360,338,1,0.42,-0.57
361,339,0,0.31,0
362,340,0,0.81,0
363,341,1,1.00,7.00
364,342,0,0.76,0
365,343,0,1.00,0
366,344,0,0.95,0
367,345,0,0.95,0
368,346,0,1.00,0
369,347,0,1.00,0
370,348,0,0.95,0
371,349,0,1.00,0
372,350,0,0.89,0
373,351,0,0.82,0
374,352,0,1.00,0
375,353,0,1.00,0
376,354,0,0.95,0
377,355,0,0.82,0
378,356,0,0.84,0
379,357,0,1.00,0
380,358,0,1.00,0
381,359,0,1.00,0
382,360,0,1.00,0
383,361,0,0.95,0
384,362,0,1.00,0
385,363,0,1.00,0
386,364,0,1.00,0
387,365,0,1.00,0
388,366,0,0.95,0
389,367,0,1.00,0
390,368,0,1.00,0
391,369,0,1.00,0
392,370,0,1.00,0
393,371,0,1.00,0
394,372,0,1.00,0
395,373,0,1.00,0
396,374,0,0.90,0
397,375,0,1.00,0
398,376,0,1.00,0
399,377,0,0.95,0
400,378,0,0.52,0
401,379,0,0.95,0
402,380,0,1.00,0
403,381,0,1.00,0
404,382,0,1.00,0
405,383,0,0.74,0
406,384,0,1.00,0
407,385,0,0.80,0
408,386,0,0.95,0
409,387,0,1.00,0
410,388,0,1.00,0
411,389,0,1.00,0
412,390,0,0.92,0
413,391,0,0.95,0
414,392,1,1.00,8.00
415,393,0,0.95,0
416,394,0,1.00,0
417,395,0,1.00,0
418,396,0,0.95,0
419,397,0,1.00,0
420,398,0,1.00,0
421,399,0,1.00,0
422,400,0,1.00,0
423,401,0,0.95,0
424,402,0,1.00,0
425,403,0,1.00,0
426,404,1,0.71,-0.83
427,405,1,0.90,2.80
428,406,0,0.90,0
429,407,1,0.95,-3.87
430,408,0,1.00,0
431,409,1,0.82,0.83
432,410,0,1.00,0
433,411,1,1.00,-1.00
434,412,0,1.00,0
435,413,1,0.79,1.87
436,414,0,0.95,0
437,415,0,1.00,0
438,416,0,1.00,0
439,417,0,0.95,0
440,418,0,1.00,0
441,419,0,1.00,0
442,420,0,1.00,0
443,421,0,1.00,0
444,422,0,0.79,0
445,423,0,1.00,0
446,424,0,1.00,0
447,425,0,0.82,0
448,426,0,1.00,0
449,427,0,1.00,0
450,428,0,0.92,0
451,429,0,0.95,0
452,430,0,1.00,0
453,431,0,0.89,0
454,432,0,1.00,0
455,433,0,0.90,0
456,434,0,1.00,0
457,435,0,0.95,0
458,436,0,0.56,0
459,437,1,0.73,0.93
460,438,0,0.95,0
461,439,0,0.82,0
462,440,0,0.58,0
463,441,0,0.80,0
464,442,0,1.00,0
465,443,1,0.90,0.23
466,444,0,0.87,0
467,445,0,1.00,0
468,446,1,0.46,1.13
469,447,0,1.00,0
470,448,0,0.95,0
471,449,0,1.00,0
472,450,0,1.00,0
473,451,0,0.57,0
474,452,0,1.00,0
475,453,0,1.00,0
476,454,0,1.00,0
477,455,1,0.51,0.20
478,456,0,0.85,0
479,457,1,0.58,-0.87
480,458,0,0.73,0
