gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff

atpA,45.0,8,8,16,21,0.42
atpB,24.0,3,6,12,11,-0.04
clpC,20.0,0,7,5,8,1.20
psaA,31.0,2,12,11,17,1.81
psbA,1.0,0,1,1,1,3.00
psbC,37.0,4,9,14,17,0.86
psbD,1.0,0,1,1,1,2.00
psbE,1.0,0,0,1,0,-3.00
rpl16,5.0,0,3,1,4,3.20
rpl2,48.0,6,11,13,21,1.00
rpoC1,15.0,2,4,6,4,0.00
rps11,17.0,2,3,4,7,0.65
rps13,4.0,1,0,1,1,-1.00
rps19,5.0,0,2,2,3,2.40
rps3,29.0,6,3,11,10,-0.52
rps7,37.0,5,4,14,10,-0.32
secA,24.0,2,5,10,8,0.46
secY,31.0,7,3,16,13,-0.74
ycf4,18.0,4,2,8,4,-0.56
