gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff

atpA,26.0,1,10,8,14,2.00
atpB,20.0,2,5,8,9,1.15
atpF,6.0,1,2,5,4,-0.17
atpH,2.0,2,0,2,1,-4.00
atpI,11.0,4,2,7,7,-0.55
cbbX,21.0,3,9,8,13,1.62
chlI,11.0,0,2,5,4,1.27
clpC,14.0,4,1,8,3,-1.86
groEL,17.0,4,6,10,13,1.53
petA,45.0,5,10,17,17,0.80
petB,30.0,3,12,13,17,1.13
petD,29.0,3,8,10,15,1.21
psaA,20.0,3,6,11,6,-0.30
psaB,10.0,1,2,4,4,-0.20
psaFJ,11.0,0,3,3,4,1.55
psbA,2.0,0,1,1,1,0.50
psbB,20.0,4,6,8,11,0.85
psbC,4.0,0,3,0,3,5.00
psbD,29.0,25,2,29,8,-5.38
psbE,9.0,0,3,5,6,1.33
psbF,0.0,0,0,0,0,0.00
psbH,12.0,1,6,5,8,1.92
psbI,6.0,2,0,3,1,-1.33
psbL,4.0,0,0,1,0,-1.00
psbN,2.0,0,0,0,1,1.00
psbT,5.0,0,1,4,4,0.40
psbV,9.0,2,2,3,4,1.33
rbcL,11.0,2,1,2,4,-0.36
rbcS2,6.0,2,1,4,2,-2.00
rpl14,13.0,3,5,9,6,-0.54
rpl16,13.0,1,6,4,8,2.69
rpl19,9.0,2,3,7,7,-0.11
rpl20,6.0,0,3,2,4,3.17
rpl31,11.0,2,3,6,7,0.18
rpl33,1.0,0,1,1,1,4.00
rpl36,5.0,1,2,1,2,2.20
rpl3,13.0,2,4,5,8,1.77
rpl5,20.0,6,2,10,9,-0.40
rpl6,12.0,2,3,5,6,0.67
rpoA,19.0,3,3,5,5,-0.42
rpoB,7.0,1,3,2,4,1.29
rpoC1,19.0,9,3,11,6,-2.37
rpoC2,17.0,4,5,7,8,0.65
rps11,3.0,1,0,2,1,-1.67
rps12,3.0,2,0,2,0,-4.33
rps13,17.0,4,4,9,7,0.29
rps14,3.0,1,1,1,2,1.33
rps16,5.0,1,2,2,3,1.20
rps19,5.0,3,0,3,3,-2.20
rps2,40.0,2,7,13,17,1.02
rps3,19.0,0,2,6,3,0.32
rps4,16.0,0,1,6,4,0.12
rps5,16.0,4,1,6,5,-0.25
rps7,10.0,2,2,2,3,0.10
rps8,7.0,2,2,3,4,1.00
rps9,3.0,0,0,0,0,-0.33
secY,34.0,2,8,11,12,1.12
tufA,24.0,5,5,10,9,-0.21
ycf39,19.0,4,0,6,7,-0.42
ycf3,9.0,1,3,3,7,2.33
ycf4,31.0,6,8,14,11,-0.06
