gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff

atpA,26.0,1,10,7,13,2.15
atpB,20.0,2,4,5,10,1.25
atpH,2.0,1,1,2,1,-1.00
atpI,11.0,3,2,7,7,-0.64
clpC,10.0,1,1,4,3,-0.10
petA,49.0,4,8,13,16,1.20
petB,22.0,0,5,9,8,0.23
petD,28.0,0,7,11,13,0.79
psaA,19.0,2,4,11,4,-0.79
psaB,11.0,3,2,4,5,0.00
psbA,2.0,0,1,1,1,0.50
psbB,20.0,4,4,10,7,-0.35
psbC,4.0,0,4,1,4,5.25
psbD,29.0,25,2,28,7,-5.48
psbE,9.0,1,3,5,7,1.56
psbF,0.0,0,0,0,0,0.00
psbH,12.0,0,4,4,4,1.17
psbI,6.0,0,1,2,1,1.17
psbN,2.0,0,0,0,0,1.50
psbT,5.0,0,1,3,3,0.20
psbV,9.0,1,2,3,5,1.44
rpl14,13.0,4,3,7,6,-0.31
rpl16,13.0,1,6,3,7,2.15
rpl20,7.0,0,3,2,3,1.86
rpl27,6.0,0,1,0,1,0.67
rpl2,22.0,6,2,14,9,-1.45
rpl31,11.0,2,2,6,4,-0.82
rpl36,5.0,1,0,1,1,-0.40
rpl3,17.0,1,6,6,9,1.76
rpl5,17.0,5,3,9,6,-1.06
rpl6,12.0,3,1,5,5,-0.08
rpoA,19.0,1,1,4,4,0.21
rpoB,7.0,0,1,2,1,0.57
rpoC1,19.0,1,1,5,2,-0.42
rpoC2,17.0,2,3,5,6,0.59
rps11,3.0,1,0,1,1,-1.00
rps13,17.0,1,3,5,5,0.71
rps14,4.0,1,0,1,0,-0.75
rps16,7.0,1,1,4,3,-0.14
rps19,5.0,2,2,4,4,-0.40
rps2,40.0,3,3,13,13,0.00
rps3,26.0,7,2,11,7,-0.69
rps4,15.0,0,3,4,5,1.07
rps5,17.0,3,3,3,7,0.53
rps7,9.0,0,2,3,2,0.44
rps8,8.0,1,0,5,2,-1.50
secY,36.0,5,7,13,12,0.47
tufA,23.0,4,4,10,11,-0.04
ycf3,9.0,1,2,5,2,0.00
ycf4,24.0,3,4,9,5,-0.38
