name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Ht_atpA,100.00,1450,1448,-0.562383,25.880667,-0.520209,23.178473
Ht_petB,100.00,606,604,0.125400,3.106412,0.285056,7.308882
Ht_petD,100.00,425,423,-0.119360,2.472542,-0.345160,7.563730
Ht_psaB,0.00,2065,2063,0.000000,0.000000,0.000000,0.000000
Ht_psbA,0.00,1199,1197,0.000000,0.000000,0.000000,0.000000
Ht_psbB,0.00,1776,1774,0.000000,0.000000,0.000000,0.000000
Ht_psbC,100.00,1338,1336,0.051617,1.889176,0.144256,5.328501
Ht_psbD,100.00,1027,1025,-0.149371,4.836468,-0.013285,0.425374
Ht_psbE,100.00,198,196,-0.502858,8.144682,-0.217296,3.116612
