name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA_trimmed,79.02,656,654,-0.254322,6.725012,-0.299063,8.014884
Kv_atpB_trimmed,76.39,367,365,-0.821621,27.537076,-0.733177,20.597851
Kv_atpF_trimmed,70.65,147,145,-0.552793,7.987959,0.242211,3.006112
Kv_atpH_trimmed,29.46,114,112,-0.410067,4.758199,-0.311155,3.464960
Kv_atpI_trimmed,74.48,243,241,-0.529840,9.698566,-0.492689,8.789408
Kv_cbbX_trimmed,64.57,577,575,-0.756032,27.697567,-0.798541,31.810968
Kv_chlI_trimmed,80.35,613,611,-0.606019,18.831909,-0.702861,24.424209
Kv_clpC_trimmed,71.94,564,562,0.082880,1.971580,-0.286255,7.082501
Kv_groEL_trimmed,70.84,325,323,-0.556444,12.035996,-0.436720,8.724823
Kv_petA_trimmed,65.91,628,626,-0.423001,11.679865,-0.389799,10.590485
Kv_petB_trimmed,55.99,364,362,-0.510645,11.300049,-0.746362,21.336813
Kv_petD_trimmed,66.10,288,286,0.257371,4.504277,-0.218340,3.783754
Kv_psaA_trimmed,74.96,413,411,-0.793802,26.460848,-0.684035,19.010970
Kv_psaB_trimmed,82.92,306,304,-0.827918,25.738189,-0.904178,36.906572
Kv_psaFJ_trimmed,74.85,178,176,-0.594615,9.811384,-0.717272,13.656398
Kv_psbA_trimmed,100.00,726,724,-0.416907,12.341542,-0.629608,21.805547
Kv_psbB_trimmed,100.00,1487,1485,-0.206057,8.114710,-0.096716,3.744573
Kv_psbC_trimmed,100.00,539,537,-0.460590,12.024802,-0.600135,17.386079
Kv_psbD_trimmed,61.14,234,232,-0.438189,7.425110,-0.027100,0.412921
Kv_psbE_trimmed,64.49,144,142,0.405424,5.285020,-0.269766,3.338399
Kv_psbF_trimmed,100.00,41,39,-0.188052,1.195720,0.437763,3.040659
Kv_psbH_trimmed,70.88,132,130,-0.487692,6.369349,-0.640205,9.501983
Kv_psbI_trimmed,69.80,54,52,-0.511746,4.295305,-0.451936,3.653338
Kv_psbL_trimmed,65.88,132,130,-0.857846,19.032575,-0.885133,21.687602
Kv_psbN_trimmed,51.53,78,76,-0.748648,9.844457,0.156430,1.380724
Kv_psbT_trimmed,45.16,42,40,-0.881738,11.821341,-0.520296,3.853275
Kv_psbV_trimmed,82.70,312,310,-0.440883,8.648461,-0.462499,9.184479
Kv_rbcL_trimmed,74.74,618,616,-0.513639,14.857912,-0.766445,29.615976
Kv_rbcS2_trimmed,100.00,229,227,0.126419,1.920106,-0.041091,0.619623
Kv_rpl14_trimmed,69.22,249,247,-0.155812,2.479054,0.035195,0.553477
Kv_rpl16_trimmed,76.80,197,195,-0.848200,22.361736,-0.906979,30.071211
Kv_rpl19_trimmed,83.85,163,161,0.214898,2.791979,0.027002,0.342746
Kv_rpl20_trimmed,86.16,129,127,-0.906371,24.176880,-0.616829,8.831576
Kv_rpl27_trimmed,63.90,101,99,-0.912912,22.254564,-0.931640,25.509454
Kv_rpl31_trimmed,62.18,141,139,-0.452953,5.989940,-0.737261,12.865725
Kv_rpl33_trimmed,100.00,106,104,-0.767878,12.224298,-0.908128,22.119216
Kv_rpl36_trimmed,100.00,348,346,-0.761577,21.858848,0.748407,20.989680
Kv_rpl3_trimmed,48.57,472,470,-0.571152,15.084792,-0.474941,11.700313
Kv_rpl5_trimmed,67.87,493,491,-0.147435,3.303026,-0.231072,5.262635
Kv_rpl6_trimmed,68.32,298,296,-0.559645,11.618329,-0.796937,22.698018
Kv_rpoA_trimmed,71.64,590,588,-0.498967,13.961475,-0.248688,6.225972
Kv_rpoB_trimmed,88.00,140,138,-0.635412,9.666738,-0.808576,16.143361
Kv_rpoC1_trimmed,96.74,358,356,-0.413064,8.557872,-0.503941,11.008367
Kv_rpoC2_trimmed,84.04,720,718,0.132827,3.590986,0.098849,2.661743
Kv_rps11_trimmed,19.67,56,54,0.369977,2.926419,0.297616,2.290830
Kv_rps12_trimmed,100.00,312,310,-0.634687,14.460739,-0.411536,7.950294
Kv_rps13_trimmed,65.94,192,190,0.511880,8.213398,0.506949,8.106737
Kv_rps19_trimmed,53.67,78,76,-0.110773,0.971677,-0.342240,3.175331
Kv_rps2_trimmed,62.10,611,609,0.019747,0.487408,-0.265001,6.782146
Kv_rps3_trimmed,56.61,389,387,-0.392560,8.396596,-0.147225,2.928167
Kv_rps4_trimmed,65.79,482,480,-0.500405,12.662762,-0.601600,16.500295
Kv_rps5_trimmed,86.60,280,278,-0.345429,6.137221,-0.399097,7.257286
Kv_rps7_trimmed,65.37,202,200,0.511384,8.415720,0.202323,2.921700
Kv_rps8_trimmed,86.00,341,339,0.096666,1.788178,-0.447658,9.217412
Kv_rps9_trimmed,87.28,325,323,0.350139,6.718038,0.281134,5.264938
Kv_tufA_trimmed,74.57,803,801,-0.032244,0.913044,-0.338734,10.189200
Kv_ycf39_trimmed,82.28,390,388,-0.236578,4.796198,-0.388745,8.311103
Kv_ycf3_trimmed,100.00,766,764,-0.384277,11.504998,0.330423,9.676581
Kv_ycf4_trimmed,66.49,419,417,0.331115,7.165790,-0.252830,5.336318
